timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
17292.453,-0.973,0.157,0.116,-5.77,-1.74,0.21,2,2
17292.468,-0.965,0.157,0.114,-5.01,-2.29,2.29,2,2
17292.468,-0.961,0.156,0.107,-3.94,-3.17,3.48,2,2
17292.484,-0.958,0.156,0.101,-3.6,-3.33,2.53,2,2
17292.5,-0.958,0.157,0.092,-3.78,-2.78,1.16,2,2
17292.5,-0.96,0.155,0.084,-4.21,-1.37,-0.27,2,2
17292.515,-0.964,0.157,0.094,-4.06,0.4,-1.4,2,2
17292.531,-0.964,0.154,0.102,-3.85,1.68,-1.95,2,2
17292.531,-0.964,0.151,0.118,-3.63,2.26,-2.17,2,2
17292.546,-0.967,0.139,0.127,-2.69,1.86,-1.59,2,2
17292.546,-0.97,0.139,0.13,-1.34,0.85,-0.21,2,2
17292.562,-0.969,0.14,0.124,-0.67,-0.27,0.95,2,2
17292.578,-0.966,0.139,0.118,-0.55,-1.37,1.56,2,2
17292.578,-0.963,0.139,0.113,-0.82,-1.77,1.22,2,2
17292.593,-0.96,0.135,0.107,-0.95,-1.5,-0.27,2,2
17292.609,-0.958,0.139,0.103,-0.95,-1.31,-2.41,2,2
17292.609,-0.965,0.14,0.105,-1.13,-0.76,-4.03,2,2
17292.625,-0.971,0.138,0.104,-1.56,-0.37,-4.79,2,2
17292.64,-0.977,0.14,0.106,-2.29,0.03,-4.85,2,2
17292.64,-0.978,0.137,0.112,-2.29,0.24,-4.46,2,2
17292.656,-0.975,0.132,0.117,-1.77,0.55,-3.88,2,2
17292.671,-0.975,0.126,0.123,-0.4,1.13,-2.78,2,2
17292.671,-0.972,0.132,0.12,0.58,0.82,-1.59,2,2
17292.687,-0.971,0.14,0.123,0.61,0.12,-0.27,2,2
17292.687,-0.965,0.145,0.116,0.15,-0.61,0.82,2,2
17292.703,-0.958,0.149,0.103,-0.06,-1.4,1.5,2,2
17292.718,-0.958,0.154,0.099,-0.24,-1.68,1.4,2,2
17292.718,-0.956,0.154,0.098,-0.95,-1.68,0.37,2,2
17292.734,-0.953,0.155,0.099,-1.71,-1.13,-0.7,2,2
17292.75,-0.951,0.154,0.097,-1.8,-0.18,-1.31,2,2
17292.75,-0.959,0.153,0.101,-1.89,0.89,-1.43,2,2
17292.765,-0.967,0.153,0.108,-2.08,1.4,-1.13,2,2
17292.765,-0.973,0.153,0.114,-2.66,1.43,-1.04,2,2
17292.781,-0.98,0.149,0.123,-3.27,1.28,-0.64,2,2
17292.796,-0.982,0.144,0.129,-3.54,1.13,0.49,2,2
17292.796,-0.979,0.136,0.135,-3.05,1.07,2.32,2,2
17292.812,-0.969,0.132,0.142,-1.95,0.85,4.55,2,2
17292.828,-0.959,0.132,0.143,-0.95,0.43,6.5,2,2
17292.843,-0.952,0.126,0.14,-0.92,-0.21,8.03,2,2
17292.843,-0.946,0.126,0.143,-1.71,-1.07,8.91,2,2
17292.859,-0.946,0.13,0.149,-2.17,-2.01,8.94,2,2
17292.859,-0.952,0.138,0.157,-3.02,-3.42,8.58,2,2
17292.875,-0.963,0.143,0.166,-4.52,-5.55,8.58,2,2
17292.89,-0.971,0.143,0.182,-6.07,-8.03,9.64,2,2
17292.89,-0.971,0.139,0.199,-6.44,-10.38,12.12,2,2
17292.906,-0.971,0.138,0.208,-5.74,-12.79,15.44,2,2
17292.921,-0.965,0.132,0.215,-4.61,-15.35,19.04,2,2
17292.921,-0.964,0.132,0.223,-3.51,-17.7,22.58,2,2
17292.937,-0.964,0.129,0.234,-2.44,-19.9,26.09,2,2
17292.953,-0.964,0.124,0.245,-1.43,-22.52,29.73,2,2
17292.953,-0.965,0.125,0.269,-1.01,-25.09,33.45,2,2
17292.968,-0.965,0.128,0.29,-0.43,-28.32,37.57,2,2
17292.968,-0.963,0.126,0.311,0.24,-32.2,42.88,2,2
17292.984,-0.949,0.118,0.319,1.13,-36.32,49.38,2,2
17293.0,-0.94,0.109,0.32,3.39,-39.7,56.06,2,2
