timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
17159.703,-0.892,0.199,0.347,-0.37,-3.23,-1.43,2,1
17159.703,-0.886,0.21,0.338,-0.85,-2.93,-1.34,2,1
17159.718,-0.887,0.209,0.343,-1.34,-2.26,-1.04,2,1
17159.734,-0.889,0.205,0.347,-1.13,-1.46,0.03,2,1
17159.734,-0.885,0.203,0.351,0.03,-0.76,1.68,2,1
17159.75,-0.888,0.205,0.351,1.19,-0.4,2.69,2,1
17159.765,-0.893,0.206,0.347,1.13,-0.67,2.81,2,1
17159.765,-0.887,0.205,0.347,0.12,-1.13,2.69,2,1
17159.781,-0.885,0.204,0.344,-0.64,-1.4,2.41,2,1
17159.796,-0.886,0.209,0.341,-1.04,-1.43,2.81,2,1
17159.796,-0.89,0.214,0.338,-0.64,-1.04,4.27,2,1
17159.812,-0.894,0.217,0.337,0.76,0.03,7.39,2,1
17159.828,-0.89,0.213,0.334,3.17,1.65,11.38,2,1
17159.828,-0.896,0.218,0.331,5.92,3.39,14.77,2,1
17159.843,-0.892,0.229,0.331,7.39,4.64,17.33,2,1
17159.843,-0.889,0.236,0.332,7.2,5.62,18.98,2,1
17159.859,-0.885,0.232,0.339,6.26,6.2,19.87,2,1
17159.89,-0.876,0.226,0.345,4.58,5.34,18.92,2,1
17159.89,-0.872,0.225,0.342,3.54,4.24,17.64,2,1
17159.906,-0.872,0.224,0.339,2.01,3.3,15.81,2,1
17159.906,-0.873,0.213,0.344,0.0,2.53,13.34,2,1
17159.921,-0.879,0.203,0.352,-1.25,1.83,10.41,2,1
17159.937,-0.883,0.198,0.352,-1.37,1.28,7.63,2,1
17159.937,-0.88,0.197,0.354,-1.5,0.76,4.97,2,1
17159.953,-0.885,0.2,0.35,-2.14,0.09,2.11,2,1
17159.953,-0.889,0.203,0.35,-3.36,-0.61,-0.12,2,1
17159.968,-0.887,0.205,0.351,-4.06,-1.19,-1.68,2,1
17159.984,-0.896,0.199,0.349,-3.85,-1.43,-2.53,2,1
17159.984,-0.904,0.201,0.343,-3.14,-1.56,-2.99,2,1
17160.0,-0.912,0.213,0.34,-2.5,-1.46,-3.48,2,1
17160.015,-0.918,0.214,0.337,-2.35,-1.04,-3.17,2,1
17160.031,-0.922,0.216,0.336,-2.26,-0.89,-2.26,2,1
17160.031,-0.923,0.219,0.34,-1.98,-0.85,-1.34,2,1
17160.046,-0.932,0.215,0.341,-1.95,-1.53,-0.34,2,1
17160.062,-0.936,0.221,0.341,-2.17,-2.38,-0.27,2,1
17160.078,-0.939,0.226,0.333,-3.08,-3.33,-0.49,2,1
17160.078,-0.95,0.222,0.329,-4.82,-4.06,-0.31,2,1
17160.093,-0.953,0.218,0.328,-6.04,-4.73,0.76,2,1
17160.093,-0.958,0.215,0.327,-6.16,-4.88,2.04,2,1
17160.109,-0.968,0.208,0.327,-5.71,-4.52,3.91,2,1
17160.125,-0.967,0.203,0.329,-5.1,-4.15,6.32,2,1
17160.125,-0.967,0.212,0.322,-4.7,-4.03,8.45,2,1
17160.14,-0.969,0.215,0.313,-5.07,-4.55,10.68,2,1
17160.156,-0.969,0.222,0.302,-6.29,-5.86,13.25,2,1
17160.171,-0.971,0.231,0.283,-8.51,-8.03,15.47,2,1
17160.171,-0.955,0.237,0.268,-11.99,-10.62,17.61,2,1
