timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
16938.703,-0.576,0.148,0.791,1.77,-0.18,-2.08,2,0
16938.703,-0.585,0.153,0.797,1.68,-0.46,-2.01,2,0
16938.718,-0.584,0.157,0.801,0.61,-1.77,-1.22,2,0
16938.718,-0.574,0.151,0.797,-0.52,-3.02,-0.82,2,0
16938.734,-0.568,0.144,0.794,-1.01,-3.51,-0.76,2,0
16938.75,-0.563,0.147,0.793,-0.55,-3.51,-0.98,2,0
16938.75,-0.565,0.15,0.789,0.55,-3.08,-1.56,2,0
16938.765,-0.564,0.152,0.785,1.83,-2.41,-1.95,2,0
16938.781,-0.568,0.157,0.785,2.5,-1.25,-1.92,2,0
16938.796,-0.581,0.163,0.791,3.08,-0.49,-1.86,2,0
16938.796,-0.585,0.166,0.793,3.39,-0.58,-1.4,2,0
16938.796,-0.582,0.168,0.797,1.98,-1.34,-0.46,2,0
16938.812,-0.582,0.157,0.799,0.64,-2.47,0.0,2,0
16938.828,-0.579,0.149,0.795,0.37,-3.45,0.37,2,0
16938.828,-0.575,0.143,0.785,0.73,-3.88,0.49,2,0
16938.843,-0.574,0.135,0.779,0.7,-3.48,0.24,2,0
16938.859,-0.576,0.13,0.779,1.31,-2.69,-0.18,2,0
16938.875,-0.573,0.138,0.78,2.38,-1.04,-1.28,2,0
16938.89,-0.578,0.143,0.786,2.56,-0.31,-2.17,2,0
16938.89,-0.584,0.147,0.795,3.17,-0.09,-2.56,2,0
16938.906,-0.585,0.154,0.795,3.3,-0.49,-2.44,2,0
16938.921,-0.586,0.162,0.798,2.72,-1.1,-2.14,2,0
16938.921,-0.593,0.163,0.797,1.59,-1.77,-1.92,2,0
16938.937,-0.583,0.159,0.796,0.27,-2.62,-1.25,2,0
16938.937,-0.568,0.148,0.78,-0.15,-2.72,-1.04,2,0
16938.953,-0.565,0.142,0.772,0.49,-1.34,-1.1,2,0
16938.968,-0.574,0.142,0.773,1.8,0.55,-1.19,2,0
16938.968,-0.579,0.144,0.771,2.35,2.14,-1.04,2,0
16938.984,-0.585,0.144,0.789,1.8,2.99,-0.95,2,0
16939.0,-0.588,0.145,0.801,1.5,2.75,-0.89,2,0
16939.015,-0.589,0.148,0.808,1.22,1.74,-0.95,2,0
16939.015,-0.585,0.146,0.806,1.13,0.43,-1.4,2,0
16939.031,-0.584,0.149,0.795,1.01,-0.58,-1.68,2,0
16939.046,-0.577,0.147,0.779,-0.49,-0.43,-1.31,2,0
16939.062,-0.571,0.148,0.779,-0.12,0.67,-1.25,2,0
16939.062,-0.576,0.151,0.785,0.82,1.86,-1.19,2,0
16939.078,-0.583,0.15,0.787,1.56,2.56,-1.31,2,0
16939.093,-0.583,0.147,0.792,1.8,2.66,-1.37,2,0
16939.093,-0.582,0.146,0.795,1.71,2.38,-1.16,2,0
16939.109,-0.583,0.142,0.798,1.4,1.95,-1.07,2,0
16939.109,-0.579,0.135,0.8,1.34,1.13,-1.19,2,0
16939.125,-0.569,0.127,0.801,1.71,0.79,-1.8,2,0
16939.14,-0.561,0.121,0.802,2.72,0.79,-2.9,2,0
16939.14,-0.554,0.113,0.809,4.76,1.43,-4.18,2,0
16939.156,-0.544,0.112,0.82,7.29,2.32,-5.31,2,0
16939.171,-0.543,0.113,0.827,9.95,2.41,-6.29,2,0
16939.171,-0.531,0.106,0.839,11.57,1.62,-6.07,2,0
16939.187,-0.5,0.09,0.86,12.88,0.43,-4.82,2,0
16939.203,-0.469,0.079,0.879,13.64,-1.34,-3.57,2,0
16939.218,-0.406,0.046,0.958,17.15,-8.12,-7.9,2,0
16939.218,-0.388,0.05,0.995,23.26,-14.07,-15.63,2,0
16939.234,-0.361,0.06,1.03,30.67,-20.29,-25.12,2,0
16939.25,-0.348,0.108,1.047,38.39,-28.26,-37.02,2,0
16939.265,-0.357,0.158,1.045,45.23,-37.39,-51.15,2,0
16939.265,-0.36,0.189,1.029,51.52,-43.82,-61.68,2,0
16939.281,-0.362,0.254,1.015,57.44,-48.52,-68.67,2,0
16939.281,-0.383,0.297,0.997,62.62,-50.51,-71.57,2,0
16939.296,-0.383,0.341,0.988,65.98,-50.75,-70.5,2,0
16939.312,-0.378,0.38,0.965,70.44,-49.26,-66.81,2,0
16939.312,-0.387,0.422,0.935,72.7,-46.51,-62.23,2,0
16939.328,-0.416,0.462,0.934,70.19,-43.52,-56.03,2,0
16939.343,-0.418,0.485,0.952,65.95,-42.6,-47.46,2,0
16939.343,-0.429,0.494,0.946,59.02,-43.79,-30.15,2,0
16939.359,-0.439,0.503,0.947,58.26,-44.53,-21.39,2,0
16939.359,-0.44,0.511,0.95,60.43,-44.34,-10.19,2,0
16939.39,-0.464,0.536,0.868,59.21,-47.15,14.59,2,0
16939.39,-0.436,0.531,0.855,54.2,-47.94,25.94,2,0
16939.406,-0.44,0.529,0.822,51.88,-47.33,35.0,2,0
16939.421,-0.408,0.526,0.79,49.44,-45.44,44.65,2,0
16939.437,-0.396,0.517,0.773,46.88,-41.54,51.64,2,0
16939.437,-0.393,0.496,0.785,45.44,-36.53,57.53,2,0
16939.453,-0.404,0.504,0.802,46.14,-32.62,61.95,2,0
16939.453,-0.407,0.511,0.8,47.98,-30.58,65.74,2,0
16939.468,-0.412,0.5,0.798,49.07,-30.79,67.54,2,0
16939.468,-0.408,0.491,0.791,51.27,-31.77,68.58,2,0
16939.484,-0.406,0.5,0.772,55.51,-32.32,69.77,2,0
16939.5,-0.393,0.506,0.732,59.63,-32.26,70.83,2,0
16939.515,-0.379,0.514,0.697,62.11,-30.95,72.08,2,0
16939.515,-0.374,0.532,0.682,62.17,-27.53,74.25,2,0
16939.531,-0.386,0.563,0.669,60.09,-23.53,77.94,2,0
16939.531,-0.398,0.585,0.656,55.67,-20.84,84.08,2,0
16939.546,-0.408,0.587,0.642,49.38,-20.05,92.29,2,0
16939.562,-0.416,0.595,0.648,42.45,-20.51,102.18,2,0
16939.562,-0.434,0.6,0.642,35.46,-22.37,112.25,2,0
16939.578,-0.454,0.595,0.618,26.73,-26.55,122.35,2,0
16939.593,-0.445,0.587,0.599,15.23,-31.95,133.52,2,0
16939.593,-0.418,0.565,0.591,2.72,-36.35,144.41,2,0
16939.609,-0.379,0.55,0.58,-7.72,-36.99,154.58,2,0
16939.625,-0.359,0.548,0.576,-16.11,-32.23,164.19,2,0
16939.625,-0.363,0.532,0.592,-23.5,-25.76,172.89,2,0
16939.64,-0.38,0.49,0.615,-28.72,-21.06,181.1,2,0
16939.656,-0.386,0.447,0.619,-32.75,-20.26,188.73,2,0
16939.656,-0.379,0.416,0.605,-38.06,-24.35,194.19,2,0
16939.671,-0.346,0.384,0.582,-44.92,-28.93,197.27,2,0
16939.671,-0.309,0.361,0.582,-52.28,-30.21,197.64,2,0
16939.687,-0.283,0.334,0.588,-58.47,-26.61,196.39,2,0
16939.703,-0.246,0.324,0.633,-66.29,-21.15,194.16,2,0
16939.703,-0.218,0.331,0.664,-73.67,-14.4,190.07,2,0
16939.718,-0.241,0.352,0.73,-81.91,-6.96,186.86,2,0
16939.718,-0.253,0.284,0.812,-87.68,-7.6,180.97,2,0
16939.734,-0.252,0.26,0.861,-88.08,-12.73,172.43,2,0
16939.75,-0.251,0.233,0.898,-81.67,-18.65,165.65,2,0
16939.765,-0.223,0.204,0.912,-72.15,-23.9,158.6,2,0
16939.765,-0.193,0.207,0.91,-64.94,-25.54,151.95,2,0
16939.781,-0.173,0.186,0.904,-60.55,-25.18,143.74,2,0
16939.781,-0.153,0.173,0.898,-59.33,-23.32,133.88,2,0
16939.796,-0.134,0.178,0.89,-59.21,-19.68,123.6,2,0
16939.812,-0.12,0.197,0.911,-58.38,-14.95,113.56,2,0
16939.812,-0.116,0.221,0.962,-58.99,-11.26,104.86,2,0
16939.828,-0.128,0.216,0.977,-54.11,-7.69,97.84,2,0
16939.828,-0.153,0.237,1.02,-49.35,-4.94,92.35,2,0
16939.843,-0.152,0.285,1.052,-48.59,-6.04,88.56,2,0
16939.859,-0.15,0.296,1.037,-49.78,-8.48,86.18,2,0
16939.859,-0.132,0.291,1.026,-53.93,-11.14,83.25,2,0
16939.89,-0.065,0.259,0.987,-51.82,-12.63,73.79,2,0
16939.89,-0.039,0.248,0.973,-42.85,-7.87,68.15,2,0
16939.906,-0.015,0.242,0.941,-32.26,-0.7,63.54,2,0
16939.921,-0.008,0.256,0.915,-26.98,7.84,59.02,2,0
16939.921,-0.009,0.272,0.913,-29.05,16.24,54.57,2,0
16939.937,-0.044,0.266,0.983,-35.71,22.22,50.39,2,0
16939.937,-0.193,0.332,1.272,-40.1,17.91,45.9,2,0
16939.953,-0.145,0.385,1.396,-35.74,-5.25,50.87,2,0
16939.968,0.012,0.385,1.322,-37.02,-32.62,54.99,2,0
16939.968,0.138,0.391,1.181,-36.13,-46.3,52.28,2,0
16939.984,0.199,0.375,1.088,-32.72,-44.04,49.96,2,0
16940.0,0.237,0.37,1.056,-29.11,-35.22,45.38,2,0
16940.0,0.202,0.362,1.053,-22.64,-25.91,38.36,2,0
16940.015,0.147,0.375,1.083,-14.65,-20.2,32.5,2,0
16940.031,0.112,0.395,1.099,-7.14,-20.29,28.78,2,0
16940.031,0.114,0.393,1.069,-1.07,-23.83,28.66,2,0
16940.046,0.155,0.393,1.005,2.47,-26.8,30.49,2,0
16940.062,0.19,0.382,0.931,3.85,-25.97,32.07,2,0
16940.062,0.208,0.351,0.88,1.68,-20.97,32.9,2,0
16940.078,0.221,0.307,0.852,-1.68,-14.22,32.23,2,0
16940.093,0.217,0.276,0.853,-2.75,-7.2,29.97,2,0
16940.093,0.207,0.271,0.848,-1.13,-1.16,26.86,2,0
16940.109,0.206,0.307,0.897,1.5,4.82,24.23,2,0
16940.109,0.193,0.295,0.927,6.59,8.18,20.91,2,0
16940.125,0.173,0.295,0.945,9.19,8.03,18.16,2,0
16940.14,0.159,0.31,0.956,11.6,6.47,17.15,2,0
16940.156,0.155,0.313,0.95,12.82,3.88,16.82,2,0
16940.156,0.167,0.31,0.942,14.25,1.89,17.7,2,0
16940.171,0.193,0.304,0.925,17.52,2.17,20.33,2,0
16940.171,0.208,0.301,0.903,19.17,4.09,23.04,2,0
16940.187,0.213,0.289,0.892,17.43,6.59,25.03,2,0
16940.203,0.208,0.278,0.902,12.12,9.22,26.4,2,0
16940.203,0.203,0.249,0.933,5.8,10.74,26.7,2,0
16940.218,0.229,0.169,0.963,1.83,10.71,22.22,2,0
16940.234,0.231,0.16,0.982,3.6,11.32,16.97,2,0
16940.25,0.214,0.16,1.0,6.68,11.51,11.02,2,0
16940.25,0.191,0.178,1.015,10.25,9.55,6.44,2,0
16940.265,0.171,0.201,1.007,13.46,5.8,4.03,2,0
16940.281,0.16,0.225,0.988,15.78,1.95,4.52,2,0
16940.281,0.155,0.248,0.971,16.51,-1.07,6.47,2,0
16940.296,0.152,0.266,0.942,15.66,-3.51,8.85,2,0
16940.312,0.161,0.277,0.918,12.18,-4.27,12.15,2,0
16940.312,0.168,0.28,0.915,6.04,-4.18,14.89,2,0
16940.328,0.174,0.256,0.92,-0.21,-1.98,17.98,2,0
16940.343,0.174,0.223,0.939,2.26,-1.07,18.74,2,0
16940.343,0.165,0.215,0.954,5.28,-1.83,18.92,2,0
16940.359,0.165,0.226,0.978,7.66,-4.46,18.07,2,0
16940.359,0.178,0.226,0.965,8.45,-7.45,17.67,2,0
16940.375,0.201,0.235,0.939,7.93,-8.64,16.82,2,0
16940.39,0.214,0.218,0.93,3.48,-6.53,12.33,2,0
16940.406,0.203,0.217,0.945,1.65,-5.52,10.5,2,0
16940.421,0.19,0.226,0.957,1.04,-5.49,9.61,2,0
16940.421,0.196,0.241,0.948,1.8,-6.1,10.28,2,0
16940.437,0.21,0.257,0.937,1.59,-6.07,11.57,2,0
16940.437,0.212,0.263,0.927,0.27,-5.1,12.27,2,0
16940.453,0.219,0.252,0.93,-0.49,-3.81,12.73,2,0
16940.468,0.228,0.247,0.935,0.49,-2.29,12.18,2,0
16940.484,0.228,0.262,0.932,1.92,-1.59,9.64,2,0
16940.484,0.232,0.298,0.934,3.23,-0.92,6.47,2,0
16940.5,0.227,0.325,0.951,4.61,0.4,3.94,2,0
16940.5,0.213,0.338,0.949,5.4,0.49,3.2,2,0
16940.515,0.206,0.329,0.953,5.16,-0.03,4.09,2,0
16940.531,0.193,0.31,0.95,6.32,0.21,6.2,2,0
16940.531,0.19,0.294,0.934,7.66,0.06,10.01,2,0
16940.546,0.212,0.276,0.914,5.89,-0.76,12.54,2,0
16940.562,0.217,0.238,0.913,3.54,1.1,11.02,2,0
16940.578,0.225,0.24,0.916,3.72,1.37,8.61,2,0
16940.578,0.232,0.269,0.913,3.2,1.46,5.89,2,0
16940.593,0.239,0.288,0.915,1.8,2.35,5.28,2,0
16940.609,0.251,0.277,0.925,1.07,4.27,5.77,2,0
16940.609,0.252,0.261,0.93,1.77,6.74,5.31,2,0
