timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
17647.828,0.175,0.529,0.845,3.14,-0.92,3.75,2,6
17647.828,0.177,0.531,0.849,3.23,-3.11,3.81,2,6
17647.843,0.178,0.528,0.84,3.85,-5.1,3.78,2,6
17647.859,0.181,0.52,0.824,3.81,-6.59,3.91,2,6
17647.859,0.19,0.515,0.818,3.85,-7.11,3.85,2,6
17647.875,0.197,0.514,0.809,4.46,-6.59,3.54,2,6
17647.875,0.198,0.512,0.796,4.88,-5.22,2.66,2,6
17647.89,0.205,0.517,0.792,4.27,-3.91,1.65,2,6
17647.906,0.208,0.525,0.806,3.63,-2.62,0.27,2,6
17647.906,0.197,0.523,0.816,4.7,-1.77,-0.64,2,6
17647.921,0.19,0.53,0.822,5.65,-1.98,-0.27,2,6
17647.937,0.197,0.54,0.824,5.46,-3.05,-0.49,2,6
17647.937,0.198,0.536,0.814,4.97,-3.6,-1.8,2,6
17647.953,0.187,0.533,0.797,4.18,-3.33,-3.14,2,6
17647.968,0.188,0.546,0.786,2.44,-3.08,-3.17,2,6
17647.968,0.186,0.555,0.78,0.73,-1.83,-2.96,2,6
17647.984,0.184,0.558,0.787,-1.28,-0.43,-2.29,2,6
17648.0,0.188,0.567,0.799,-3.33,0.46,-0.55,2,6
17648.0,0.188,0.567,0.822,-4.94,0.7,1.4,2,6
17648.015,0.18,0.556,0.841,-4.94,0.09,3.02,2,6
17648.031,0.174,0.545,0.842,-4.24,-1.71,4.7,2,6
17648.031,0.181,0.528,0.829,-3.88,-3.88,5.28,2,6
17648.046,0.192,0.512,0.817,-3.94,-5.19,4.49,2,6
17648.046,0.198,0.5,0.804,-3.91,-5.1,3.33,2,6
17648.062,0.206,0.501,0.809,-3.3,-4.3,2.35,2,6
17648.078,0.209,0.506,0.822,-1.83,-3.6,1.4,2,6
17648.078,0.21,0.512,0.823,0.46,-3.36,0.43,2,6
17648.093,0.213,0.514,0.82,2.11,-3.63,-0.7,2,6
17648.109,0.211,0.517,0.804,3.66,-3.42,-2.41,2,6
17648.109,0.195,0.525,0.784,4.79,-2.04,-4.0,2,6
17648.125,0.185,0.544,0.787,3.66,-0.67,-4.7,2,6
17648.125,0.17,0.567,0.8,1.59,0.09,-4.06,2,6
17648.14,0.171,0.583,0.809,-0.49,-0.34,-1.89,2,6
17648.156,0.178,0.584,0.811,-2.23,-1.37,1.1,2,6
17648.156,0.187,0.574,0.805,-3.88,-2.41,3.88,2,6
17648.171,0.201,0.56,0.796,-5.71,-3.08,5.62,2,6
17648.187,0.206,0.538,0.787,-7.14,-2.78,6.04,2,6
17648.187,0.212,0.52,0.785,-8.76,-1.77,6.07,2,6
17648.203,0.22,0.514,0.793,-10.47,-0.31,5.22,2,6
17648.218,0.216,0.507,0.803,-11.66,1.31,3.72,2,6
17648.218,0.216,0.492,0.812,-12.27,2.26,2.44,2,6
17648.234,0.214,0.489,0.829,-11.72,3.36,1.28,2,6
17648.25,0.207,0.492,0.846,-9.8,4.0,0.43,2,6
17648.25,0.201,0.495,0.854,-7.69,3.54,-0.12,2,6
17648.265,0.196,0.495,0.859,-5.37,2.44,-0.7,2,6
17648.265,0.188,0.499,0.846,-2.81,1.59,-1.4,2,6
17648.281,0.186,0.499,0.836,-1.22,0.58,-2.29,2,6
17648.296,0.187,0.504,0.829,-0.76,-0.03,-3.11,2,6
17648.296,0.183,0.515,0.823,-0.24,-0.21,-3.66,2,6
17648.312,0.186,0.525,0.824,-0.49,-0.4,-3.6,2,6
17648.328,0.19,0.526,0.82,-1.13,-0.7,-3.72,2,6
17648.343,0.203,0.524,0.81,-1.65,-1.01,-3.14,2,6
17648.359,0.203,0.522,0.806,-2.81,-0.43,-2.99,2,6
17648.359,0.199,0.524,0.813,-4.39,-0.12,-3.27,2,6
17648.375,0.197,0.53,0.817,-5.13,-0.21,-3.17,2,6
17648.39,0.191,0.524,0.823,-5.31,0.15,-2.69,2,6
17648.39,0.185,0.513,0.828,-5.46,0.49,-2.44,2,6
17648.406,0.175,0.507,0.843,-5.55,0.49,-2.66,2,6
17648.406,0.169,0.504,0.852,-5.07,-0.31,-2.47,2,6
17648.421,0.174,0.502,0.855,-4.09,-1.8,-1.95,2,6
17648.437,0.183,0.497,0.848,-2.87,-3.05,-1.83,2,6
17648.437,0.191,0.499,0.844,-1.59,-3.69,-1.92,2,6
17648.453,0.195,0.497,0.836,-0.21,-3.97,-2.01,2,6
17648.468,0.197,0.499,0.828,0.89,-4.06,-2.38,2,6
17648.484,0.2,0.503,0.824,1.56,-3.75,-2.66,2,6
17648.484,0.202,0.504,0.826,2.04,-3.54,-2.9,2,6
17648.5,0.203,0.511,0.832,2.9,-3.02,-3.11,2,6
17648.515,0.185,0.514,0.829,5.28,-2.53,-2.81,2,6
17648.531,0.186,0.518,0.825,5.04,-2.75,-2.56,2,6
17648.531,0.184,0.52,0.826,4.46,-3.11,-2.62,2,6
17648.546,0.179,0.52,0.828,4.27,-3.33,-2.26,2,6
17648.546,0.181,0.52,0.828,4.3,-3.6,-1.28,2,6
17648.562,0.181,0.521,0.827,4.27,-3.81,-0.7,2,6
17648.578,0.188,0.523,0.824,3.85,-4.39,-0.73,2,6
17648.578,0.19,0.519,0.817,3.57,-4.46,-1.07,2,6
17648.593,0.198,0.518,0.814,3.14,-4.36,-0.82,2,6
17648.609,0.203,0.522,0.815,2.78,-3.88,-0.92,2,6
17648.609,0.198,0.523,0.815,2.66,-3.33,-1.28,2,6
17648.625,0.203,0.525,0.817,2.08,-3.05,-0.67,2,6
17648.64,0.201,0.531,0.82,1.89,-2.81,-0.24,2,6
17648.64,0.199,0.531,0.814,0.79,-2.99,0.03,2,6
