timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
17378.718,0.248,-0.036,0.996,10.35,-37.35,7.23,2,3
17378.718,0.257,-0.071,0.96,16.48,-36.81,21.94,2,3
17378.734,0.276,-0.109,0.924,18.89,-35.68,29.76,2,3
17378.75,0.278,-0.128,0.9,19.38,-32.17,30.18,2,3
17378.765,0.279,-0.133,0.916,16.97,-27.47,26.46,2,3
17378.765,0.281,-0.134,0.952,14.89,-23.83,22.25,2,3
17378.781,0.284,-0.111,0.978,14.83,-22.98,20.36,2,3
17378.781,0.276,-0.101,0.981,15.66,-24.2,23.5,2,3
17378.796,0.292,-0.09,0.971,16.72,-25.54,31.04,2,3
17378.812,0.309,-0.105,0.962,19.84,-24.9,38.91,2,3
17378.812,0.315,-0.115,0.949,24.51,-22.74,43.73,2,3
17378.828,0.317,-0.11,0.925,26.86,-21.36,44.8,2,3
17378.843,0.312,-0.122,0.92,25.73,-21.18,41.84,2,3
17378.843,0.325,-0.146,0.931,22.98,-21.67,35.58,2,3
17378.859,0.353,-0.154,0.928,20.39,-23.47,26.55,2,3
17378.875,0.362,-0.131,0.921,17.7,-25.12,17.0,2,3
17378.875,0.371,-0.088,0.911,13.67,-26.89,9.19,2,3
17378.89,0.378,-0.04,0.906,10.56,-28.11,5.49,2,3
17378.89,0.379,0.012,0.9,9.67,-28.53,7.63,2,3
17378.906,0.36,0.038,0.89,11.23,-27.68,16.82,2,3
17378.921,0.363,0.046,0.881,15.08,-25.73,32.56,2,3
17378.937,0.385,0.034,0.867,22.03,-23.04,48.86,2,3
17378.937,0.382,0.01,0.849,27.83,-19.35,61.89,2,3
17378.953,0.372,-0.029,0.847,29.6,-15.96,70.04,2,3
17378.953,0.35,-0.062,0.841,29.48,-14.04,73.79,2,3
17378.968,0.329,-0.065,0.846,28.78,-13.4,73.0,2,3
17378.968,0.317,-0.05,0.869,26.25,-12.88,68.24,2,3
17378.984,0.274,-0.033,0.905,23.16,-11.84,62.17,2,3
17379.0,0.241,-0.023,0.945,21.06,-13.28,58.29,2,3
17379.015,0.291,-0.023,0.967,20.17,-18.16,57.71,2,3
17379.015,0.344,0.003,0.963,19.17,-22.95,56.52,2,3
17379.031,0.389,-0.034,0.963,15.72,-26.89,55.48,2,3
17379.031,0.454,-0.088,0.96,13.58,-29.94,53.96,2,3
17379.046,0.516,-0.119,0.923,13.79,-32.14,47.76,2,3
17379.062,0.557,-0.094,0.87,3.02,-34.24,18.46,2,3
17379.062,0.566,-0.086,0.836,-4.67,-33.63,5.22,2,3
17379.078,0.559,-0.072,0.831,-8.3,-31.43,-2.62,2,3
17379.093,0.56,-0.02,0.833,-8.03,-27.74,-2.11,2,3
17379.093,0.572,0.095,0.814,-4.88,-23.56,6.9,2,3
17379.109,0.586,0.127,0.807,0.24,-18.46,21.03,2,3
17379.109,0.579,0.133,0.798,5.34,-11.41,36.07,2,3
17379.125,0.579,0.112,0.81,9.55,-4.0,49.68,2,3
17379.14,0.586,0.081,0.819,11.69,1.77,59.45,2,3
17379.156,0.572,0.039,0.828,11.72,5.71,64.94,2,3
17379.156,0.543,-0.023,0.847,10.83,8.45,65.8,2,3
17379.171,0.508,-0.063,0.865,9.06,10.38,61.13,2,3
