timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
17512.062,-0.42,0.078,0.897,1.92,-1.86,0.49,2,4
17512.062,-0.43,0.083,0.897,1.59,-2.08,0.15,2,4
17512.078,-0.434,0.09,0.888,1.22,-2.35,0.37,2,4
17512.093,-0.433,0.091,0.886,0.76,-2.41,1.65,2,4
17512.093,-0.433,0.093,0.89,0.18,-2.41,3.39,2,4
17512.109,-0.425,0.082,0.899,-0.43,-2.9,4.58,2,4
17512.125,-0.421,0.083,0.896,-0.49,-3.39,5.04,2,4
17512.14,-0.416,0.09,0.902,-1.07,-3.94,5.52,2,4
17512.14,-0.416,0.104,0.906,-2.5,-4.7,6.35,2,4
17512.156,-0.414,0.106,0.913,-3.51,-6.04,7.72,2,4
17512.156,-0.408,0.102,0.91,-3.72,-7.51,8.45,2,4
17512.171,-0.394,0.092,0.903,-2.84,-8.82,8.06,2,4
17512.187,-0.382,0.084,0.899,-0.64,-9.49,5.98,2,4
17512.187,-0.386,0.099,0.897,1.98,-9.31,3.05,2,4
17512.203,-0.403,0.12,0.917,3.08,-8.85,0.82,2,4
17512.218,-0.431,0.135,0.924,3.97,-8.48,0.4,2,4
17512.218,-0.45,0.141,0.928,5.01,-8.85,2.2,2,4
17512.234,-0.463,0.136,0.916,3.08,-8.51,9.8,2,4
17512.25,-0.461,0.122,0.907,1.28,-8.3,13.4,2,4
17512.265,-0.44,0.105,0.894,-0.09,-8.0,15.81,2,4
17512.265,-0.424,0.096,0.884,-0.12,-6.74,16.14,2,4
17512.281,-0.418,0.092,0.878,0.06,-5.25,15.44,2,4
17512.296,-0.413,0.073,0.88,-0.21,-4.12,14.04,2,4
17512.296,-0.414,0.055,0.881,1.56,-3.14,10.8,2,4
17512.312,-0.41,0.055,0.872,3.81,-2.38,6.2,2,4
17512.312,-0.405,0.065,0.875,5.16,-1.74,2.01,2,4
17512.328,-0.409,0.075,0.871,6.41,-1.1,-1.43,2,4
17512.343,-0.41,0.089,0.868,7.2,-0.18,-3.78,2,4
17512.343,-0.418,0.104,0.879,7.48,0.92,-4.49,2,4
17512.359,-0.432,0.111,0.881,8.18,1.77,-3.75,2,4
17512.375,-0.435,0.116,0.88,7.57,2.08,-1.77,2,4
17512.375,-0.431,0.107,0.89,5.98,2.41,0.58,2,4
17512.39,-0.435,0.094,0.891,5.83,3.14,1.92,2,4
17512.406,-0.416,0.08,0.913,4.76,3.33,3.33,2,4
17512.421,-0.409,0.077,0.923,4.12,2.69,3.2,2,4
17512.421,-0.409,0.076,0.927,3.39,1.8,2.56,2,4
17512.437,-0.417,0.081,0.914,3.39,1.13,1.53,2,4
17512.453,-0.423,0.089,0.89,3.69,1.01,0.64,2,4
17512.453,-0.427,0.095,0.874,3.78,1.86,-0.03,2,4
17512.468,-0.43,0.107,0.869,4.0,3.81,-0.27,2,4
17512.484,-0.436,0.123,0.88,3.91,5.83,0.4,2,4
17512.5,-0.448,0.139,0.884,4.21,7.26,1.83,2,4
17512.5,-0.458,0.159,0.881,4.33,8.0,4.18,2,4
17512.515,-0.467,0.176,0.869,4.03,8.36,7.6,2,4
17512.515,-0.468,0.196,0.84,3.63,8.94,12.39,2,4
17512.531,-0.466,0.214,0.809,2.96,10.99,18.52,2,4
17512.546,-0.467,0.233,0.771,3.42,15.32,25.73,2,4
17512.546,-0.483,0.253,0.735,4.46,22.13,33.69,2,4
17512.562,-0.504,0.26,0.708,5.95,30.73,42.3,2,4
17512.562,-0.544,0.272,0.696,8.39,40.8,51.27,2,4
17512.578,-0.601,0.297,0.701,9.4,50.11,60.79,2,4
17512.593,-0.663,0.338,0.724,6.35,56.28,70.62,2,4
17512.609,-0.724,0.366,0.744,-5.25,57.19,80.23,2,4
17512.609,-0.755,0.363,0.771,-19.41,52.67,90.09,2,4
17512.625,-0.755,0.381,0.751,-28.23,48.98,104.62,2,4
17512.625,-0.75,0.435,0.724,-34.46,49.44,124.76,2,4
17512.64,-0.765,0.472,0.705,-41.32,53.35,149.24,2,4
17512.656,-0.79,0.512,0.714,-49.71,57.74,176.55,2,4
17512.656,-0.832,0.544,0.732,-57.68,61.83,205.69,2,4
17512.671,-0.864,0.556,0.741,-66.71,64.21,236.37,2,4
17512.687,-0.864,0.565,0.746,-76.2,65.52,267.43,2,4
17512.687,-0.864,0.558,0.733,-86.06,68.06,296.95,2,4
17512.703,-0.867,0.503,0.727,-96.38,71.05,322.89,2,4
17512.703,-0.86,0.454,0.725,-103.89,74.22,343.55,2,4
17512.718,-0.858,0.421,0.717,-107.24,78.16,357.89,2,4
17512.734,-0.855,0.375,0.711,-109.41,81.97,366.47,2,4
17512.75,-0.871,0.293,0.742,-108.55,88.02,370.25,2,4
17512.765,-0.905,0.251,0.743,-104.37,88.11,367.14,2,4
17512.765,-0.886,0.234,0.726,-101.32,85.27,360.88,2,4
17512.781,-0.845,0.242,0.704,-100.01,83.32,349.68,2,4
17512.796,-0.834,0.251,0.706,-98.21,82.86,335.4,2,4
17512.796,-0.81,0.263,0.717,-93.84,82.71,320.66,2,4
17512.812,-0.731,0.27,0.746,-84.69,82.86,307.41,2,4
17512.828,-0.668,0.303,0.775,-69.8,86.06,295.63,2,4
17512.828,-0.673,0.37,0.772,-53.83,90.46,285.53,2,4
17512.843,-0.68,0.411,0.773,-43.98,92.78,278.97,2,4
17512.843,-0.678,0.457,0.762,-39.8,92.56,275.86,2,4
17512.859,-0.668,0.476,0.719,-38.51,92.17,276.41,2,4
17512.875,-0.647,0.466,0.682,-39.92,94.18,277.26,2,4
17512.875,-0.624,0.471,0.654,-37.78,98.15,277.02,2,4
17512.89,-0.595,0.461,0.632,-33.51,103.43,275.06,2,4
17512.906,-0.564,0.474,0.614,-28.53,107.97,273.57,2,4
17512.906,-0.544,0.492,0.605,-25.12,111.42,272.44,2,4
17512.921,-0.521,0.51,0.593,-23.53,113.9,270.67,2,4
17512.937,-0.484,0.508,0.58,-23.65,114.84,267.53,2,4
