timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
17569.343,-0.861,-0.006,0.415,-1.22,-1.46,-1.68,2,5
17569.343,-0.864,-0.01,0.426,-1.62,-0.31,-3.63,2,5
17569.359,-0.866,-0.008,0.429,-1.43,0.37,-4.52,2,5
17569.375,-0.868,-0.01,0.434,-0.82,0.76,-4.73,2,5
17569.375,-0.879,-0.008,0.439,-0.37,0.85,-4.36,2,5
17569.39,-0.879,-0.0,0.444,-0.18,0.49,-4.24,2,5
17569.406,-0.878,0.008,0.442,-0.06,-0.06,-3.78,2,5
17569.406,-0.882,0.017,0.435,-0.21,-0.34,-2.59,2,5
17569.421,-0.88,0.015,0.437,-0.7,-0.34,-1.28,2,5
17569.437,-0.888,0.001,0.441,-0.98,-0.15,-0.34,2,5
17569.437,-0.901,-0.002,0.444,-0.18,0.0,0.82,2,5
17569.453,-0.902,-0.001,0.437,0.7,0.21,2.11,2,5
17569.468,-0.895,-0.004,0.437,0.64,0.58,3.3,2,5
17569.468,-0.883,-0.005,0.44,0.34,0.49,4.15,2,5
17569.484,-0.876,-0.01,0.437,0.64,0.24,4.21,2,5
17569.484,-0.878,-0.014,0.432,0.76,0.43,4.06,2,5
17569.5,-0.878,-0.021,0.435,0.76,0.89,3.45,2,5
17569.515,-0.878,-0.02,0.441,0.58,0.82,0.31,2,5
17569.531,-0.877,-0.018,0.442,-0.64,-0.21,-1.56,2,5
17569.546,-0.88,-0.026,0.441,-2.08,-0.76,-3.27,2,5
17569.546,-0.886,-0.028,0.445,-2.17,-1.04,-4.67,2,5
17569.562,-0.889,-0.017,0.443,-1.83,-1.19,-5.68,2,5
17569.578,-0.892,-0.007,0.442,-1.77,-0.82,-5.68,2,5
17569.578,-0.892,-0.007,0.446,-1.92,-0.7,-4.88,2,5
17569.593,-0.891,-0.012,0.449,-1.43,-0.7,-3.94,2,5
17569.609,-0.893,-0.007,0.446,-0.27,-1.07,-2.62,2,5
17569.609,-0.891,-0.002,0.442,0.76,-1.19,-1.5,2,5
17569.625,-0.885,-0.001,0.434,0.92,-1.31,-0.76,2,5
17569.625,-0.88,-0.002,0.431,0.61,-1.53,-0.49,2,5
17569.64,-0.879,-0.004,0.434,-0.24,-1.71,-0.98,2,5
17569.656,-0.882,-0.01,0.43,-1.07,-1.83,-1.46,2,5
17569.656,-0.883,-0.016,0.43,-1.34,-1.5,-1.34,2,5
17569.671,-0.88,-0.022,0.432,-1.13,-0.61,-1.53,2,5
17569.687,-0.874,-0.006,0.426,0.03,0.06,-2.41,2,5
17569.703,-0.873,0.003,0.425,-0.52,0.15,-2.75,2,5
17569.703,-0.873,0.004,0.43,-1.4,0.15,-2.78,2,5
17569.718,-0.878,0.004,0.438,-1.59,0.09,-2.08,2,5
17569.734,-0.877,0.006,0.438,-0.95,-0.18,-0.85,2,5
17569.734,-0.871,0.014,0.434,-0.67,-0.7,0.61,2,5
17569.75,-0.868,0.01,0.429,-1.01,-1.31,2.32,2,5
17569.765,-0.863,0.0,0.421,-1.4,-1.43,3.57,2,5
17569.765,-0.859,-0.004,0.415,-1.46,-0.95,4.88,2,5
17569.781,-0.853,-0.007,0.415,-0.95,0.12,6.2,2,5
17569.796,-0.843,-0.009,0.416,-0.34,1.31,7.29,2,5
17569.796,-0.83,-0.005,0.419,0.18,2.08,8.51,2,5
17569.812,-0.821,-0.004,0.42,0.27,2.23,9.58,2,5
17569.828,-0.811,-0.008,0.419,-0.46,1.71,10.65,2,5
17569.828,-0.807,-0.015,0.415,-1.19,0.67,11.54,2,5
17569.843,-0.801,-0.025,0.404,-1.68,-0.43,11.99,2,5
17569.859,-0.776,-0.041,0.383,-2.59,-1.92,11.38,2,5
17569.875,-0.763,-0.038,0.367,-3.2,-2.53,9.74,2,5
17569.875,-0.748,-0.033,0.346,-5.13,-3.36,7.6,2,5
17569.89,-0.727,-0.029,0.335,-7.81,-4.67,4.94,2,5
17569.906,-0.692,-0.017,0.305,-9.86,-6.16,3.11,2,5
17569.906,-0.651,-0.005,0.273,-11.2,-5.71,2.93,2,5
17569.921,-0.611,0.015,0.251,-13.06,0.21,5.98,2,5
17569.937,-0.595,0.007,0.226,-11.6,6.2,9.77,2,5
17569.937,-0.579,-0.001,0.218,-8.88,13.06,14.01,2,5
17569.953,-0.552,-0.009,0.219,-5.8,19.78,17.46,2,5
17569.968,-0.554,-0.041,0.234,-4.06,25.57,20.48,2,5
17569.968,-0.57,-0.063,0.251,-3.54,30.85,22.31,2,5
17569.984,-0.602,-0.097,0.26,-2.41,35.16,23.38,2,5
17570.0,-0.618,-0.104,0.261,-0.73,37.26,24.17,2,5
17570.0,-0.622,-0.091,0.246,0.46,37.57,23.83,2,5
17570.015,-0.632,-0.066,0.221,-0.7,36.96,22.1,2,5
17570.031,-0.629,-0.024,0.186,-8.33,34.79,16.24,2,5
17570.046,-0.627,0.018,0.17,-13.37,34.7,11.57,2,5
17570.046,-0.647,0.049,0.165,-20.57,35.37,7.42,2,5
17570.062,-0.668,0.045,0.184,-27.95,35.77,6.04,2,5
17570.078,-0.705,0.021,0.203,-31.13,35.4,7.39,2,5
17570.078,-0.732,-0.001,0.211,-31.37,33.75,12.51,2,5
