timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
15307.89,-0.115,0.37,0.906,2.72,-8.73,-0.43,0,2
15307.89,-0.11,0.382,0.903,3.94,-8.06,0.95,0,2
15307.906,-0.114,0.38,0.9,3.88,-7.54,2.04,0,2
15307.921,-0.118,0.384,0.904,3.2,-7.39,2.53,0,2
15307.921,-0.124,0.384,0.91,3.36,-7.39,2.17,0,2
15307.937,-0.129,0.372,0.92,3.51,-8.51,1.59,0,2
15307.937,-0.112,0.376,0.917,2.84,-10.83,1.56,0,2
15307.953,-0.104,0.387,0.915,3.2,-12.51,1.8,0,2
15307.968,-0.089,0.379,0.913,3.05,-13.95,1.86,0,2
15307.968,-0.073,0.375,0.906,2.96,-15.05,1.43,0,2
15307.984,-0.068,0.377,0.899,2.72,-15.78,-0.27,0,2
15308.0,-0.067,0.378,0.895,1.07,-16.11,-1.62,0,2
15308.0,-0.065,0.375,0.9,-0.95,-16.05,-2.04,0,2
15308.015,-0.061,0.367,0.891,-0.18,-14.62,-2.32,0,2
15308.031,-0.064,0.377,0.901,0.09,-12.91,-2.96,0,2
15308.031,-0.08,0.373,0.906,-0.76,-11.54,-4.88,0,2
15308.046,-0.081,0.349,0.914,-1.83,-10.5,-5.01,0,2
15308.062,-0.07,0.375,0.929,-0.21,-7.84,0.37,0,2
15308.078,-0.087,0.371,0.938,0.7,-6.53,2.08,0,2
15308.078,-0.096,0.362,0.947,1.16,-5.89,3.45,0,2
15308.093,-0.09,0.363,0.947,2.56,-5.34,4.39,0,2
15308.109,-0.074,0.363,0.946,4.33,-4.73,5.4,0,2
15308.109,-0.064,0.383,0.944,4.73,-4.61,5.31,0,2
15308.125,-0.066,0.386,0.943,3.3,-4.73,4.24,0,2
15308.14,-0.07,0.377,0.941,0.46,-5.43,2.14,0,2
15308.14,-0.052,0.384,0.959,-3.45,-6.59,0.43,0,2
15308.156,-0.055,0.374,0.959,-4.09,-6.99,-0.73,0,2
15308.171,-0.073,0.359,0.958,-4.58,-7.39,3.39,0,2
15308.171,-0.029,0.345,0.972,-0.24,-6.84,7.9,0,2
15308.187,-0.004,0.324,0.965,4.91,-6.74,13.28,0,2
15308.203,0.019,0.322,0.953,8.42,-6.2,18.19,0,2
15308.203,0.045,0.321,0.941,10.1,-5.46,22.1,0,2
15308.218,0.064,0.326,0.93,9.58,-4.88,23.35,0,2
15308.234,0.091,0.303,0.912,3.94,-2.78,16.36,0,2
15308.25,0.105,0.301,0.906,0.43,-1.25,9.4,0,2
15308.25,0.116,0.304,0.902,-3.51,0.85,1.4,0,2
15308.265,0.115,0.309,0.905,-7.87,3.66,-5.98,0,2
15308.281,0.107,0.309,0.922,-11.47,6.84,-10.93,0,2
15308.281,0.098,0.309,0.948,-12.51,10.28,-12.7,0,2
15308.296,0.085,0.31,0.976,-10.93,12.97,-11.93,0,2
15308.312,0.071,0.321,0.989,-8.18,14.22,-8.61,0,2
15308.312,0.069,0.33,1.0,-6.13,14.8,-2.62,0,2
15308.328,0.066,0.319,1.015,-2.96,16.24,5.01,0,2
15308.328,0.077,0.307,1.041,0.0,17.33,16.17,0,2
15308.343,0.081,0.3,1.049,4.24,16.94,26.89,0,2
15308.359,0.098,0.315,1.051,7.9,15.75,32.53,0,2
15308.359,0.128,0.321,1.049,8.12,13.61,34.21,0,2
15308.375,0.147,0.323,1.047,4.94,10.1,32.38,0,2
15308.39,0.164,0.314,1.047,0.79,6.47,29.36,0,2
15308.39,0.177,0.285,1.034,-2.59,3.33,27.19,0,2
15308.406,0.192,0.264,1.025,-4.82,1.98,26.12,0,2
15308.421,0.203,0.24,1.024,-5.37,2.84,25.06,0,2
15308.421,0.207,0.217,1.026,-4.24,4.15,23.8,0,2
15308.437,0.198,0.21,1.01,-2.38,5.65,20.91,0,2
15308.437,0.192,0.206,1.016,-1.22,7.81,17.73,0,2
15308.453,0.171,0.229,1.011,-0.49,9.4,12.33,0,2
15308.468,0.145,0.265,1.003,-2.38,9.34,4.91,0,2
15308.468,0.108,0.284,0.996,-7.32,7.57,-2.9,0,2
15308.484,0.083,0.311,0.994,-15.11,4.39,-10.65,0,2
15308.5,0.063,0.325,0.996,-23.96,0.24,-16.97,0,2
15308.5,0.056,0.323,1.005,-32.29,-3.27,-21.97,0,2
15308.515,0.052,0.31,1.005,-38.51,-5.74,-26.46,0,2
15308.531,0.056,0.308,1.002,-42.33,-8.42,-30.21,0,2
15308.531,0.044,0.304,0.991,-44.04,-10.47,-31.37,0,2
15308.546,0.053,0.285,0.983,-45.5,-11.35,-28.57,0,2
15308.562,0.064,0.257,0.967,-43.58,-11.41,-23.68,0,2
15308.562,0.084,0.257,0.963,-40.83,-11.26,-16.85,0,2
15308.578,0.088,0.245,0.953,-36.19,-11.57,-7.57,0,2
15308.578,0.041,0.26,0.933,-31.53,-12.09,1.89,0,2
15308.593,0.013,0.292,0.922,-26.28,-11.75,9.98,0,2
15308.609,-0.002,0.316,0.926,-22.13,-11.63,16.33,0,2
15308.609,0.004,0.325,0.927,-19.17,-12.39,22.25,0,2
15308.625,0.026,0.327,0.92,-15.84,-13.31,28.53,0,2
15308.64,0.051,0.315,0.892,-12.15,-14.04,35.22,0,2
15308.64,0.096,0.294,0.87,-7.97,-14.56,42.24,0,2
15308.656,0.124,0.287,0.838,-1.53,-14.37,46.72,0,2
15308.671,0.137,0.297,0.801,3.75,-13.61,47.43,0,2
15308.671,0.156,0.32,0.771,5.04,-12.12,44.22,0,2
15308.687,0.168,0.347,0.746,2.23,-10.62,39.03,0,2
15308.703,0.163,0.361,0.717,-4.36,-10.1,33.33,0,2
15308.703,0.165,0.371,0.709,-12.7,-9.43,28.02,0,2
15308.718,0.168,0.357,0.709,-20.36,-8.88,24.51,0,2
15308.718,0.17,0.358,0.711,-26.58,-8.73,22.55,0,2
15308.75,0.156,0.353,0.72,-32.75,-6.9,21.21,0,2
15308.75,0.126,0.341,0.734,-32.44,-3.81,21.36,0,2
15308.765,0.11,0.333,0.763,-30.95,0.52,21.49,0,2
15308.781,0.097,0.342,0.789,-27.28,5.31,19.71,0,2
15308.781,0.089,0.346,0.808,-23.68,10.04,16.75,0,2
15308.796,0.094,0.343,0.828,-20.97,13.43,14.89,0,2
15308.812,0.099,0.34,0.837,-15.84,14.95,16.02,0,2
15308.812,0.078,0.347,0.819,-8.36,15.14,19.84,0,2
15308.828,0.056,0.356,0.815,-1.5,15.53,26.22,0,2
15308.828,0.021,0.363,0.804,2.56,16.05,32.84,0,2
15308.843,0.003,0.351,0.799,2.41,16.08,40.41,0,2
15308.859,0.015,0.357,0.806,1.77,19.04,44.74,0,2
15308.859,0.019,0.335,0.806,1.68,25.09,46.27,0,2
15308.875,0.008,0.294,0.814,2.29,31.46,47.03,0,2
15308.89,0.009,0.282,0.822,5.68,37.39,48.13,0,2
15308.89,-0.017,0.288,0.825,10.32,43.67,48.34,0,2
15308.921,-0.079,0.303,0.885,3.6,57.92,43.92,0,2
15308.921,-0.095,0.285,0.922,-4.82,61.77,41.84,0,2
15308.937,-0.101,0.273,0.97,-11.9,61.74,40.86,0,2
15308.953,-0.081,0.264,1.016,-14.59,57.56,40.77,0,2
15308.953,-0.064,0.245,1.037,-10.96,50.81,40.5,0,2
15308.968,-0.054,0.234,1.04,-3.33,42.45,40.19,0,2
15308.968,-0.061,0.24,1.022,5.71,32.84,39.4,0,2
15308.984,-0.068,0.255,0.993,12.42,23.65,38.51,0,2
15309.0,-0.076,0.26,0.968,13.79,15.87,37.9,0,2
