timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
14854.828,-0.152,-0.031,0.991,5.8,-9.09,-0.7,0,1
14854.828,-0.138,-0.035,0.987,7.42,-7.42,-0.58,0,1
14854.843,-0.115,-0.023,0.978,8.61,-4.7,-1.74,0,1
14854.859,-0.142,-0.008,0.973,9.83,-1.53,-3.39,0,1
14854.859,-0.144,0.007,0.985,7.66,-0.4,-4.15,0,1
14854.875,-0.148,0.02,1.002,2.47,0.12,-4.49,0,1
14854.89,-0.145,0.011,1.008,-1.95,-0.4,-5.83,0,1
14854.89,-0.165,0.009,1.011,-3.91,-1.5,-6.5,0,1
14854.906,-0.156,0.008,1.011,-4.55,-3.63,-6.04,0,1
14854.921,-0.167,0.008,1.007,-3.14,-4.67,-5.19,0,1
14854.921,-0.17,0.012,1.004,-1.28,-5.37,-4.43,0,1
14854.937,-0.164,0.016,1.001,-0.52,-6.2,-3.91,0,1
14854.937,-0.168,0.026,0.998,-0.64,-6.81,-4.43,0,1
14854.953,-0.171,0.024,1.001,-0.95,-7.29,-4.7,0,1
14854.968,-0.159,0.029,0.984,-1.37,-8.82,-4.73,0,1
14854.968,-0.156,0.032,0.974,-0.46,-10.13,-4.33,0,1
14854.984,-0.158,0.017,0.963,-0.21,-9.34,-2.9,0,1
14855.0,-0.145,0.002,0.945,-1.16,-7.51,-2.72,0,1
14855.015,-0.142,-0.01,0.956,-2.01,-5.71,-2.9,0,1
14855.031,-0.136,-0.018,0.952,-4.76,-3.05,-4.36,0,1
14855.046,-0.159,-0.014,0.965,-5.16,1.53,-5.62,0,1
14855.046,-0.181,-0.0,0.983,-4.76,3.48,-5.34,0,1
14855.046,-0.172,0.006,0.988,-5.68,2.87,-4.94,0,1
14855.062,-0.173,-0.002,0.986,-6.78,1.68,-5.22,0,1
14855.078,-0.189,-0.001,0.987,-6.65,0.24,-5.13,0,1
14855.078,-0.193,-0.011,0.977,-6.35,-1.83,-4.12,0,1
14855.093,-0.192,-0.028,0.97,-7.72,-3.08,-3.48,0,1
14855.109,-0.192,-0.036,0.988,-9.46,-2.75,-3.6,0,1
14855.109,-0.181,-0.05,1.012,-10.35,-1.68,-3.85,0,1
14855.125,-0.174,-0.056,1.027,-9.09,-1.92,-3.66,0,1
14855.14,-0.188,-0.048,1.024,-5.92,-1.86,-2.75,0,1
14855.14,-0.183,-0.054,1.023,-5.65,-1.83,-1.8,0,1
14855.156,-0.18,-0.07,1.029,-6.99,-1.98,-1.4,0,1
14855.171,-0.197,-0.074,1.036,-10.35,-0.18,-1.01,0,1
14855.187,-0.189,-0.063,1.034,-11.57,-1.46,-1.19,0,1
14855.203,-0.192,-0.052,1.021,-10.93,-2.08,-1.01,0,1
14855.203,-0.179,-0.046,1.013,-10.19,-2.53,-0.21,0,1
14855.218,-0.169,-0.056,1.02,-8.91,-1.62,0.7,0,1
14855.234,-0.172,-0.059,1.019,-7.26,0.43,1.04,0,1
14855.234,-0.172,-0.046,1.017,-5.68,1.22,0.55,0,1
14855.25,-0.173,-0.043,1.014,-2.84,1.07,0.85,0,1
14855.25,-0.161,-0.042,1.005,0.37,0.7,1.46,0,1
14855.265,-0.167,-0.035,1.002,9.03,-0.03,0.92,0,1
14855.281,-0.149,-0.078,1.021,12.15,-4.0,-3.39,0,1
14855.281,-0.199,-0.081,1.025,15.05,-6.26,1.13,0,1
14855.296,-0.166,-0.031,0.961,19.81,-5.95,5.04,0,1
14855.312,-0.175,-0.02,0.947,20.66,-5.16,5.71,0,1
14855.312,-0.175,-0.01,0.929,19.78,-3.63,5.98,0,1
14855.328,-0.186,-0.007,0.928,18.49,-1.86,6.47,0,1
14855.343,-0.196,-0.001,0.922,15.84,0.79,9.89,0,1
14855.359,-0.2,0.003,0.949,11.9,2.38,11.44,0,1
14855.359,-0.211,0.0,0.977,8.94,3.02,12.3,0,1
14855.375,-0.227,0.004,0.995,7.2,1.83,13.43,0,1
14855.39,-0.239,0.006,1.007,6.07,-0.92,15.41,0,1
14855.39,-0.256,-0.005,1.018,6.84,-3.85,18.43,0,1
14855.406,-0.285,-0.016,1.022,9.58,-6.53,21.79,0,1
14855.421,-0.306,-0.018,1.022,12.42,-9.34,24.54,0,1
14855.421,-0.297,-0.02,1.013,14.89,-12.42,26.37,0,1
14855.437,-0.281,-0.016,1.002,17.43,-15.23,27.41,0,1
14855.453,-0.28,0.001,0.995,20.29,-16.3,27.95,0,1
14855.453,-0.288,0.019,0.991,21.55,-16.6,28.93,0,1
