timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
16317.359,-0.943,0.021,0.243,-1.5,-2.69,-0.12,0,0
16317.375,-0.945,0.025,0.238,-0.7,-2.38,-0.15,0,0
16317.39,-0.949,0.025,0.238,-0.03,-1.98,0.09,0,0
16317.39,-0.949,0.03,0.238,-0.18,-1.86,0.49,0,0
16317.406,-0.949,0.028,0.237,-0.67,-1.89,0.64,0,0
16317.406,-0.949,0.023,0.234,-1.25,-1.43,0.37,0,0
16317.421,-0.953,0.025,0.239,-1.92,-1.22,0.12,0,0
16317.437,-0.952,0.025,0.242,-2.23,-1.01,0.21,0,0
16317.437,-0.95,0.024,0.244,-2.08,-0.79,0.24,0,0
16317.453,-0.953,0.022,0.247,-1.71,-0.76,-0.06,0,0
16317.453,-0.956,0.019,0.249,-1.19,-1.13,-0.06,0,0
16317.468,-0.954,0.019,0.248,-0.64,-1.74,0.0,0,0
16317.484,-0.948,0.027,0.244,-0.03,-2.04,-0.18,0,0
16317.484,-0.95,0.033,0.239,0.31,-1.68,-0.31,0,0
16317.5,-0.954,0.037,0.236,0.64,-1.34,-0.03,0,0
16317.515,-0.955,0.043,0.236,0.49,-0.98,0.67,0,0
16317.515,-0.954,0.039,0.236,-0.49,-0.95,1.4,0,0
16317.546,-0.951,0.013,0.241,-1.46,-1.34,1.68,0,0
16317.546,-0.95,0.016,0.24,-1.65,-1.31,0.98,0,0
16317.562,-0.952,0.018,0.242,-1.74,-1.34,0.43,0,0
16317.562,-0.951,0.022,0.239,-1.71,-1.4,0.27,0,0
16317.578,-0.95,0.024,0.24,-1.34,-1.16,0.21,0,0
16317.593,-0.954,0.027,0.241,-0.27,-0.58,0.27,0,0
16317.609,-0.955,0.028,0.238,0.82,-0.27,0.76,0,0
16317.609,-0.953,0.024,0.24,1.22,-0.46,0.92,0,0
16317.625,-0.954,0.027,0.24,1.22,-0.79,0.52,0,0
16317.625,-0.953,0.031,0.236,1.16,-0.85,0.61,0,0
16317.64,-0.951,0.035,0.234,1.04,-0.89,1.19,0,0
16317.656,-0.95,0.036,0.234,0.4,-0.79,1.4,0,0
16317.656,-0.953,0.038,0.237,-1.77,0.55,2.17,0,0
16317.671,-0.957,0.033,0.244,-2.32,0.27,2.29,0,0
16317.687,-0.961,0.02,0.254,-2.08,-0.37,2.08,0,0
16317.687,-0.961,0.011,0.253,-1.56,-1.04,1.46,0,0
16317.703,-0.963,0.014,0.245,0.12,-1.4,0.7,0,0
