timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
15953.031,-0.972,-0.074,0.097,-0.31,6.1,-1.68,0,6
15953.046,-0.974,-0.057,0.093,0.52,6.2,-2.47,0,6
15953.046,-0.979,-0.052,0.093,0.15,5.92,-3.08,0,6
15953.062,-0.982,-0.055,0.093,-0.61,4.97,-3.17,0,6
15953.078,-0.978,-0.052,0.091,-1.53,4.09,-2.99,0,6
15953.078,-0.98,-0.056,0.089,-2.26,3.6,-2.78,0,6
15953.093,-0.976,-0.058,0.095,-2.69,3.45,-2.59,0,6
15953.093,-0.97,-0.055,0.102,-2.35,3.75,-2.78,0,6
15953.109,-0.971,-0.057,0.108,-0.76,4.33,-3.08,0,6
15953.125,-0.983,-0.062,0.11,2.04,4.94,-2.99,0,6
15953.125,-0.994,-0.057,0.108,4.39,4.21,-2.29,0,6
15953.14,-0.993,-0.053,0.098,5.43,2.38,-1.83,0,6
15953.156,-0.991,-0.049,0.088,4.49,0.58,-1.53,0,6
15953.171,-0.983,-0.044,0.082,1.13,-0.7,-1.34,0,6
15953.171,-0.978,-0.044,0.079,-2.93,-1.13,-1.56,0,6
15953.187,-0.977,-0.05,0.085,-5.52,-0.46,-1.71,0,6
15953.187,-0.985,-0.057,0.087,-6.56,0.46,-1.25,0,6
15953.203,-0.98,-0.056,0.086,-7.51,0.09,-0.31,0,6
15953.218,-0.978,-0.052,0.08,-8.27,0.03,-0.46,0,6
15953.234,-0.979,-0.05,0.081,-9.4,0.15,-0.73,0,6
15953.234,-0.977,-0.052,0.084,-9.89,0.15,-1.1,0,6
15953.25,-0.98,-0.053,0.086,-9.31,0.43,-1.28,0,6
15953.265,-0.985,-0.055,0.095,-7.87,0.79,-1.31,0,6
15953.281,-0.987,-0.058,0.098,-5.49,0.61,-0.95,0,6
15953.281,-0.984,-0.055,0.095,-2.99,0.06,-0.64,0,6
15953.296,-0.981,-0.049,0.088,-1.98,-0.52,-0.49,0,6
15953.296,-0.982,-0.047,0.085,-2.62,-1.07,-0.43,0,6
