timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
15485.375,0.614,-0.691,0.357,3.14,3.36,-1.01,0,3
15485.375,0.615,-0.701,0.367,-0.31,3.33,-0.61,0,3
15485.39,0.618,-0.705,0.381,-1.13,2.93,-0.09,0,3
15485.406,0.624,-0.705,0.391,0.52,2.32,0.67,0,3
15485.406,0.627,-0.71,0.39,3.51,1.5,0.76,0,3
15485.421,0.628,-0.699,0.391,6.71,0.85,0.61,0,3
15485.421,0.626,-0.682,0.388,8.73,1.04,0.55,0,3
15485.437,0.623,-0.674,0.389,8.94,0.92,1.04,0,3
15485.453,0.624,-0.671,0.387,7.23,0.15,2.01,0,3
15485.453,0.633,-0.68,0.385,4.06,-1.34,3.05,0,3
15485.468,0.639,-0.686,0.389,1.43,-2.47,3.57,0,3
15485.484,0.631,-0.684,0.394,0.85,-3.27,3.69,0,3
15485.484,0.625,-0.681,0.393,2.17,-3.85,4.27,0,3
15485.5,0.626,-0.684,0.391,4.27,-4.27,5.07,0,3
15485.515,0.625,-0.686,0.385,5.58,-4.85,5.98,0,3
15485.515,0.627,-0.705,0.383,5.83,-5.22,6.68,0,3
15485.531,0.63,-0.722,0.377,5.55,-5.8,6.99,0,3
15485.546,0.621,-0.723,0.359,5.34,-7.51,5.58,0,3
15485.562,0.617,-0.723,0.352,4.88,-8.39,5.31,0,3
15485.562,0.62,-0.728,0.339,4.7,-8.58,5.43,0,3
15485.578,0.617,-0.732,0.326,4.0,-8.12,5.37,0,3
15485.593,0.615,-0.738,0.322,2.99,-7.14,4.73,0,3
15485.593,0.613,-0.741,0.326,2.38,-5.13,4.09,0,3
15485.609,0.604,-0.739,0.328,2.17,-2.81,4.0,0,3
15485.625,0.595,-0.738,0.33,1.22,-1.28,3.88,0,3
15485.625,0.591,-0.739,0.331,0.12,-0.55,3.51,0,3
15485.64,0.587,-0.739,0.33,-1.01,-0.31,3.33,0,3
15485.656,0.583,-0.739,0.333,-1.43,0.09,3.45,0,3
15485.656,0.579,-0.745,0.334,-1.46,0.76,3.85,0,3
15485.671,0.58,-0.75,0.335,-1.25,1.19,4.03,0,3
15485.687,0.577,-0.754,0.343,-0.92,1.4,3.97,0,3
15485.687,0.578,-0.758,0.344,-0.49,1.01,3.66,0,3
15485.703,0.581,-0.758,0.345,-0.27,0.76,3.2,0,3
15485.703,0.582,-0.76,0.339,-0.76,0.76,2.62,0,3
15485.718,0.582,-0.768,0.34,-1.68,1.04,2.26,0,3
15485.734,0.586,-0.777,0.341,-2.32,1.31,1.77,0,3
15485.734,0.591,-0.784,0.343,-2.9,1.59,1.01,0,3
15485.75,0.584,-0.787,0.348,-2.23,2.11,0.0,0,3
15485.765,0.582,-0.784,0.346,-0.4,1.83,-0.73,0,3
15485.765,0.582,-0.776,0.346,1.19,1.68,-1.34,0,3
15485.781,0.578,-0.778,0.343,2.04,1.65,-1.65,0,3
15485.796,0.579,-0.783,0.342,1.98,1.98,-1.86,0,3
15485.796,0.58,-0.785,0.339,1.46,2.38,-2.47,0,3
15485.812,0.579,-0.789,0.337,0.03,2.5,-3.45,0,3
15485.812,0.575,-0.792,0.337,-1.4,2.23,-4.76,0,3
15485.828,0.574,-0.79,0.339,-1.71,1.77,-5.83,0,3
15485.843,0.576,-0.789,0.336,-0.67,1.34,-6.68,0,3
15485.843,0.576,-0.792,0.329,1.01,1.28,-7.11,0,3
15485.859,0.576,-0.793,0.326,1.98,1.8,-7.66,0,3
15485.875,0.571,-0.799,0.321,1.65,2.26,-8.7,0,3
15485.875,0.561,-0.803,0.326,0.58,2.26,-10.44,0,3
15485.89,0.554,-0.803,0.329,0.24,1.59,-12.18,0,3
15485.906,0.549,-0.798,0.324,1.25,0.79,-13.79,0,3
15485.906,0.547,-0.783,0.315,2.72,0.0,-14.74,0,3
15485.921,0.545,-0.775,0.304,4.12,-0.82,-14.98,0,3
15485.937,0.534,-0.777,0.291,5.34,-1.31,-14.77,0,3
