timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
15705.187,-0.926,-0.305,-0.125,-11.02,2.38,-0.34,0,4
15705.203,-0.93,-0.324,-0.124,-8.67,3.27,-0.03,0,4
15705.203,-0.927,-0.32,-0.124,-2.93,7.35,-0.76,0,4
15705.218,-0.926,-0.3,-0.137,-3.2,10.32,-1.07,0,4
15705.218,-0.929,-0.269,-0.154,-5.92,13.15,-1.16,0,4
15705.234,-0.931,-0.244,-0.155,-9.4,14.86,-0.67,0,4
15705.25,-0.94,-0.258,-0.151,-13.18,15.2,0.52,0,4
15705.25,-0.937,-0.282,-0.131,-15.08,14.98,2.47,0,4
15705.265,-0.929,-0.288,-0.113,-13.95,14.74,3.85,0,4
15705.281,-0.927,-0.289,-0.103,-9.89,14.65,3.63,0,4
15705.281,-0.93,-0.278,-0.096,-5.16,14.37,2.47,0,4
15705.296,-0.929,-0.25,-0.1,-1.4,13.09,1.19,0,4
15705.312,-0.923,-0.229,-0.123,1.68,12.76,-0.21,0,4
15705.312,-0.93,-0.201,-0.142,1.89,14.07,-1.16,0,4
15705.328,-0.936,-0.189,-0.139,0.52,15.44,-0.85,0,4
15705.343,-0.941,-0.195,-0.17,-0.92,15.41,0.55,0,4
15705.343,-0.949,-0.201,-0.193,-2.23,17.49,3.97,0,4
15705.359,-0.959,-0.216,-0.191,-2.38,19.17,8.61,0,4
15705.359,-0.957,-0.227,-0.179,-2.69,18.13,13.61,0,4
15705.375,-0.957,-0.241,-0.169,-4.64,14.16,17.61,0,4
15705.39,-0.953,-0.266,-0.158,-8.21,8.27,20.84,0,4
15705.39,-0.941,-0.287,-0.145,-12.05,2.26,22.06,0,4
15705.406,-0.932,-0.312,-0.143,-15.17,-3.2,21.33,0,4
15705.421,-0.93,-0.331,-0.141,-18.07,-7.54,19.59,0,4
15705.421,-0.926,-0.323,-0.138,-21.27,-11.11,16.33,0,4
15705.437,-0.926,-0.301,-0.138,-26.09,-14.89,11.63,0,4
15705.437,-0.94,-0.297,-0.128,-31.86,-18.22,6.99,0,4
15705.453,-0.949,-0.309,-0.108,-35.22,-20.63,4.76,0,4
15705.468,-0.947,-0.322,-0.097,-34.27,-22.61,5.34,0,4
15705.468,-0.94,-0.339,-0.089,-27.83,-23.68,8.21,0,4
15705.484,-0.937,-0.346,-0.085,-17.88,-23.77,11.54,0,4
15705.5,-0.935,-0.339,-0.086,-7.08,-23.04,13.58,0,4
15705.5,-0.94,-0.318,-0.093,1.71,-21.85,13.86,0,4
15705.515,-0.952,-0.296,-0.097,6.56,-21.24,13.34,0,4
15705.531,-0.962,-0.288,-0.099,7.45,-21.61,12.91,0,4
15705.531,-0.969,-0.286,-0.101,6.01,-23.04,13.15,0,4
15705.546,-0.969,-0.287,-0.106,4.0,-25.33,13.79,0,4
15705.546,-0.966,-0.295,-0.104,2.66,-28.17,14.07,0,4
15705.562,-0.965,-0.3,-0.103,2.5,-30.82,13.98,0,4
15705.578,-0.965,-0.294,-0.103,3.08,-32.38,13.12,0,4
15705.578,-0.962,-0.284,-0.109,4.0,-32.75,11.57,0,4
15705.593,-0.96,-0.273,-0.115,4.52,-32.26,9.95,0,4
15705.609,-0.959,-0.26,-0.123,4.36,-30.98,8.88,0,4
15705.609,-0.953,-0.238,-0.131,3.17,-29.11,7.9,0,4
15705.625,-0.954,-0.223,-0.136,0.43,-27.56,6.9,0,4
15705.64,-0.955,-0.207,-0.14,-4.0,-26.43,5.74,0,4
15705.656,-0.958,-0.192,-0.137,-10.22,-25.18,4.52,0,4
15705.656,-0.959,-0.184,-0.136,-16.94,-23.96,3.17,0,4
15705.671,-0.956,-0.161,-0.135,-25.15,-23.19,1.71,0,4
15705.671,-0.957,-0.137,-0.127,-35.52,-22.89,-0.52,0,4
15705.687,-0.97,-0.15,-0.114,-45.81,-23.22,-2.35,0,4
15705.703,-0.98,-0.171,-0.094,-53.77,-23.8,-2.69,0,4
15705.703,-0.984,-0.177,-0.073,-57.5,-23.83,-2.56,0,4
15705.718,-0.988,-0.186,-0.057,-56.18,-23.5,-2.14,0,4
15705.718,-0.995,-0.188,-0.035,-51.64,-22.4,-0.89,0,4
15705.734,-0.996,-0.191,-0.014,-44.65,-21.36,1.28,0,4
15705.75,-1.004,-0.183,-0.011,-36.01,-19.96,3.78,0,4
15705.765,-1.008,-0.187,0.001,-26.46,-19.01,8.42,0,4
15705.765,-1.006,-0.208,0.005,-15.78,-19.07,14.4,0,4
15705.781,-1.004,-0.215,0.011,-4.21,-19.32,20.26,0,4
15705.781,-1.001,-0.222,0.013,6.99,-19.32,24.99,0,4
15705.796,-0.997,-0.218,0.009,15.5,-19.9,27.89,0,4
15705.812,-0.993,-0.195,0.002,20.45,-21.09,28.47,0,4
15705.812,-0.998,-0.17,-0.004,22.0,-22.28,27.01,0,4
15705.828,-1.008,-0.143,-0.008,20.45,-23.71,24.72,0,4
15705.828,-1.015,-0.106,-0.015,16.51,-24.66,22.13,0,4
15705.843,-1.022,-0.07,-0.017,10.8,-25.27,19.35,0,4
15705.859,-1.054,-0.021,-0.003,-1.1,-25.3,17.27,0,4
15705.875,-1.071,-0.035,0.01,-4.88,-25.85,21.15,0,4
15705.89,-1.09,-0.045,0.021,-5.58,-27.04,27.95,0,4
15705.89,-1.099,-0.045,0.039,-1.13,-27.68,36.1,0,4
15705.906,-1.093,-0.057,0.053,7.78,-27.47,44.34,0,4
15705.921,-1.095,-0.063,0.063,17.27,-26.83,51.3,0,4
15705.921,-1.099,-0.049,0.078,25.54,-26.76,56.89,0,4
15705.937,-1.105,-0.039,0.105,32.75,-27.65,60.98,0,4
15705.953,-1.11,-0.036,0.123,38.03,-30.46,62.84,0,4
15705.953,-1.107,-0.027,0.133,41.93,-34.82,63.63,0,4
15705.968,-1.098,-0.016,0.142,45.5,-39.55,64.36,0,4
15705.968,-1.087,-0.005,0.151,48.83,-44.47,66.07,0,4
15705.984,-1.092,0.0,0.15,52.83,-49.81,68.82,0,4
15706.0,-1.101,0.007,0.144,56.98,-55.15,72.51,0,4
15706.0,-1.096,0.016,0.142,60.67,-60.06,77.0,0,4
15706.015,-1.095,0.023,0.135,65.43,-63.33,81.85,0,4
15706.031,-1.08,0.062,0.139,73.64,-67.08,93.14,0,4
15706.046,-1.072,0.081,0.141,76.39,-67.87,98.42,0,4
15706.062,-1.066,0.112,0.149,77.7,-68.64,104.01,0,4
15706.062,-1.075,0.142,0.169,79.17,-70.1,108.71,0,4
15706.078,-1.085,0.151,0.178,79.96,-72.85,112.77,0,4
15706.078,-1.091,0.167,0.188,79.04,-76.24,116.49,0,4
15706.093,-1.093,0.198,0.194,76.97,-79.41,119.3,0,4
15706.109,-1.077,0.216,0.195,73.4,-82.71,120.15,0,4
15706.109,-1.063,0.23,0.189,69.61,-85.51,118.47,0,4
