timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
15854.515,-0.018,-0.018,0.994,-1.46,-0.34,-0.52,0,5
15854.515,-0.022,-0.016,0.997,-3.02,0.49,-0.31,0,5
15854.531,-0.023,-0.021,1.002,-3.91,0.95,0.03,0,5
15854.531,-0.023,-0.028,1.012,-3.75,0.85,0.58,0,5
15854.546,-0.022,-0.035,1.008,-2.75,0.64,0.58,0,5
15854.562,-0.021,-0.029,1.008,-1.59,0.58,0.15,0,5
15854.562,-0.022,-0.02,1.012,-1.53,0.67,-0.37,0,5
15854.578,-0.024,-0.019,1.011,-1.98,0.34,-0.4,0,5
15854.593,-0.019,-0.021,1.012,-2.56,-0.06,0.24,0,5
15854.593,-0.018,-0.024,1.012,-3.45,-0.4,0.73,0,5
15854.609,-0.021,-0.038,1.006,-3.27,-1.07,0.82,0,5
15854.625,-0.019,-0.049,1.002,-1.28,-0.98,0.37,0,5
15854.625,-0.014,-0.044,1.001,-1.4,-0.12,-0.64,0,5
15854.64,-0.017,-0.036,1.0,-2.66,0.09,-1.37,0,5
15854.656,-0.027,-0.024,1.004,-4.61,-0.4,-1.37,0,5
15854.656,-0.025,-0.029,1.007,-5.77,-0.95,-0.79,0,5
15854.671,-0.019,-0.035,1.007,-5.89,-1.01,-0.31,0,5
15854.687,-0.017,-0.045,1.012,-3.85,-0.58,-0.37,0,5
15854.703,-0.02,-0.049,1.003,-1.62,-0.7,-0.43,0,5
15854.703,-0.021,-0.04,0.995,0.37,-1.13,-0.49,0,5
15854.718,-0.021,-0.031,0.989,1.16,-1.28,-0.82,0,5
15854.734,-0.02,-0.027,0.982,0.64,-0.92,-0.7,0,5
15854.734,-0.017,-0.026,0.981,-0.82,-0.18,-0.43,0,5
15854.75,-0.014,-0.03,0.98,-2.2,0.03,-0.21,0,5
15854.765,-0.016,-0.033,0.977,-3.72,-0.12,-0.31,0,5
15854.765,-0.023,-0.036,0.977,-4.82,-0.18,-0.52,0,5
15854.781,-0.024,-0.032,0.975,-5.89,0.06,-0.67,0,5
15854.781,-0.025,-0.027,0.976,-7.45,0.37,-0.73,0,5
15854.796,-0.023,-0.03,0.981,-9.0,0.21,-0.37,0,5
