timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
18291.75,0.206,-0.822,0.536,-14.01,13.7,1.43,3,2
18291.765,0.201,-0.835,0.546,-14.59,12.27,1.8,3,2
18291.765,0.175,-0.847,0.543,-13.61,11.41,0.89,3,2
18291.781,0.162,-0.857,0.541,-11.81,9.13,-0.61,3,2
18291.781,0.171,-0.859,0.549,-8.51,6.38,-2.84,3,2
18291.796,0.177,-0.859,0.538,-2.5,4.43,-5.01,3,2
18291.812,0.211,-0.832,0.521,2.9,2.99,-5.98,3,2
18291.812,0.238,-0.814,0.521,5.43,2.75,-6.65,3,2
18291.828,0.252,-0.805,0.518,7.17,2.53,-6.01,3,2
18291.843,0.287,-0.76,0.514,6.26,2.11,-3.72,3,2
18291.843,0.296,-0.745,0.509,2.53,3.72,-2.53,3,2
18291.859,0.273,-0.757,0.515,-2.56,6.13,-1.74,3,2
18291.875,0.241,-0.769,0.532,-6.44,7.81,-0.82,3,2
18291.875,0.206,-0.801,0.546,-6.93,8.36,-0.18,3,2
18291.89,0.159,-0.821,0.561,-4.09,7.48,0.03,3,2
18291.906,0.12,-0.835,0.565,1.04,3.75,0.55,3,2
18291.906,0.117,-0.847,0.561,5.62,-3.11,0.67,3,2
18291.921,0.165,-0.852,0.517,14.4,-15.14,-1.43,3,2
18291.937,0.208,-0.85,0.506,14.8,-16.75,-2.78,3,2
18291.953,0.236,-0.838,0.504,13.4,-14.4,-4.64,3,2
18291.953,0.23,-0.825,0.527,12.73,-9.89,-6.9,3,2
18291.968,0.206,-0.806,0.559,13.0,-5.92,-7.29,3,2
18291.984,0.18,-0.789,0.593,14.19,-4.82,-6.1,3,2
18291.984,0.154,-0.775,0.603,15.75,-6.68,-4.18,3,2
18292.0,0.153,-0.76,0.597,15.2,-10.32,-1.43,3,2
18292.015,0.176,-0.769,0.608,13.43,-13.31,0.85,3,2
18292.031,0.181,-0.794,0.588,14.22,-14.07,2.47,3,2
18292.031,0.2,-0.799,0.564,14.59,-13.06,4.82,3,2
18292.031,0.204,-0.808,0.546,12.94,-10.25,5.71,3,2
18292.046,0.192,-0.828,0.534,9.16,-6.99,6.2,3,2
18292.062,0.208,-0.847,0.533,4.58,-4.76,6.78,3,2
18292.062,0.22,-0.866,0.535,1.28,-1.74,5.92,3,2
18292.078,0.207,-0.873,0.556,0.0,1.4,3.81,3,2
18292.093,0.18,-0.851,0.582,-1.16,4.03,1.5,3,2
18292.109,0.181,-0.845,0.588,-3.66,3.72,-0.64,3,2
18292.125,0.161,-0.846,0.598,-5.13,3.3,-2.99,3,2
18292.125,0.146,-0.839,0.599,-3.6,-1.5,-3.57,3,2
18292.14,0.152,-0.831,0.572,-5.34,-4.15,-4.55,3,2
18292.156,0.184,-0.841,0.538,-7.08,-4.67,-7.42,3,2
18292.156,0.196,-0.851,0.516,-6.84,-4.03,-10.1,3,2
18292.171,0.197,-0.845,0.515,-4.76,-2.87,-11.81,3,2
18292.171,0.188,-0.827,0.506,-1.74,-1.43,-12.12,3,2
18292.187,0.191,-0.802,0.505,-0.52,-0.67,-10.8,3,2
18292.203,0.212,-0.803,0.505,-1.22,-0.82,-9.92,3,2
18292.218,0.239,-0.803,0.511,-1.07,-0.67,-10.04,3,2
18292.218,0.228,-0.789,0.523,1.5,0.82,-10.1,3,2
18292.234,0.208,-0.774,0.534,4.67,2.08,-8.09,3,2
18292.234,0.211,-0.76,0.532,6.53,2.08,-3.97,3,2
18292.25,0.225,-0.76,0.53,6.2,1.92,-0.06,3,2
18292.265,0.233,-0.799,0.541,2.38,3.66,4.15,3,2
18292.281,0.233,-0.816,0.557,2.08,4.36,5.55,3,2
18292.296,0.234,-0.825,0.569,2.5,4.55,5.71,3,2
18292.296,0.214,-0.838,0.573,3.08,4.24,5.25,3,2
18292.312,0.205,-0.845,0.576,2.56,2.53,5.13,3,2
18292.312,0.213,-0.858,0.573,1.56,0.21,4.49,3,2
18292.328,0.214,-0.874,0.555,0.34,-1.68,2.26,3,2
18292.343,0.218,-0.891,0.545,-0.73,-3.14,-1.01,3,2
18292.343,0.228,-0.898,0.535,-0.46,-4.09,-4.91,3,2
18292.359,0.227,-0.896,0.516,0.85,-4.27,-9.49,3,2
18292.375,0.224,-0.897,0.501,2.62,-5.31,-14.65,3,2
18292.375,0.235,-0.896,0.478,4.64,-7.17,-20.14,3,2
18292.39,0.245,-0.887,0.452,6.9,-8.64,-25.85,3,2
18292.406,0.257,-0.878,0.422,9.55,-8.91,-30.64,3,2
18292.406,0.273,-0.875,0.403,11.2,-8.03,-34.3,3,2
18292.421,0.289,-0.869,0.375,10.74,-4.94,-37.32,3,2
18292.437,0.285,-0.87,0.337,8.09,8.58,-40.19,3,2
18292.453,0.265,-0.884,0.331,5.04,16.42,-40.25,3,2
18292.453,0.245,-0.902,0.317,1.53,22.92,-40.04,3,2
18292.468,0.231,-0.919,0.296,-0.37,27.44,-40.83,3,2
18292.484,0.218,-0.939,0.284,0.95,30.88,-42.7,3,2
18292.484,0.209,-0.952,0.277,6.13,31.25,-46.33,3,2
18292.5,0.22,-0.962,0.259,15.96,29.33,-51.45,3,2
18292.515,0.263,-0.958,0.235,28.5,26.67,-58.08,3,2
18292.515,0.297,-0.946,0.206,41.93,23.87,-65.58,3,2
18292.531,0.309,-0.938,0.183,55.39,24.81,-73.03,3,2
18292.546,0.316,-0.914,0.175,67.78,25.76,-79.04,3,2
18292.546,0.357,-0.889,0.174,78.74,25.54,-83.96,3,2
18292.562,0.41,-0.864,0.174,88.63,28.9,-87.53,3,2
18292.562,0.449,-0.832,0.175,96.96,35.1,-89.85,3,2
18292.578,0.482,-0.797,0.197,103.03,45.26,-90.52,3,2
18292.593,0.505,-0.769,0.226,107.82,57.71,-89.69,3,2
18292.609,0.472,-0.698,0.304,114.51,84.32,-85.85,3,2
18292.625,0.451,-0.66,0.354,117.4,92.01,-84.17,3,2
18292.64,0.416,-0.652,0.401,119.54,97.84,-81.36,3,2
18292.64,0.399,-0.619,0.446,119.82,98.39,-78.65,3,2
18292.656,0.384,-0.603,0.498,121.16,95.28,-76.2,3,2
18292.656,0.365,-0.582,0.576,124.18,87.8,-72.91,3,2
18292.671,0.311,-0.559,0.671,130.34,74.59,-67.51,3,2
18292.671,0.243,-0.536,0.788,139.87,49.62,-57.59,3,2
18292.687,0.183,-0.551,0.85,154.12,14.44,-42.7,3,2
18292.703,0.186,-0.545,0.839,166.97,-24.57,-27.77,3,2
18292.703,0.245,-0.507,0.79,172.4,-62.38,-20.94,3,2
18292.718,0.349,-0.49,0.742,167.97,-98.3,-26.61,3,2
18292.734,0.435,-0.492,0.727,157.29,-123.75,-41.47,3,2
18292.734,0.495,-0.498,0.716,149.69,-138.07,-60.24,3,2
18292.75,0.538,-0.498,0.707,149.69,-142.09,-78.13,3,2
18292.765,0.574,-0.495,0.707,156.9,-138.04,-93.26,3,2
18292.765,0.582,-0.444,0.716,166.23,-128.27,-108.34,3,2
18292.781,0.55,-0.361,0.724,167.64,-118.44,-126.07,3,2
18292.796,0.485,-0.266,0.772,161.14,-112.43,-145.27,3,2
18292.796,0.436,-0.143,0.822,154.24,-109.38,-159.15,3,2
18292.812,0.401,-0.0,0.863,147.4,-107.52,-165.14,3,2
18292.812,0.389,0.101,0.887,138.22,-106.33,-163.52,3,2
18292.828,0.426,0.178,0.919,124.85,-105.59,-158.3,3,2
18292.843,0.468,0.234,0.939,109.78,-102.79,-155.31,3,2
18292.843,0.523,0.253,0.926,92.81,-96.62,-155.8,3,2
18292.859,0.6,0.28,0.903,71.81,-84.05,-161.23,3,2
18292.875,0.627,0.266,0.891,50.97,-62.29,-173.83,3,2
18292.89,0.584,0.264,0.955,34.55,-34.85,-189.79,3,2
18292.89,0.447,0.353,1.085,27.86,-9.09,-204.9,3,2
18292.906,0.28,0.394,1.171,31.62,6.01,-213.39,3,2
18292.906,0.117,0.469,1.254,39.77,6.01,-211.22,3,2
18292.921,0.03,0.489,1.243,50.45,-7.29,-199.13,3,2
18292.937,0.119,0.525,1.134,55.67,-44.13,-171.58,3,2
18292.953,0.193,0.513,1.065,54.69,-50.87,-166.84,3,2
18292.953,0.249,0.508,0.986,53.62,-50.14,-168.03,3,2
18292.968,0.266,0.497,0.902,53.29,-37.93,-168.55,3,2
18292.984,0.288,0.488,0.866,51.45,-19.96,-167.64,3,2
18292.984,0.267,0.496,0.849,52.77,-0.85,-168.61,3,2
18293.0,0.234,0.509,0.855,57.34,17.37,-168.83,3,2
18293.015,0.199,0.538,0.897,63.97,30.76,-168.83,3,2
18293.015,0.119,0.568,0.944,71.32,36.96,-165.5,3,2
18293.031,0.069,0.57,0.973,75.93,34.76,-153.72,3,2
18293.046,0.067,0.591,0.976,79.13,25.21,-137.06,3,2
18293.046,0.086,0.626,0.95,79.62,11.6,-119.94,3,2
18293.062,0.121,0.648,0.901,72.15,-4.27,-105.32,3,2
18293.062,0.183,0.645,0.844,58.44,-17.33,-93.08,3,2
18293.078,0.246,0.65,0.787,40.13,-24.9,-85.54,3,2
18293.093,0.293,0.64,0.738,18.62,-27.5,-81.82,3,2
18293.109,0.339,0.632,0.712,-2.32,-23.16,-79.41,3,2
18293.109,0.359,0.629,0.7,-19.87,-13.73,-76.24,3,2
18293.125,0.378,0.616,0.697,-35.49,10.35,-65.95,3,2
18293.125,0.392,0.632,0.696,-36.41,21.58,-57.56,3,2
18293.14,0.323,0.585,0.703,-34.82,29.42,-48.55,3,2
18293.156,0.35,0.627,0.808,-28.69,38.79,-45.96,3,2
18293.156,0.356,0.701,0.856,-22.61,49.68,-51.79,3,2
18293.171,0.342,0.762,0.932,-19.26,62.35,-61.56,3,2
18293.187,0.343,0.845,1.006,-14.1,73.79,-69.37,3,2
18293.187,0.301,0.934,1.041,-8.97,78.95,-73.73,3,2
18293.203,0.178,0.878,1.027,-8.76,70.93,-67.08,3,2
18293.203,0.119,0.764,0.99,-13.46,52.4,-49.23,3,2
18293.218,0.139,0.671,0.943,-21.45,27.56,-31.68,3,2
18293.234,0.215,0.624,0.867,-31.43,2.17,-23.41,3,2
18293.234,0.265,0.553,0.784,-43.37,-16.94,-22.74,3,2
18293.25,0.285,0.494,0.721,-57.56,-26.4,-27.95,3,2
