timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
18228.203,-0.022,-0.862,0.491,8.55,-2.35,-20.14,3,1
18228.203,-0.023,-0.847,0.486,7.2,-4.94,-17.73,3,1
18228.218,-0.005,-0.85,0.476,4.55,-7.6,-14.07,3,1
18228.234,0.008,-0.856,0.455,3.05,-8.79,-10.59,3,1
18228.234,0.021,-0.861,0.415,1.13,-8.0,-8.09,3,1
18228.25,0.032,-0.871,0.435,0.15,-6.5,-6.1,3,1
18228.25,0.026,-0.866,0.452,1.53,-5.34,-4.43,3,1
18228.265,0.025,-0.862,0.454,2.14,-5.31,-2.23,3,1
18228.281,0.02,-0.869,0.461,1.65,-5.95,0.24,3,1
18228.296,0.016,-0.874,0.478,1.56,-7.29,2.56,3,1
18228.296,0.014,-0.872,0.467,2.04,-8.97,5.07,3,1
18228.312,0.024,-0.882,0.454,0.98,-10.68,7.48,3,1
18228.312,0.032,-0.915,0.443,0.18,-11.2,8.58,3,1
18228.328,0.032,-0.931,0.422,1.89,-9.86,8.7,3,1
18228.343,0.023,-0.928,0.401,2.32,-7.57,8.55,3,1
18228.343,0.009,-0.949,0.393,0.06,-5.25,7.08,3,1
18228.359,0.001,-0.965,0.409,-0.58,-3.08,4.88,3,1
18228.359,-0.015,-0.963,0.407,1.16,-0.67,3.3,3,1
18228.375,0.001,-0.954,0.413,0.64,0.58,2.23,3,1
18228.39,0.007,-0.957,0.431,-1.53,1.46,0.0,3,1
18228.39,0.0,-0.96,0.451,-1.77,2.01,-2.59,3,1
18228.406,-0.003,-0.945,0.466,-0.06,1.89,-4.43,3,1
18228.421,-0.019,-0.932,0.466,1.04,0.95,-5.83,3,1
18228.437,-0.017,-0.922,0.48,0.61,-1.13,-7.08,3,1
18228.437,-0.014,-0.911,0.495,0.82,-3.54,-8.15,3,1
18228.453,-0.008,-0.9,0.473,1.31,-5.62,-7.97,3,1
18228.453,0.016,-0.892,0.459,1.71,-7.08,-7.81,3,1
18228.468,0.035,-0.892,0.437,2.26,-7.14,-8.61,3,1
18228.484,0.019,-0.885,0.428,2.44,-5.58,-10.04,3,1
18228.484,-0.004,-0.881,0.427,2.04,-3.72,-10.47,3,1
18228.5,-0.003,-0.876,0.439,2.29,-2.26,-9.58,3,1
18228.5,0.004,-0.872,0.449,4.06,-1.4,-8.39,3,1
18228.515,0.003,-0.869,0.463,5.65,-1.01,-6.93,3,1
18228.531,0.006,-0.881,0.483,6.5,-2.11,-6.07,3,1
18228.531,0.008,-0.899,0.501,7.45,-4.33,-6.62,3,1
18228.546,0.005,-0.914,0.514,9.37,-6.99,-8.42,3,1
18228.562,0.005,-0.917,0.532,11.47,-9.55,-10.71,3,1
18228.578,0.012,-0.907,0.549,13.79,-12.79,-14.16,3,1
18228.578,0.036,-0.891,0.59,16.69,-17.33,-18.98,3,1
18228.593,0.061,-0.859,0.637,22.1,-22.49,-24.57,3,1
18228.593,0.073,-0.808,0.689,30.06,-30.12,-30.85,3,1
18228.609,0.079,-0.769,0.719,38.12,-40.22,-36.9,3,1
18228.625,0.074,-0.748,0.734,46.72,-51.85,-43.24,3,1
18228.625,0.08,-0.762,0.727,57.53,-65.61,-51.03,3,1
18228.64,0.104,-0.764,0.692,71.57,-78.07,-59.39,3,1
18228.656,0.132,-0.769,0.67,86.18,-86.89,-67.96,3,1
18228.656,0.15,-0.768,0.654,98.64,-91.49,-76.66,3,1
18228.671,0.166,-0.738,0.659,108.58,-93.48,-85.18,3,1
18228.671,0.195,-0.705,0.668,113.65,-95.31,-93.97,3,1
18228.687,0.246,-0.699,0.651,116.09,-94.88,-105.01,3,1
18228.703,0.287,-0.704,0.661,125.37,-80.14,-136.05,3,1
18228.718,0.235,-0.682,0.688,135.69,-67.66,-154.36,3,1
18228.734,0.146,-0.659,0.702,149.6,-56.06,-170.14,3,1
18228.734,0.124,-0.658,0.697,165.35,-49.26,-179.57,3,1
18228.75,0.148,-0.634,0.719,181.68,-43.73,-183.63,3,1
18228.765,0.167,-0.576,0.73,202.83,-35.55,-186.07,3,1
18228.765,0.223,-0.505,0.697,221.32,-25.3,-186.74,3,1
18228.781,0.212,-0.455,0.631,230.17,-12.6,-191.56,3,1
