timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
17951.515,0.808,-0.283,0.278,156.5,-96.26,-228.19,3,0
17951.531,0.572,-0.055,0.13,182.2,-103.98,-271.0,3,0
17951.546,0.383,0.164,0.001,214.3,-117.13,-310.98,3,0
17951.546,0.266,0.406,-0.195,248.7,-127.26,-338.33,3,0
17951.562,0.17,0.727,-0.401,261.64,-126.9,-343.85,3,0
17951.578,0.062,1.076,-0.651,252.24,-121.31,-327.43,3,0
17951.578,0.073,1.411,-0.859,219.89,-110.14,-286.48,3,0
17951.593,0.169,1.665,-0.992,166.63,-88.47,-222.24,3,0
17951.593,0.24,1.787,-1.03,102.48,-51.39,-141.82,3,0
17951.609,0.279,1.772,-0.972,38.24,-6.07,-49.84,3,0
17951.625,0.301,1.621,-0.844,-18.49,38.45,43.0,3,0
17951.625,0.336,1.393,-0.669,-64.76,74.43,123.81,3,0
17951.64,0.42,1.137,-0.451,-101.47,99.83,187.81,3,0
17951.656,0.54,0.866,-0.219,-181.68,112.46,258.83,3,0
17951.656,0.705,0.617,0.052,-230.51,89.21,264.2,3,0
17951.671,0.852,0.27,0.321,-287.33,57.47,259.25,3,0
17951.687,0.93,-0.112,0.568,-337.93,9.52,239.84,3,0
17951.687,0.981,-0.808,0.942,-356.76,-60.67,208.93,3,0
17951.703,1.165,-1.208,0.98,-334.51,-138.52,168.28,3,0
17951.718,1.447,-1.346,0.927,-269.66,-198.71,114.93,3,0
17951.718,1.666,-1.3,0.756,-174.75,-221.2,49.71,3,0
17951.734,1.709,-1.13,0.508,-78.28,-205.97,-22.16,3,0
17951.75,1.598,-0.866,0.269,2.38,-174.29,-96.65,3,0
17951.75,1.383,-0.566,0.08,64.24,-138.0,-167.27,3,0
17951.765,1.076,-0.3,-0.068,115.57,-103.15,-229.8,3,0
17951.781,0.782,-0.022,-0.222,160.92,-76.88,-285.23,3,0
17951.781,0.509,0.282,-0.341,198.58,-62.87,-330.48,3,0
17951.796,0.267,0.587,-0.455,225.9,-56.0,-350.08,3,0
17951.812,-0.016,0.958,-0.619,234.02,-50.45,-337.63,3,0
17951.812,-0.253,1.354,-0.799,213.39,-50.66,-294.66,3,0
17951.812,-0.29,1.65,-0.963,163.76,-57.95,-224.56,3,0
17951.828,-0.216,1.797,-1.063,96.84,-61.31,-138.92,3,0
17951.843,0.028,1.63,-1.055,-28.96,-19.87,41.14,3,0
17951.859,0.147,1.395,-0.971,-72.27,13.43,116.4,3,0
17951.875,0.293,1.153,-0.843,-101.84,48.74,177.53,3,0
17951.875,0.459,0.914,-0.677,-119.14,81.76,222.11,3,0
17951.89,0.633,0.696,-0.468,-125.49,110.75,252.72,3,0
17951.906,0.804,0.494,-0.217,-125.43,134.86,271.74,3,0
17951.906,0.963,0.288,0.054,-124.88,149.02,279.09,3,0
17951.921,1.129,0.046,0.298,-130.13,148.01,275.25,3,0
17951.937,1.198,-0.237,0.511,-145.3,131.26,258.43,3,0
17951.937,1.212,-0.526,0.736,-169.38,96.13,224.25,3,0
17951.953,1.277,-0.827,0.918,-188.42,39.74,174.44,3,0
17951.968,1.392,-1.111,0.949,-181.34,-23.59,111.0,3,0
17951.968,1.574,-1.304,0.878,-141.03,-71.66,42.88,3,0
17951.984,1.677,-1.241,0.72,-75.9,-96.01,-28.72,3,0
17952.0,1.616,-1.028,0.527,-4.46,-97.23,-97.05,3,0
17952.0,1.476,-0.758,0.331,51.61,-88.26,-155.67,3,0
17952.015,1.275,-0.471,0.148,87.19,-75.81,-207.4,3,0
17952.031,1.023,-0.237,-0.01,113.32,-64.03,-256.81,3,0
17952.031,0.791,-0.046,-0.168,138.65,-54.45,-305.73,3,0
17952.046,0.604,0.126,-0.316,168.95,-43.95,-351.36,3,0
17952.046,0.392,0.324,-0.463,206.21,-29.6,-387.01,3,0
17952.062,0.097,0.601,-0.621,245.46,-12.67,-405.16,3,0
17952.062,-0.219,1.013,-0.843,272.07,-1.8,-399.79,3,0
17952.078,-0.419,1.484,-1.102,264.53,1.16,-359.75,3,0
17952.093,-0.435,1.934,-1.262,215.25,3.81,-282.39,3,0
17952.109,-0.358,2.227,-1.293,138.34,16.94,-173.19,3,0
17952.109,-0.293,2.252,-1.202,50.94,39.74,-47.15,3,0
17952.125,-0.23,2.011,-1.055,-34.42,63.36,75.41,3,0
17952.125,-0.111,1.647,-0.894,-108.77,80.81,178.53,3,0
17952.14,0.074,1.264,-0.699,-164.43,93.75,253.15,3,0
17952.156,0.309,0.908,-0.481,-200.2,104.98,300.3,3,0
17952.156,0.5,0.598,-0.232,-218.27,114.44,325.85,3,0
17952.187,0.805,-0.015,0.336,-203.96,108.13,332.8,3,0
17952.187,1.007,-0.248,0.533,-187.87,85.94,320.41,3,0
17952.203,1.142,-0.471,0.7,-181.31,58.35,302.5,3,0
17952.218,1.177,-0.716,0.854,-178.75,26.58,272.9,3,0
17952.218,1.268,-1.036,0.907,-169.93,-17.79,225.5,3,0
17952.234,1.43,-1.27,0.876,-149.63,-63.72,157.14,3,0
17952.25,1.558,-1.335,0.785,-108.49,-96.32,76.2,3,0
17952.25,1.604,-1.292,0.636,-49.78,-110.51,-5.25,3,0
17952.265,1.552,-1.105,0.453,11.26,-107.3,-78.98,3,0
17952.265,1.4,-0.814,0.259,64.09,-93.11,-142.49,3,0
17952.281,1.173,-0.531,0.091,105.5,-76.66,-197.61,3,0
17952.296,0.934,-0.286,-0.021,140.57,-62.75,-245.58,3,0
17952.296,0.701,-0.079,-0.131,180.76,-56.0,-291.57,3,0
17952.312,0.538,0.067,-0.286,227.18,-54.05,-333.38,3,0
17952.328,0.374,0.291,-0.452,270.64,-47.06,-359.26,3,0
17952.328,0.128,0.663,-0.626,310.83,-32.01,-363.57,3,0
17952.343,-0.089,1.139,-0.831,333.84,-20.05,-341.65,3,0
17952.343,-0.224,1.595,-1.041,315.78,-14.89,-293.04,3,0
17952.359,-0.225,1.941,-1.161,252.72,-10.04,-217.75,3,0
17952.375,-0.132,2.151,-1.209,161.6,1.71,-120.73,3,0
17952.375,-0.013,2.141,-1.178,56.92,23.96,-11.23,3,0
17952.39,0.098,1.93,-1.046,-46.54,50.08,95.89,3,0
17952.406,0.223,1.601,-0.846,-133.0,76.27,191.41,3,0
17952.421,0.384,1.223,-0.586,-195.04,99.95,269.54,3,0
17952.421,0.543,0.837,-0.3,-228.52,119.14,328.44,3,0
17952.437,0.672,0.476,-0.069,-236.92,130.95,370.56,3,0
17952.437,0.783,0.181,0.096,-231.18,130.92,399.09,3,0
17952.453,0.88,-0.076,0.241,-220.28,127.05,418.16,3,0
17952.468,0.871,-0.274,0.428,-212.84,119.88,428.27,3,0
17952.468,0.894,-0.572,0.516,-216.38,97.17,416.76,3,0
17952.484,1.007,-0.853,0.611,-248.39,54.99,366.41,3,0
17952.5,1.175,-1.121,0.668,-276.65,-1.62,280.59,3,0
17952.515,1.463,-1.664,0.646,-208.75,-95.4,52.1,3,0
17952.531,1.478,-1.596,0.582,-111.12,-110.63,-57.01,3,0
17952.531,1.376,-1.293,0.442,-1.22,-107.24,-148.05,3,0
17952.546,1.223,-0.929,0.246,89.51,-94.67,-219.4,3,0
17952.546,1.039,-0.587,0.055,152.32,-81.33,-279.21,3,0
17952.562,0.835,-0.312,-0.094,193.18,-72.24,-331.86,3,0
17952.578,0.649,-0.095,-0.194,221.11,-70.77,-378.73,3,0
17952.578,0.39,0.05,-0.276,250.04,-74.47,-420.97,3,0
17952.593,0.084,0.168,-0.437,284.49,-81.33,-453.47,3,0
17952.593,-0.167,0.405,-0.67,308.66,-92.38,-474.59,3,0
17952.609,-0.42,0.785,-0.973,309.7,-105.41,-476.18,3,0
17952.625,-0.492,1.283,-1.312,280.25,-111.12,-444.14,3,0
17952.625,-0.348,1.74,-1.555,112.52,-76.72,-273.35,3,0
17952.64,-0.149,2.02,-1.661,14.74,-26.37,-148.93,3,0
17952.656,-0.043,2.097,-1.63,-73.89,34.36,-14.4,3,0
17952.656,-0.032,1.941,-1.502,-146.92,85.67,112.06,3,0
17952.671,0.054,1.337,-1.015,-197.18,126.77,214.73,3,0
17952.687,0.185,1.035,-0.77,-223.46,158.45,287.24,3,0
17952.687,0.372,0.775,-0.5,-235.3,178.96,332.22,3,0
17952.703,0.576,0.554,-0.207,-232.7,191.29,354.56,3,0
17952.718,0.761,0.35,0.061,-215.49,199.99,362.32,3,0
17952.718,0.873,0.138,0.295,-192.88,202.46,365.49,3,0
17952.734,0.986,-0.003,0.545,-180.82,195.96,365.79,3,0
17952.734,0.991,-0.128,0.806,-195.32,174.72,359.05,3,0
17952.75,0.968,-0.493,0.932,-239.94,126.35,326.33,3,0
17952.765,1.031,-0.84,1.063,-308.94,45.56,261.7,3,0
17952.765,1.24,-1.286,1.121,-334.88,-47.79,177.62,3,0
17952.781,1.506,-1.711,1.104,-285.41,-118.72,84.87,3,0
