timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
18627.718,-0.328,0.243,0.895,2.35,-0.34,-2.96,3,6
18627.734,-0.338,0.257,0.907,3.14,0.15,-3.3,3,6
18627.75,-0.344,0.267,0.916,3.6,-0.67,-2.66,3,6
18627.75,-0.344,0.274,0.926,3.54,-2.14,-1.46,3,6
18627.765,-0.348,0.269,0.918,3.27,-3.91,-0.21,3,6
18627.781,-0.337,0.258,0.904,2.11,-5.49,0.64,3,6
18627.796,-0.329,0.242,0.89,1.71,-5.86,-0.06,3,6
18627.796,-0.333,0.228,0.877,2.47,-4.91,-1.22,3,6
18627.812,-0.327,0.234,0.872,2.53,-3.48,-2.93,3,6
18627.812,-0.333,0.241,0.876,2.56,-1.77,-4.94,3,6
18627.828,-0.342,0.248,0.887,3.02,-0.34,-6.2,3,6
18627.843,-0.341,0.262,0.892,3.3,0.21,-6.59,3,6
18627.843,-0.344,0.269,0.898,3.11,0.24,-6.62,3,6
18627.859,-0.355,0.275,0.91,3.02,0.09,-5.8,3,6
18627.859,-0.349,0.28,0.908,2.53,-0.92,-4.0,3,6
18627.875,-0.328,0.275,0.908,0.95,-2.14,-2.84,3,6
18627.89,-0.328,0.265,0.911,0.55,-2.66,-2.96,3,6
18627.906,-0.338,0.27,0.906,-1.19,-4.36,-0.85,3,6
18627.921,-0.327,0.248,0.894,-0.95,-3.3,-1.8,3,6
18627.921,-0.326,0.233,0.888,0.67,-1.62,-2.81,3,6
18627.937,-0.335,0.249,0.895,1.89,-0.46,-3.05,3,6
18627.953,-0.34,0.254,0.909,2.08,-0.27,-3.11,3,6
18627.953,-0.339,0.255,0.907,1.8,-1.16,-2.56,3,6
18627.968,-0.329,0.26,0.908,0.82,-2.26,-2.08,3,6
18627.984,-0.324,0.26,0.897,0.52,-2.96,-2.5,3,6
18627.984,-0.326,0.267,0.89,1.25,-2.69,-2.44,3,6
18628.0,-0.329,0.28,0.887,1.13,-1.71,-1.53,3,6
18628.015,-0.331,0.277,0.894,-0.09,-0.85,-0.46,3,6
18628.015,-0.331,0.261,0.901,-1.07,-0.46,0.46,3,6
18628.031,-0.319,0.244,0.906,-1.19,-0.67,0.58,3,6
18628.031,-0.324,0.232,0.907,0.0,-0.89,-0.82,3,6
18628.046,-0.334,0.229,0.907,0.89,-1.71,-2.56,3,6
18628.062,-0.334,0.233,0.901,1.31,-2.72,-4.15,3,6
18628.078,-0.329,0.248,0.886,2.32,-3.45,-6.81,3,6
18628.093,-0.323,0.252,0.889,2.56,-3.05,-7.35,3,6
18628.093,-0.328,0.252,0.892,3.2,-2.47,-8.21,3,6
18628.109,-0.331,0.252,0.901,3.91,-2.2,-9.0,3,6
18628.109,-0.336,0.26,0.904,4.21,-2.87,-9.77,3,6
18628.125,-0.342,0.265,0.902,4.58,-3.85,-10.56,3,6
18628.14,-0.342,0.275,0.899,4.73,-4.52,-10.65,3,6
18628.14,-0.345,0.275,0.899,4.18,-4.88,-9.61,3,6
18628.156,-0.342,0.263,0.899,3.23,-5.01,-8.33,3,6
18628.171,-0.338,0.252,0.903,2.47,-5.1,-8.15,3,6
18628.171,-0.336,0.236,0.904,2.44,-5.34,-9.19,3,6
18628.187,-0.333,0.219,0.902,3.36,-5.77,-11.2,3,6
18628.203,-0.336,0.202,0.913,5.22,-6.47,-14.28,3,6
18628.203,-0.346,0.191,0.931,7.39,-8.09,-18.22,3,6
18628.218,-0.354,0.172,0.943,9.77,-10.96,-22.68,3,6
18628.234,-0.357,0.137,0.964,12.94,-14.95,-28.32,3,6
18628.25,-0.364,0.078,0.98,24.72,-26.61,-45.78,3,6
18628.265,-0.352,0.051,0.991,31.86,-33.33,-56.89,3,6
18628.265,-0.336,0.032,1.002,41.05,-40.31,-70.19,3,6
18628.281,-0.331,0.032,1.016,52.49,-48.04,-84.32,3,6
18628.281,-0.305,0.025,1.062,64.49,-56.64,-97.93,3,6
18628.296,-0.292,0.048,1.09,79.04,-67.38,-112.52,3,6
18628.312,-0.297,0.117,1.116,91.04,-79.65,-125.19,3,6
18628.312,-0.284,0.167,1.142,98.03,-93.54,-135.11,3,6
18628.328,-0.271,0.189,1.168,102.51,-107.61,-141.82,3,6
18628.343,-0.245,0.185,1.182,106.81,-121.25,-147.56,3,6
18628.343,-0.216,0.183,1.174,111.33,-132.88,-153.36,3,6
18628.359,-0.199,0.191,1.165,116.15,-141.61,-158.85,3,6
18628.375,-0.178,0.2,1.154,119.36,-148.17,-163.52,3,6
18628.375,-0.175,0.204,1.135,121.16,-152.41,-166.2,3,6
18628.39,-0.174,0.224,1.124,117.98,-156.04,-166.39,3,6
18628.39,-0.17,0.248,1.125,111.48,-159.98,-164.59,3,6
18628.406,-0.14,0.263,1.112,104.53,-164.56,-160.99,3,6
18628.421,-0.087,0.258,1.071,98.82,-168.31,-156.9,3,6
18628.421,-0.037,0.26,1.02,94.79,-169.38,-153.26,3,6
18628.437,0.005,0.267,0.971,92.44,-166.78,-150.49,3,6
18628.453,0.047,0.278,0.929,90.52,-161.02,-148.26,3,6
18628.453,0.078,0.298,0.891,88.2,-152.75,-145.7,3,6
18628.468,0.098,0.316,0.871,85.06,-142.7,-143.04,3,6
18628.484,0.112,0.323,0.863,82.46,-132.36,-140.57,3,6
18628.484,0.09,0.359,0.881,82.46,-122.47,-137.94,3,6
18628.5,0.043,0.397,0.904,85.02,-115.85,-133.79,3,6
18628.515,-0.01,0.463,0.912,85.06,-114.14,-125.8,3,6
18628.515,-0.051,0.537,0.913,79.9,-118.11,-114.41,3,6
18628.531,-0.037,0.574,0.897,68.61,-126.77,-99.89,3,6
18628.546,-0.005,0.6,0.866,54.14,-135.23,-85.63,3,6
18628.546,0.015,0.597,0.826,41.75,-139.41,-75.44,3,6
18628.562,0.03,0.577,0.782,33.94,-139.01,-68.97,3,6
18628.578,0.076,0.571,0.702,35.62,-128.03,-59.69,3,6
18628.593,0.09,0.569,0.665,39.31,-118.11,-55.24,3,6
18628.593,0.089,0.562,0.647,41.41,-106.66,-49.87,3,6
18628.609,0.079,0.546,0.637,39.83,-95.58,-42.05,3,6
18628.625,0.028,0.546,0.637,33.14,-87.16,-33.27,3,6
18628.625,-0.034,0.529,0.652,24.78,-84.6,-25.7,3,6
18628.64,-0.079,0.492,0.668,17.88,-88.99,-18.71,3,6
18628.656,-0.113,0.463,0.662,13.64,-97.45,-13.31,3,6
18628.656,-0.103,0.431,0.63,13.25,-104.89,-10.13,3,6
18628.671,-0.052,0.407,0.592,14.71,-107.12,-8.73,3,6
18628.671,0.006,0.393,0.561,16.51,-102.51,-7.81,3,6
18628.687,0.038,0.396,0.555,16.48,-92.84,-5.86,3,6
18628.703,0.052,0.409,0.566,14.98,-81.42,-3.08,3,6
18628.703,0.043,0.427,0.572,12.42,-71.2,-0.73,3,6
18628.718,0.015,0.432,0.582,10.19,-64.58,-0.61,3,6
18628.734,-0.017,0.425,0.601,10.1,-61.98,-2.41,3,6
18628.734,-0.059,0.439,0.625,12.15,-63.05,-4.94,3,6
18628.75,-0.087,0.47,0.636,15.66,-66.07,-6.59,3,6
18628.75,-0.07,0.492,0.638,18.83,-68.24,-6.99,3,6
18628.765,-0.024,0.518,0.637,20.78,-65.55,-5.8,3,6
18628.781,0.013,0.562,0.651,19.99,-58.23,-3.3,3,6
18628.781,0.039,0.587,0.678,17.0,-48.04,0.24,3,6
18628.796,0.045,0.617,0.72,11.66,-36.41,4.21,3,6
18628.812,0.025,0.655,0.77,5.13,-26.0,7.63,3,6
18628.812,-0.007,0.657,0.814,-1.31,-20.11,10.38,3,6
18628.828,-0.034,0.642,0.853,-6.35,-20.33,12.97,3,6
18628.843,-0.045,0.633,0.868,-8.45,-24.99,14.34,3,6
18628.843,-0.022,0.612,0.86,-9.31,-31.46,14.71,3,6
18628.859,0.022,0.61,0.849,-12.24,-35.74,13.55,3,6
18628.875,0.055,0.609,0.837,-15.96,-35.95,8.94,3,6
18628.875,0.075,0.593,0.826,-18.13,-33.2,1.68,3,6
18628.89,0.079,0.587,0.827,-12.67,-22.86,-13.43,3,6
