timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
18391.734,0.06,-0.779,0.659,-0.15,-6.93,-2.29,3,3
18391.734,0.052,-0.783,0.648,0.21,-7.6,-2.44,3,3
18391.75,0.056,-0.779,0.634,-0.34,-8.03,-2.56,3,3
18391.765,0.064,-0.785,0.627,-0.89,-7.66,-2.69,3,3
18391.781,0.06,-0.783,0.63,-0.98,-6.16,-2.72,3,3
18391.781,0.056,-0.781,0.639,-0.67,-5.46,-2.96,3,3
18391.796,0.059,-0.774,0.646,0.03,-5.62,-3.14,3,3
18391.796,0.063,-0.765,0.649,0.03,-5.92,-2.75,3,3
18391.812,0.07,-0.763,0.65,-1.04,-5.65,-2.17,3,3
18391.828,0.072,-0.766,0.654,-2.11,-4.97,-1.25,3,3
18391.828,0.072,-0.771,0.659,-2.44,-4.27,-0.37,3,3
18391.843,0.068,-0.774,0.656,-2.78,-3.69,-0.06,3,3
18391.843,0.063,-0.786,0.657,-3.23,-3.94,-0.64,3,3
18391.859,0.058,-0.795,0.661,-2.99,-4.73,-1.53,3,3
18391.875,0.057,-0.8,0.665,-1.8,-5.86,-2.47,3,3
18391.875,0.058,-0.807,0.672,-0.82,-6.99,-3.17,3,3
18391.89,0.053,-0.815,0.669,-1.25,-7.87,-3.88,3,3
18391.906,0.048,-0.853,0.647,-3.91,-10.71,-7.17,3,3
18391.921,0.056,-0.862,0.629,-3.51,-11.44,-9.49,3,3
18391.937,0.061,-0.857,0.612,-1.86,-10.9,-12.21,3,3
18391.937,0.065,-0.842,0.602,-0.64,-9.4,-15.05,3,3
18391.953,0.06,-0.821,0.606,-0.79,-7.17,-17.21,3,3
18391.968,0.049,-0.808,0.62,-0.79,-5.68,-18.46,3,3
18391.968,0.052,-0.784,0.628,-0.58,-4.94,-18.19,3,3
18391.984,0.057,-0.767,0.637,-0.89,-4.49,-17.79,3,3
18391.984,0.061,-0.76,0.643,-0.61,-4.58,-17.43,3,3
18392.0,0.068,-0.749,0.647,0.06,-4.88,-17.03,3,3
18392.015,0.072,-0.738,0.641,0.24,-5.43,-16.97,3,3
18392.015,0.078,-0.732,0.639,0.49,-5.68,-17.12,3,3
18392.031,0.078,-0.724,0.636,1.16,-5.77,-16.75,3,3
