timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
18483.609,0.027,-0.914,0.441,0.31,-2.35,1.83,3,4
18483.609,0.04,-0.917,0.428,-1.07,-2.47,2.17,3,4
18483.625,0.053,-0.918,0.434,-1.53,-2.35,1.46,3,4
18483.64,0.049,-0.914,0.439,-0.7,-1.62,0.55,3,4
18483.64,0.036,-0.913,0.436,-0.09,-1.1,0.49,3,4
18483.656,0.035,-0.913,0.432,-0.34,-1.22,0.73,3,4
18483.656,0.031,-0.913,0.427,-0.7,-0.61,0.73,3,4
18483.671,0.037,-0.913,0.43,-1.31,0.06,0.21,3,4
18483.687,0.048,-0.915,0.434,-1.01,0.55,-0.92,3,4
18483.687,0.042,-0.913,0.441,0.58,1.16,-2.78,3,4
18483.703,0.033,-0.913,0.442,2.2,1.16,-4.64,3,4
18483.718,0.034,-0.911,0.442,3.72,0.37,-6.78,3,4
18483.718,0.038,-0.902,0.43,5.55,0.03,-8.12,3,4
18483.734,0.039,-0.882,0.415,5.92,0.92,-7.84,3,4
18483.75,0.04,-0.859,0.402,3.54,2.41,-5.77,3,4
18483.75,0.031,-0.849,0.397,-1.65,4.3,-2.14,3,4
18483.765,0.034,-0.859,0.409,-7.26,5.34,1.59,3,4
18483.781,0.019,-0.894,0.445,-7.66,7.2,6.68,3,4
18483.796,0.023,-0.895,0.464,-5.01,6.07,8.33,3,4
18483.796,0.031,-0.902,0.467,-2.96,4.24,9.19,3,4
18483.812,0.043,-0.913,0.466,-2.2,2.08,9.34,3,4
18483.828,0.046,-0.929,0.466,-1.89,0.06,7.69,3,4
18483.828,0.032,-0.949,0.458,-0.49,-1.1,4.85,3,4
18483.843,0.039,-0.953,0.448,1.5,-2.66,1.56,3,4
18483.859,0.05,-0.946,0.441,4.12,-3.51,-2.5,3,4
18483.859,0.059,-0.939,0.431,6.07,-3.57,-6.44,3,4
18483.875,0.076,-0.927,0.446,7.84,-3.69,-10.1,3,4
18483.89,0.081,-0.901,0.471,11.38,-3.42,-13.4,3,4
18483.89,0.062,-0.868,0.489,15.2,-4.06,-16.02,3,4
18483.906,0.059,-0.838,0.499,17.4,-7.02,-17.55,3,4
18483.921,0.065,-0.817,0.506,19.5,-10.96,-17.52,3,4
18483.921,0.076,-0.79,0.505,22.03,-14.98,-16.75,3,4
18483.937,0.093,-0.771,0.501,24.96,-18.98,-15.9,3,4
18483.953,0.13,-0.722,0.506,33.51,-25.7,-13.92,3,4
18483.968,0.155,-0.692,0.528,37.97,-28.5,-13.06,3,4
18483.968,0.169,-0.677,0.558,44.1,-32.01,-13.31,3,4
18483.984,0.177,-0.647,0.571,51.48,-36.74,-14.28,3,4
18484.0,0.192,-0.582,0.571,58.57,-42.6,-16.27,3,4
18484.0,0.24,-0.552,0.593,66.62,-50.26,-17.49,3,4
18484.015,0.293,-0.52,0.631,76.45,-56.15,-16.85,3,4
18484.031,0.305,-0.474,0.677,87.13,-59.14,-15.9,3,4
18484.031,0.288,-0.446,0.73,97.42,-62.5,-15.29,3,4
18484.046,0.271,-0.429,0.783,108.04,-68.51,-15.59,3,4
18484.046,0.238,-0.401,0.79,119.82,-76.33,-17.7,3,4
18484.062,0.183,-0.325,0.763,132.69,-86.67,-24.17,3,4
18484.078,0.2,-0.305,0.736,148.41,-100.96,-30.52,3,4
18484.078,0.245,-0.268,0.723,164.28,-109.78,-33.97,3,4
18484.093,0.261,-0.196,0.717,179.33,-110.29,-33.63,3,4
18484.109,0.251,-0.109,0.726,189.43,-105.69,-27.34,3,4
18484.109,0.224,-0.045,0.737,192.51,-98.94,-14.56,3,4
18484.125,0.198,-0.013,0.765,187.93,-92.53,3.11,3,4
18484.14,0.155,0.004,0.793,180.27,-86.95,22.89,3,4
