timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
18562.14,-0.119,-1.042,0.18,1.07,1.74,5.89,3,5
18562.156,-0.122,-1.054,0.177,0.24,-0.37,4.15,3,5
18562.156,-0.113,-1.074,0.169,0.73,-1.74,1.8,3,5
18562.171,-0.119,-1.061,0.158,1.53,-1.89,-0.79,3,5
18562.171,-0.132,-1.064,0.152,1.25,-1.5,-3.36,3,5
18562.187,-0.131,-1.06,0.157,0.79,-1.71,-5.16,3,5
18562.203,-0.132,-1.037,0.151,1.19,-2.17,-6.65,3,5
18562.203,-0.136,-1.015,0.147,1.59,-2.2,-7.48,3,5
18562.218,-0.124,-0.996,0.157,1.13,-2.17,-6.29,3,5
18562.218,-0.131,-0.977,0.16,0.46,-1.95,-4.21,3,5
18562.234,-0.14,-0.974,0.152,-1.22,-2.29,-0.82,3,5
18562.25,-0.142,-0.984,0.128,-3.66,-3.11,2.08,3,5
18562.25,-0.115,-1.007,0.111,-4.79,-2.78,4.15,3,5
18562.265,-0.103,-1.005,0.103,-4.67,0.43,5.43,3,5
18562.281,-0.118,-0.999,0.123,-4.3,4.43,5.86,3,5
18562.281,-0.136,-0.996,0.16,-4.67,6.44,6.84,3,5
18562.296,-0.142,-0.999,0.181,-6.47,5.22,7.05,3,5
18562.312,-0.136,-1.04,0.181,-5.22,-2.35,2.81,3,5
18562.328,-0.132,-1.028,0.151,-2.72,-5.07,-1.13,3,5
18562.328,-0.14,-1.017,0.123,-0.52,-5.71,-4.39,3,5
18562.343,-0.13,-1.001,0.104,0.03,-4.33,-4.82,3,5
18562.359,-0.112,-0.986,0.095,-1.16,-1.65,-4.03,3,5
18562.359,-0.107,-0.999,0.111,-2.81,1.13,-3.69,3,5
18562.375,-0.108,-1.006,0.137,-2.66,2.69,-4.24,3,5
18562.39,-0.117,-0.995,0.161,-0.92,2.5,-6.16,3,5
18562.39,-0.133,-0.97,0.174,1.19,-0.06,-9.64,3,5
18562.406,-0.128,-0.95,0.175,3.45,-4.03,-11.81,3,5
18562.421,-0.122,-0.921,0.168,4.91,-7.08,-11.14,3,5
18562.421,-0.118,-0.899,0.152,4.49,-9.64,-9.49,3,5
18562.437,-0.101,-0.899,0.146,2.87,-11.66,-7.9,3,5
18562.453,-0.095,-0.898,0.136,2.78,-12.39,-7.32,3,5
18562.453,-0.09,-0.907,0.122,4.82,-13.25,-8.03,3,5
18562.468,-0.08,-0.904,0.129,8.73,-14.22,-10.38,3,5
18562.484,-0.088,-0.868,0.14,17.18,-17.61,-20.02,3,5
18562.5,-0.092,-0.833,0.155,22.25,-20.45,-24.69,3,5
18562.5,-0.104,-0.796,0.161,26.98,-23.68,-28.23,3,5
18562.515,-0.144,-0.766,0.153,29.82,-26.73,-30.46,3,5
18562.531,-0.189,-0.742,0.124,30.46,-29.97,-31.46,3,5
18562.531,-0.218,-0.719,0.08,29.36,-32.41,-31.92,3,5
18562.546,-0.221,-0.694,0.034,27.01,-33.11,-32.44,3,5
18562.562,-0.201,-0.673,0.019,25.42,-31.53,-34.36,3,5
18562.562,-0.169,-0.654,0.03,27.01,-28.44,-37.32,3,5
18562.578,-0.137,-0.629,0.058,31.31,-25.09,-40.71,3,5
18562.578,-0.108,-0.618,0.11,37.93,-22.86,-43.15,3,5
18562.593,-0.09,-0.618,0.176,45.05,-23.16,-44.31,3,5
18562.609,-0.075,-0.633,0.24,50.97,-27.16,-45.41,3,5
18562.609,-0.058,-0.656,0.297,57.86,-34.46,-48.92,3,5
18562.625,-0.04,-0.662,0.348,67.2,-44.34,-55.73,3,5
18562.64,-0.029,-0.64,0.386,78.71,-55.82,-66.1,3,5
18562.656,-0.021,-0.618,0.416,92.17,-68.54,-79.01,3,5
18562.656,-0.019,-0.571,0.39,107.88,-80.48,-92.75,3,5
18562.671,0.006,-0.503,0.4,120.27,-89.85,-103.03,3,5
18562.671,0.036,-0.495,0.409,133.92,-97.23,-109.01,3,5
18562.687,0.059,-0.474,0.393,148.11,-100.07,-111.45,3,5
18562.703,0.085,-0.436,0.37,158.48,-97.78,-111.27,3,5
18562.703,0.106,-0.412,0.35,164.86,-90.88,-109.35,3,5
18562.718,0.125,-0.394,0.335,168.13,-79.9,-106.2,3,5
18562.734,0.141,-0.384,0.328,170.26,-66.38,-102.36,3,5
18562.734,0.155,-0.373,0.332,172.37,-51.18,-98.42,3,5
18562.75,0.162,-0.376,0.345,175.54,-35.77,-95.22,3,5
18562.75,0.156,-0.383,0.372,181.13,-20.33,-92.96,3,5
18562.765,0.14,-0.368,0.405,188.7,-5.49,-90.85,3,5
18562.781,0.137,-0.377,0.414,197.85,7.97,-88.47,3,5
18562.781,0.155,-0.379,0.415,205.85,21.27,-86.52,3,5
18562.796,0.183,-0.375,0.406,211.49,35.74,-86.25,3,5
18562.828,0.198,-0.391,0.455,215.19,73.18,-82.89,3,5
18562.828,0.174,-0.406,0.49,217.08,91.37,-80.45,3,5
18562.843,0.151,-0.411,0.493,214.18,105.84,-77.97,3,5
18562.843,0.141,-0.403,0.506,207.04,117.71,-75.47,3,5
18562.859,0.151,-0.402,0.527,200.02,127.38,-74.8,3,5
18562.859,0.246,-0.382,0.557,194.25,136.27,-78.8,3,5
18562.875,0.146,-0.397,0.551,189.67,150.18,-91.13,3,5
18562.89,0.013,-0.538,0.583,179.17,161.29,-91.43,3,5
18562.906,0.034,-0.56,0.69,169.87,159.64,-83.13,3,5
18562.906,0.141,-0.486,0.74,174.87,155.77,-82.19,3,5
18562.921,0.113,-0.476,0.72,185.37,159.15,-95.13,3,5
18562.921,0.057,-0.55,0.725,193.52,152.01,-115.12,3,5
18562.937,0.133,-0.529,0.764,210.39,149.27,-134.46,3,5
18562.953,0.167,-0.473,0.78,226.33,154.73,-148.93,3,5
18562.953,0.126,-0.491,0.797,235.36,160.1,-157.29,3,5
