timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
18806.453,0.12,1.022,-0.051,7.14,-1.34,-10.9,4,2
18806.468,0.121,1.03,-0.042,9.31,-4.43,-7.69,4,2
18806.468,0.125,1.042,-0.053,8.67,-7.32,-2.53,4,2
18806.484,0.133,1.033,-0.081,4.21,-8.58,3.97,4,2
18806.484,0.137,1.008,-0.101,-4.64,-8.39,11.14,4,2
18806.5,0.134,0.97,-0.096,-14.37,-7.6,17.0,4,2
18806.515,0.137,0.942,-0.083,-19.04,-6.71,20.48,4,2
18806.515,0.147,0.93,-0.087,-17.27,-5.95,21.52,4,2
18806.531,0.158,0.93,-0.099,-13.76,-5.19,19.26,4,2
18806.546,0.146,0.919,-0.109,-10.44,-3.23,14.1,4,2
18806.546,0.129,0.902,-0.107,-7.2,-1.04,9.46,4,2
18806.562,0.13,0.91,-0.095,-5.01,-0.18,6.07,4,2
18806.578,0.134,0.928,-0.082,-4.33,-0.58,1.98,4,2
18806.578,0.128,0.942,-0.07,-3.66,-1.19,-2.2,4,2
18806.593,0.127,0.958,-0.069,-1.92,-2.66,-5.68,4,2
18806.593,0.125,0.971,-0.089,0.73,-4.12,-6.9,4,2
18806.609,0.142,0.982,-0.105,1.8,-4.24,-4.79,4,2
18806.625,0.124,0.999,-0.128,-1.89,0.98,0.95,4,2
18806.64,0.109,0.994,-0.124,-6.53,2.78,4.24,4,2
18806.656,0.114,0.983,-0.13,-9.06,3.33,6.44,4,2
18806.656,0.12,0.978,-0.14,-8.85,4.39,7.08,4,2
18806.671,0.126,0.971,-0.153,-6.5,6.29,6.44,4,2
18806.687,0.141,0.963,-0.16,-2.99,8.73,5.52,4,2
18806.687,0.147,0.969,-0.161,1.46,12.36,4.76,4,2
18806.703,0.138,0.975,-0.148,4.09,16.42,4.7,4,2
18806.718,0.136,0.981,-0.135,3.3,19.38,6.2,4,2
18806.718,0.133,0.984,-0.114,0.95,21.67,8.18,4,2
18806.734,0.116,0.977,-0.087,-1.37,23.68,10.5,4,2
18806.734,0.105,0.961,-0.065,-2.44,25.21,13.18,4,2
18806.75,0.095,0.941,-0.047,-1.95,26.52,15.72,4,2
18806.765,0.072,0.919,-0.039,1.4,28.05,16.69,4,2
18806.765,0.039,0.896,-0.049,7.93,30.43,16.6,4,2
18806.781,0.003,0.887,-0.074,16.17,33.6,17.33,4,2
18806.796,-0.027,0.904,-0.136,29.08,43.86,21.82,4,2
18806.812,-0.055,0.909,-0.149,33.02,52.28,25.82,4,2
18806.828,-0.081,0.917,-0.156,34.79,62.29,30.88,4,2
18806.828,-0.118,0.934,-0.144,34.36,72.63,38.33,4,2
18806.843,-0.154,0.957,-0.116,32.44,85.33,49.07,4,2
18806.859,-0.147,0.95,-0.042,31.4,98.09,59.63,4,2
18806.859,-0.266,0.932,0.0,32.47,109.74,65.16,4,2
18806.875,-0.348,0.906,0.043,31.19,124.33,73.95,4,2
18806.875,-0.439,0.877,0.089,30.64,138.62,83.35,4,2
18806.89,-0.537,0.857,0.119,33.02,155.86,95.98,4,2
18806.906,-0.588,0.808,0.106,34.67,171.58,110.63,4,2
18806.906,-0.539,0.731,0.025,25.82,180.91,125.68,4,2
18806.921,-0.481,0.678,-0.024,2.99,190.19,138.0,4,2
18806.937,-0.439,0.609,-0.01,-24.63,202.55,145.3,4,2
18806.937,-0.387,0.533,0.025,-49.04,217.26,148.47,4,2
18806.953,-0.321,0.468,0.103,-67.84,234.57,147.65,4,2
18806.968,-0.279,0.433,0.193,-77.64,253.12,140.57,4,2
18806.968,-0.253,0.389,0.187,-81.39,266.03,129.7,4,2
18806.984,-0.227,0.364,0.119,-103.85,269.42,119.94,4,2
18806.984,-0.212,0.343,0.103,-120.0,270.42,117.4,4,2
18807.0,-0.178,0.28,0.124,-131.63,271.37,111.21,4,2
18807.015,-0.14,0.233,0.137,-137.73,274.42,101.41,4,2
18807.015,0.098,0.16,0.204,-140.35,278.91,88.6,4,2
18807.031,0.139,0.156,0.193,-143.59,278.42,70.38,4,2
18807.046,0.155,0.158,0.214,-148.29,277.57,55.09,4,2
18807.046,0.162,0.178,0.264,-154.36,275.46,37.81,4,2
18807.062,0.144,0.156,0.326,-160.16,272.41,19.07,4,2
18807.078,0.137,0.152,0.411,-163.3,268.11,2.38,4,2
18807.078,0.179,0.197,0.538,-159.49,265.63,-10.74,4,2
18807.093,0.243,0.28,0.676,-146.37,265.24,-21.94,4,2
18807.109,0.262,0.355,0.775,-125.98,263.99,-34.61,4,2
18807.109,0.237,0.398,0.82,-107.97,259.87,-47.88,4,2
18807.125,0.195,0.456,0.93,-82.34,241.95,-77.49,4,2
18807.14,0.191,0.512,1.011,-66.19,232.95,-91.53,4,2
18807.156,0.18,0.579,1.098,-50.54,225.53,-102.36,4,2
18807.156,0.17,0.662,1.192,-38.54,219.79,-106.94,4,2
18807.171,0.117,0.759,1.265,-30.34,213.11,-106.45,4,2
18807.187,0.05,0.833,1.292,-30.4,199.56,-100.8,4,2
18807.187,0.021,0.891,1.301,-41.63,179.54,-93.33,4,2
18807.203,0.017,0.929,1.287,-58.08,159.37,-86.89,4,2
18807.218,0.012,0.925,1.253,-72.21,142.12,-80.72,4,2
18807.218,0.031,0.891,1.233,-79.62,128.97,-71.87,4,2
18807.234,0.058,0.853,1.235,-75.78,122.26,-60.76,4,2
18807.234,0.065,0.835,1.222,-63.78,121.74,-49.5,4,2
18807.25,0.068,0.803,1.21,-54.45,121.62,-40.71,4,2
