timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
18786.578,0.37,0.889,0.09,-1.16,-4.58,-0.31,4,1
18786.578,0.365,0.886,0.078,-2.26,-2.96,-0.95,4,1
18786.593,0.371,0.89,0.078,-2.53,-1.25,-1.01,4,1
18786.593,0.376,0.894,0.084,-2.01,0.98,-0.76,4,1
18786.609,0.371,0.899,0.098,-1.46,2.66,-1.1,4,1
18786.625,0.367,0.907,0.108,-0.4,2.96,-1.95,4,1
18786.625,0.358,0.909,0.113,0.21,2.9,-3.05,4,1
18786.64,0.348,0.901,0.12,0.46,2.62,-2.93,4,1
18786.656,0.348,0.906,0.112,1.37,1.13,-2.04,4,1
18786.656,0.363,0.906,0.105,0.95,0.18,-0.46,4,1
18786.671,0.374,0.915,0.114,-0.31,0.09,0.64,4,1
18786.687,0.364,0.91,0.112,-0.27,0.24,0.67,4,1
18786.687,0.348,0.909,0.115,-0.73,-0.27,0.61,4,1
18786.703,0.34,0.904,0.121,-1.1,-0.92,1.04,4,1
18786.703,0.34,0.904,0.11,-0.49,-2.29,0.37,4,1
18786.718,0.343,0.898,0.099,-0.95,-3.33,-0.43,4,1
18786.734,0.355,0.904,0.097,-1.16,-3.81,-1.46,4,1
18786.75,0.35,0.915,0.09,2.14,-2.32,-4.21,4,1
18786.765,0.36,0.921,0.082,3.33,-1.62,-4.15,4,1
18786.765,0.371,0.933,0.081,3.63,-0.15,-3.81,4,1
18786.781,0.363,0.933,0.082,3.75,2.17,-4.0,4,1
18786.796,0.35,0.928,0.081,3.75,4.06,-4.15,4,1
18786.796,0.334,0.94,0.082,3.81,5.1,-4.06,4,1
18786.812,0.317,0.951,0.09,3.72,4.82,-2.84,4,1
18786.828,0.322,0.961,0.094,2.62,2.69,-1.28,4,1
18786.828,0.327,0.959,0.107,0.18,0.43,0.31,4,1
18786.843,0.332,0.942,0.115,-2.11,-0.95,2.87,4,1
18786.843,0.347,0.929,0.11,-3.39,-1.65,5.13,4,1
18786.859,0.35,0.917,0.111,-4.12,-1.65,6.13,4,1
18786.875,0.349,0.903,0.117,-3.39,-1.89,6.47,4,1
