timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
18645.312,-0.36,0.339,0.865,1.1,-1.86,-2.29,4,0
18645.312,-0.348,0.328,0.854,1.28,-2.26,-2.5,4,0
18645.328,-0.35,0.321,0.844,1.74,-1.71,-4.18,4,0
18645.343,-0.369,0.337,0.85,2.69,-0.31,-6.5,4,0
18645.343,-0.393,0.356,0.859,4.46,0.82,-6.59,4,0
18645.359,-0.384,0.374,0.862,4.33,0.27,-3.2,4,0
18645.375,-0.361,0.367,0.864,1.59,-0.98,-0.64,4,0
18645.375,-0.36,0.355,0.868,-0.58,-1.43,-0.21,4,0
18645.39,-0.351,0.352,0.863,-1.34,-2.29,0.37,4,0
18645.39,-0.342,0.349,0.855,-1.31,-3.08,1.01,4,0
18645.406,-0.346,0.342,0.85,-1.1,-2.78,0.7,4,0
18645.421,-0.35,0.334,0.851,-0.73,-2.2,0.21,4,0
18645.421,-0.351,0.338,0.848,0.58,-1.86,-0.64,4,0
18645.437,-0.355,0.342,0.851,1.59,-1.62,-1.5,4,0
18645.453,-0.362,0.343,0.856,2.32,-1.25,-1.8,4,0
18645.468,-0.372,0.346,0.858,2.44,-0.82,-1.71,4,0
18645.468,-0.365,0.338,0.86,1.1,-1.37,-1.28,4,0
18645.484,-0.364,0.333,0.854,2.04,-1.86,-2.26,4,0
18645.5,-0.347,0.343,0.845,2.59,-2.08,-1.65,4,0
18645.515,-0.34,0.339,0.843,2.59,-1.13,-2.26,4,0
18645.515,-0.345,0.341,0.848,3.02,0.37,-2.78,4,0
18645.531,-0.353,0.346,0.85,3.91,1.19,-2.99,4,0
18645.546,-0.368,0.348,0.853,3.75,0.95,-2.87,4,0
18645.546,-0.369,0.333,0.853,2.26,0.43,-2.38,4,0
18645.562,-0.358,0.32,0.847,1.37,0.12,-2.56,4,0
18645.562,-0.363,0.317,0.853,2.11,0.24,-4.36,4,0
18645.578,-0.364,0.317,0.856,3.63,0.31,-5.83,4,0
18645.593,-0.357,0.321,0.859,4.39,0.06,-6.68,4,0
18645.593,-0.355,0.32,0.859,4.58,-0.52,-8.73,4,0
18645.609,-0.36,0.316,0.866,4.79,-0.85,-11.17,4,0
18645.609,-0.362,0.315,0.871,5.98,-1.89,-13.46,4,0
18645.625,-0.363,0.311,0.874,9.46,-4.58,-19.32,4,0
18645.64,-0.37,0.304,0.89,11.63,-6.9,-22.8,4,0
18645.656,-0.353,0.201,0.967,16.85,-16.33,-29.82,4,0
18645.671,-0.355,0.139,0.999,19.71,-23.07,-37.08,4,0
18645.671,-0.364,0.075,1.021,24.02,-32.23,-47.85,4,0
18645.687,-0.38,0.031,1.032,30.55,-43.7,-62.32,4,0
18645.703,-0.4,0.011,1.028,38.21,-56.67,-79.99,4,0
18645.703,-0.394,0.007,1.045,47.33,-71.14,-99.55,4,0
18645.718,-0.348,0.004,1.092,60.61,-86.89,-119.82,4,0
18645.734,-0.332,0.038,1.097,77.43,-102.79,-141.39,4,0
18645.75,-0.334,0.113,1.072,88.32,-116.21,-158.18,4,0
18645.75,-0.3,0.183,1.072,90.79,-126.9,-169.1,4,0
18645.765,-0.28,0.241,1.065,90.91,-134.28,-176.03,4,0
18645.765,-0.26,0.283,1.053,91.13,-139.38,-176.89,4,0
18645.781,-0.222,0.309,1.057,91.34,-142.28,-171.97,4,0
18645.781,-0.198,0.337,1.054,90.85,-143.1,-164.22,4,0
18645.796,-0.191,0.362,1.048,89.6,-143.86,-154.27,4,0
18645.812,-0.176,0.363,1.036,86.67,-145.39,-143.35,4,0
18645.812,-0.145,0.369,1.012,81.06,-147.77,-132.51,4,0
18645.828,-0.113,0.381,0.977,72.82,-149.72,-124.21,4,0
18645.843,-0.075,0.374,0.954,64.03,-150.67,-118.38,4,0
18645.843,-0.052,0.35,0.947,57.8,-149.91,-114.41,4,0
18645.859,-0.037,0.332,0.94,54.87,-147.37,-110.84,4,0
18645.875,-0.023,0.334,0.92,55.12,-144.08,-108.07,4,0
18645.875,-0.012,0.352,0.882,57.1,-139.77,-106.66,4,0
18645.89,-0.008,0.401,0.857,55.42,-133.85,-102.69,4,0
18645.89,-0.018,0.412,0.834,51.76,-128.7,-99.15,4,0
18645.906,-0.05,0.434,0.807,47.49,-124.33,-96.47,4,0
18645.921,-0.069,0.457,0.787,41.72,-121.59,-92.07,4,0
18645.921,-0.083,0.452,0.766,38.12,-119.82,-86.0,4,0
18645.937,-0.095,0.465,0.744,38.94,-116.49,-78.16,4,0
18645.953,-0.099,0.502,0.722,41.32,-110.39,-67.9,4,0
18645.968,-0.112,0.542,0.71,39.25,-102.48,-56.7,4,0
18645.968,-0.109,0.561,0.71,31.1,-94.76,-44.65,4,0
18645.984,-0.099,0.549,0.724,9.89,-79.17,-18.71,4,0
18646.0,-0.113,0.519,0.732,2.17,-74.59,-6.84,4,0
18646.0,-0.116,0.465,0.733,0.92,-72.15,4.85,4,0
18646.015,-0.113,0.44,0.728,4.49,-69.55,15.87,4,0
18646.031,-0.133,0.439,0.71,8.76,-66.01,23.74,4,0
18646.031,-0.143,0.451,0.704,7.11,-61.77,28.66,4,0
18646.046,-0.135,0.465,0.731,-0.64,-57.34,32.04,4,0
18646.062,-0.123,0.451,0.777,-8.0,-53.32,35.92,4,0
18646.062,-0.115,0.452,0.811,-10.59,-48.43,42.05,4,0
18646.078,-0.109,0.487,0.846,-9.74,-44.89,49.87,4,0
18646.093,-0.093,0.51,0.87,-10.07,-43.52,58.57,4,0
18646.093,-0.101,0.524,0.896,-15.32,-43.18,66.32,4,0
18646.109,-0.131,0.506,0.907,-22.68,-45.56,71.38,4,0
18646.125,-0.142,0.452,0.92,-27.99,-51.36,75.47,4,0
18646.125,-0.127,0.409,0.879,-29.63,-58.63,77.15,4,0
18646.14,-0.093,0.384,0.809,-28.08,-62.29,75.87,4,0
18646.156,-0.017,0.311,0.742,-15.29,-47.67,66.23,4,0
18646.171,0.016,0.375,0.775,-19.38,-37.02,58.14,4,0
18646.171,0.042,0.365,0.761,-20.36,-24.38,53.13,4,0
18646.187,0.049,0.365,0.782,-23.07,-11.35,49.13,4,0
18646.203,0.037,0.406,0.841,-24.9,-0.76,47.43,4,0
18646.218,0.023,0.442,0.868,-24.48,6.07,49.75,4,0
18646.218,0.035,0.456,0.912,-26.37,7.97,52.98,4,0
18646.218,0.069,0.454,0.95,-28.69,7.32,54.35,4,0
18646.234,0.1,0.467,0.942,-31.31,6.32,53.71,4,0
18646.25,0.119,0.452,0.923,-32.41,5.83,51.27,4,0
18646.265,0.132,0.435,0.883,-31.01,6.68,48.19,4,0
18646.265,0.151,0.438,0.855,-28.6,10.71,46.33,4,0
18646.281,0.151,0.433,0.847,-28.66,17.88,44.28,4,0
18646.281,0.141,0.427,0.864,-33.97,25.21,41.93,4,0
18646.296,0.01,0.451,1.095,-38.79,28.41,40.99,4,0
18646.312,-0.079,0.494,1.321,-29.76,11.9,48.34,4,0
18646.312,0.094,0.466,1.283,-22.52,-17.55,64.15,4,0
18646.328,0.242,0.434,1.145,-20.81,-35.62,66.41,4,0
18646.343,0.309,0.431,0.997,-17.98,-36.1,60.82,4,0
18646.343,0.321,0.43,0.946,-15.14,-27.5,54.81,4,0
18646.359,0.302,0.436,0.919,-13.43,-18.25,48.65,4,0
18646.375,0.262,0.441,0.918,-14.95,-11.26,43.0,4,0
18646.375,0.229,0.438,0.924,-17.37,-7.97,38.97,4,0
18646.39,0.227,0.408,0.904,-19.47,-7.29,37.2,4,0
18646.39,0.24,0.358,0.876,-19.26,-5.62,36.5,4,0
