timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
19066.875,-0.617,0.187,0.763,-1.53,-6.35,6.35,4,6
19066.875,-0.628,0.189,0.765,0.15,-6.99,7.2,4,6
19066.89,-0.623,0.198,0.769,0.98,-8.48,8.7,4,6
19066.89,-0.606,0.194,0.768,-0.09,-9.89,10.07,4,6
19066.906,-0.601,0.183,0.769,-1.16,-10.44,10.86,4,6
19066.921,-0.598,0.182,0.758,-0.64,-10.35,11.02,4,6
19066.921,-0.591,0.185,0.743,-0.46,-9.95,10.74,4,6
19066.937,-0.584,0.177,0.741,-1.56,-8.79,9.52,4,6
19066.953,-0.582,0.16,0.744,-2.04,-7.42,7.23,4,6
19066.953,-0.59,0.159,0.749,-0.7,-6.13,4.52,4,6
19066.968,-0.595,0.169,0.752,1.4,-5.62,1.86,4,6
19066.984,-0.6,0.177,0.76,2.9,-5.52,0.06,4,6
19066.984,-0.617,0.18,0.781,5.13,-5.86,-1.25,4,6
19067.0,-0.626,0.186,0.813,8.55,-8.27,-1.65,4,6
19067.015,-0.636,0.193,0.855,12.94,-12.36,-1.13,4,6
19067.015,-0.653,0.21,0.9,17.85,-18.56,0.98,4,6
19067.031,-0.666,0.229,0.902,20.75,-28.02,5.55,4,6
19067.046,-0.595,0.228,0.826,18.8,-44.47,17.52,4,6
19067.062,-0.545,0.234,0.777,15.23,-46.69,21.45,4,6
19067.062,-0.495,0.216,0.742,7.75,-44.56,23.22,4,6
19067.078,-0.471,0.186,0.727,0.49,-37.87,22.13,4,6
19067.093,-0.485,0.18,0.749,-0.52,-29.79,19.14,4,6
19067.093,-0.516,0.196,0.786,2.75,-24.38,16.3,4,6
19067.109,-0.539,0.22,0.823,6.32,-23.71,13.98,4,6
19067.125,-0.562,0.245,0.834,10.16,-26.64,13.25,4,6
19067.125,-0.566,0.275,0.833,12.54,-31.71,14.71,4,6
19067.14,-0.552,0.295,0.822,13.09,-37.29,17.27,4,6
19067.14,-0.523,0.301,0.786,12.18,-41.57,20.23,4,6
19067.156,-0.491,0.318,0.754,10.1,-43.06,23.01,4,6
19067.171,-0.472,0.352,0.729,9.37,-41.72,25.15,4,6
19067.171,-0.466,0.416,0.692,9.43,-38.88,27.99,4,6
19067.187,-0.464,0.512,0.648,9.16,-35.4,33.08,4,6
19067.203,-0.465,0.598,0.59,9.09,-30.21,41.63,4,6
19067.218,-0.459,0.672,0.543,9.98,-23.04,51.91,4,6
19067.218,-0.469,0.729,0.503,13.43,-12.36,62.62,4,6
19067.234,-0.479,0.762,0.476,19.87,1.37,73.49,4,6
19067.234,-0.503,0.825,0.448,26.98,17.61,83.93,4,6
19067.25,-0.516,0.886,0.432,31.16,34.58,94.36,4,6
19067.265,-0.519,0.944,0.422,31.62,51.21,103.7,4,6
19067.265,-0.531,0.99,0.409,28.84,68.51,113.22,4,6
19067.281,-0.556,1.028,0.396,25.27,87.07,123.33,4,6
19067.296,-0.588,1.052,0.366,22.46,107.43,134.04,4,6
19067.296,-0.612,1.076,0.344,19.32,128.91,144.84,4,6
19067.312,-0.643,1.109,0.346,16.6,150.79,155.0,4,6
