timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
18912.609,0.062,0.913,-0.323,1.59,4.94,-5.07,4,3
18912.609,0.056,0.915,-0.318,4.24,6.13,-8.18,4,3
18912.625,0.041,0.915,-0.308,7.9,6.93,-11.69,4,3
18912.64,0.03,0.924,-0.297,11.47,7.02,-14.19,4,3
18912.64,0.031,0.932,-0.289,13.55,5.98,-15.56,4,3
18912.656,0.029,0.928,-0.291,14.04,4.67,-16.36,4,3
18912.671,0.021,0.933,-0.299,13.73,3.39,-16.72,4,3
18912.671,0.012,0.942,-0.316,12.09,2.47,-15.11,4,3
18912.687,0.019,0.937,-0.335,8.06,2.2,-12.18,4,3
18912.687,0.019,0.932,-0.336,4.03,3.39,-9.95,4,3
18912.703,0.016,0.926,-0.326,1.4,4.94,-7.6,4,3
18912.718,0.012,0.929,-0.319,-0.37,6.5,-4.73,4,3
18912.718,0.012,0.925,-0.322,-1.5,7.72,-3.14,4,3
18912.734,0.009,0.913,-0.316,-2.29,8.85,-2.23,4,3
18912.75,0.0,0.902,-0.318,-2.41,9.98,-1.83,4,3
18912.75,0.004,0.895,-0.323,-2.56,10.28,-1.8,4,3
18912.765,0.014,0.893,-0.325,-3.33,10.93,-2.29,4,3
18912.781,0.013,0.891,-0.295,-3.48,12.94,-5.86,4,3
18912.796,0.008,0.901,-0.282,-1.53,12.57,-8.21,4,3
18912.796,0.009,0.921,-0.281,-0.21,11.23,-9.28,4,3
18912.812,0.019,0.944,-0.274,-0.89,8.97,-9.43,4,3
18912.828,0.023,0.953,-0.273,-2.59,6.87,-9.49,4,3
18912.828,0.024,0.959,-0.275,-4.18,5.13,-8.88,4,3
18912.843,0.018,0.971,-0.284,-4.76,4.82,-6.93,4,3
18912.859,0.023,0.973,-0.294,-5.43,4.88,-3.97,4,3
18912.859,0.034,0.981,-0.302,-6.32,5.83,-1.28,4,3
18912.875,0.049,0.985,-0.308,-7.54,7.42,0.95,4,3
18912.89,0.07,0.982,-0.303,-9.25,9.16,3.14,4,3
18912.89,0.078,0.98,-0.29,-9.31,11.47,4.33,4,3
18912.906,0.081,0.977,-0.275,-7.39,13.64,4.7,4,3
18912.921,0.083,0.985,-0.26,-5.22,15.35,5.1,4,3
18912.921,0.073,0.993,-0.236,-4.15,16.02,5.77,4,3
18912.937,0.064,0.997,-0.219,-4.39,14.59,7.02,4,3
