timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
18921.375,0.487,0.884,-0.09,15.02,14.98,-22.8,4,4
18921.39,0.489,0.893,-0.089,16.39,14.13,-19.65,4,4
18921.39,0.48,0.919,-0.101,17.27,13.43,-15.08,4,4
18921.406,0.48,0.934,-0.107,15.26,12.02,-8.64,4,4
18921.421,0.496,0.928,-0.11,10.74,10.01,-2.17,4,4
18921.421,0.505,0.911,-0.122,7.17,8.76,2.93,4,4
18921.437,0.502,0.891,-0.131,6.01,9.0,6.71,4,4
18921.453,0.496,0.876,-0.128,6.1,9.83,9.37,4,4
18921.453,0.484,0.862,-0.119,6.44,10.13,10.41,4,4
18921.468,0.475,0.844,-0.112,7.02,9.67,10.41,4,4
18921.468,0.465,0.839,-0.108,6.74,8.42,9.61,4,4
18921.484,0.451,0.832,-0.1,6.16,6.23,7.75,4,4
18921.5,0.45,0.824,-0.097,5.58,3.02,4.67,4,4
18921.515,0.456,0.812,-0.109,5.92,-0.06,0.58,4,4
18921.515,0.461,0.81,-0.12,7.14,-1.77,-4.21,4,4
18921.515,0.463,0.808,-0.13,8.88,-2.11,-9.25,4,4
18921.531,0.455,0.816,-0.133,10.28,-1.8,-14.34,4,4
18921.546,0.422,0.847,-0.125,12.18,0.34,-21.03,4,4
18921.562,0.413,0.864,-0.121,11.84,1.25,-22.13,4,4
18921.578,0.409,0.875,-0.121,11.11,2.35,-22.77,4,4
18921.578,0.406,0.888,-0.114,9.95,3.45,-22.55,4,4
18921.593,0.413,0.897,-0.108,8.15,4.43,-20.94,4,4
18921.609,0.42,0.902,-0.108,6.5,5.86,-18.22,4,4
18921.625,0.426,0.909,-0.11,6.23,7.97,-14.53,4,4
18921.625,0.434,0.914,-0.109,5.89,10.8,-10.25,4,4
18921.64,0.433,0.914,-0.09,4.46,14.13,-6.56,4,4
18921.64,0.42,0.914,-0.068,3.39,16.33,-3.42,4,4
18921.656,0.415,0.913,-0.05,3.39,17.58,-0.58,4,4
18921.671,0.415,0.915,-0.037,3.97,18.65,1.92,4,4
18921.671,0.414,0.917,-0.03,4.7,19.65,3.78,4,4
18921.687,0.413,0.912,-0.021,5.8,20.66,5.07,4,4
18921.687,0.41,0.904,-0.006,6.62,21.97,5.31,4,4
18921.703,0.397,0.895,0.019,8.18,23.47,4.52,4,4
18921.734,0.372,0.902,0.116,16.91,24.17,-0.89,4,4
18921.734,0.348,0.913,0.171,24.41,21.82,-4.49,4,4
18921.75,0.342,0.943,0.214,31.92,17.06,-6.16,4,4
18921.75,0.32,0.992,0.239,36.84,10.38,-5.01,4,4
18921.765,0.281,1.022,0.253,38.27,1.77,0.03,4,4
18921.781,0.254,1.021,0.233,36.23,-7.66,9.4,4,4
18921.796,0.241,1.004,0.193,30.76,-15.14,20.87,4,4
18921.796,0.241,0.952,0.153,24.72,-19.5,32.53,4,4
18921.812,0.253,0.871,0.103,19.65,-18.77,42.05,4,4
18921.812,0.247,0.8,0.077,15.99,-12.6,48.13,4,4
18921.828,0.228,0.743,0.07,13.43,-3.57,51.76,4,4
18921.843,0.203,0.693,0.076,10.13,6.38,53.83,4,4
18921.843,0.193,0.654,0.075,4.97,15.72,55.39,4,4
18921.859,0.197,0.642,0.064,-4.52,21.61,57.34,4,4
18921.875,0.205,0.631,0.088,-17.46,25.18,58.08,4,4
18921.875,0.203,0.594,0.115,-28.72,27.89,56.55,4,4
18921.89,0.219,0.523,0.119,-45.59,30.21,48.04,4,4
18921.906,0.224,0.486,0.115,-52.61,32.78,41.96,4,4
18921.921,0.233,0.456,0.106,-60.49,35.92,35.62,4,4
18921.921,0.261,0.434,0.087,-70.65,37.81,30.73,4,4
18921.937,0.317,0.415,0.053,-83.13,37.84,27.28,4,4
18921.953,0.383,0.41,0.033,-96.41,38.97,22.68,4,4
18921.953,0.468,0.391,0.048,-106.66,43.0,15.05,4,4
