timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
19028.89,0.525,0.85,-0.086,1.04,-3.91,-2.35,4,5
19028.89,0.529,0.856,-0.09,0.55,-6.13,-1.68,4,5
19028.906,0.527,0.853,-0.097,-0.79,-7.63,-0.21,4,5
19028.921,0.521,0.848,-0.109,-3.08,-8.33,1.22,4,5
19028.921,0.507,0.835,-0.124,-5.34,-8.33,2.56,4,5
19028.937,0.509,0.827,-0.126,-7.11,-8.36,4.46,4,5
19028.953,0.526,0.816,-0.128,-8.15,-8.45,5.43,4,5
19028.953,0.533,0.807,-0.13,-7.14,-6.84,5.34,4,5
19028.968,0.524,0.789,-0.135,-5.25,-3.57,5.68,4,5
19028.968,0.523,0.783,-0.145,-4.73,-0.82,6.53,4,5
19028.984,0.532,0.793,-0.143,-5.92,1.53,6.35,4,5
19029.0,0.537,0.804,-0.124,-6.59,2.93,4.27,4,5
19029.0,0.527,0.813,-0.1,-4.97,3.08,1.19,4,5
19029.015,0.507,0.818,-0.09,-0.89,2.5,-0.34,4,5
19029.031,0.494,0.82,-0.098,2.2,1.65,0.61,4,5
19029.031,0.491,0.814,-0.114,0.79,1.19,2.72,4,5
19029.046,0.506,0.793,-0.121,-3.91,1.19,4.85,4,5
19029.062,0.54,0.776,-0.099,-8.61,3.3,4.15,4,5
19029.078,0.535,0.778,-0.087,-5.46,4.03,1.28,4,5
19029.093,0.528,0.788,-0.09,-0.92,3.88,-1.77,4,5
19029.093,0.514,0.804,-0.1,2.44,3.54,-4.24,4,5
19029.109,0.504,0.804,-0.112,3.17,2.96,-5.98,4,5
19029.109,0.503,0.8,-0.126,2.32,2.9,-6.44,4,5
19029.125,0.515,0.799,-0.125,0.85,3.51,-6.16,4,5
19029.14,0.523,0.813,-0.111,0.64,4.94,-5.4,4,5
19029.14,0.518,0.811,-0.108,2.04,6.38,-5.01,4,5
19029.156,0.505,0.799,-0.1,3.42,7.48,-4.79,4,5
19029.171,0.489,0.791,-0.103,4.91,8.12,-4.43,4,5
19029.187,0.495,0.778,-0.109,5.31,8.36,-3.75,4,5
19029.187,0.507,0.766,-0.111,5.28,9.06,-3.54,4,5
19029.203,0.51,0.759,-0.107,6.56,11.02,-4.58,4,5
19029.203,0.489,0.744,-0.1,9.67,14.07,-5.77,4,5
19029.218,0.453,0.735,-0.092,13.7,17.4,-6.38,4,5
19029.234,0.386,0.717,-0.102,16.39,22.34,-5.58,4,5
19029.25,0.357,0.696,-0.13,12.67,23.9,-3.69,4,5
19029.25,0.346,0.674,-0.162,4.73,25.06,0.15,4,5
19029.265,0.373,0.654,-0.189,-5.83,27.38,4.7,4,5
19029.281,0.416,0.638,-0.199,-17.58,32.26,8.73,4,5
19029.296,0.436,0.626,-0.186,-27.41,41.08,12.39,4,5
19029.296,0.428,0.616,-0.158,-32.32,52.13,15.9,4,5
19029.312,0.397,0.608,-0.123,-32.59,64.3,19.26,4,5
19029.312,0.346,0.592,-0.09,-29.3,77.06,21.3,4,5
19029.328,0.26,0.559,-0.072,-23.22,89.79,20.97,4,5
19029.343,0.188,0.499,-0.053,-16.36,100.19,22.37,4,5
19029.343,0.161,0.485,-0.023,-8.82,108.31,27.41,4,5
