timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
16503.14,0.987,-0.114,0.126,-1.07,0.0,0.89,1,2
16503.156,0.992,-0.098,0.141,-0.18,1.13,-0.76,1,2
16503.171,0.954,-0.09,0.153,1.8,1.59,-2.56,1,2
16503.171,0.944,-0.089,0.158,3.39,-0.18,-2.29,1,2
16503.187,0.971,-0.081,0.15,2.81,-3.14,-1.83,1,2
16503.187,0.983,-0.094,0.138,2.78,-4.3,-2.59,1,2
16503.203,0.983,-0.089,0.143,4.24,-3.72,-3.23,1,2
16503.218,0.976,-0.077,0.136,5.22,-3.14,-3.39,1,2
16503.218,0.98,-0.077,0.129,4.06,-2.56,-3.05,1,2
16503.234,0.991,-0.077,0.132,2.04,-1.5,-2.84,1,2
16503.25,0.995,-0.078,0.141,0.82,0.18,-2.99,1,2
16503.25,0.983,-0.08,0.154,0.95,1.74,-3.27,1,2
16503.265,0.98,-0.078,0.168,1.56,2.11,-2.99,1,2
16503.281,0.986,-0.066,0.173,1.98,1.53,-2.44,1,2
16503.281,0.994,-0.057,0.175,1.62,0.58,-1.95,1,2
16503.296,0.996,-0.062,0.178,0.85,0.12,-1.4,1,2
16503.312,0.993,-0.067,0.178,0.82,-0.21,-0.4,1,2
16503.312,0.989,-0.067,0.178,0.85,-0.58,0.46,1,2
16503.328,0.987,-0.072,0.172,0.31,-1.89,0.67,1,2
16503.328,0.988,-0.084,0.164,-0.15,-3.33,0.21,1,2
16503.343,0.985,-0.091,0.153,-0.09,-3.78,-0.46,1,2
16503.359,0.98,-0.095,0.151,0.03,-3.75,-1.28,1,2
16503.359,0.983,-0.096,0.154,0.24,-3.6,-2.32,1,2
16503.375,0.971,-0.087,0.152,0.24,-3.3,-3.2,1,2
16503.39,0.96,-0.079,0.15,-1.19,-3.66,-3.2,1,2
16503.406,0.955,-0.073,0.149,-3.63,-4.94,-2.53,1,2
16503.406,0.959,-0.077,0.136,-5.8,-6.53,-2.01,1,2
16503.406,0.965,-0.081,0.132,-6.29,-7.48,-2.08,1,2
16503.421,0.971,-0.077,0.122,-4.94,-7.75,-2.9,1,2
16503.437,0.968,-0.075,0.11,-3.75,-7.87,-4.7,1,2
16503.437,0.965,-0.076,0.108,-2.41,-7.78,-6.62,1,2
16503.453,0.962,-0.066,0.108,-0.18,-7.17,-7.23,1,2
16503.468,0.956,-0.055,0.106,1.34,-6.38,-7.05,1,2
16503.468,0.946,-0.054,0.109,0.61,-6.35,-5.77,1,2
16503.484,0.937,-0.066,0.108,-1.31,-6.87,-3.42,1,2
16503.5,0.944,-0.083,0.098,-3.27,-7.42,-1.1,1,2
