timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
16336.875,-0.932,0.094,0.287,-1.13,-2.26,0.09,1,1
16336.89,-0.926,0.093,0.289,-1.4,-1.89,0.03,1,1
16336.906,-0.922,0.088,0.292,-1.43,-1.4,-0.15,1,1
16336.906,-0.924,0.089,0.292,-1.01,-1.04,-0.76,1,1
16336.921,-0.931,0.093,0.292,-0.27,-0.73,-1.13,1,1
16336.937,-0.935,0.098,0.293,0.34,-0.82,-1.16,1,1
16336.937,-0.936,0.105,0.289,0.58,-1.04,-0.95,1,1
16336.953,-0.933,0.105,0.289,0.03,-1.28,-0.46,1,1
16336.968,-0.929,0.1,0.283,-0.79,-1.68,-0.34,1,1
16336.968,-0.927,0.099,0.284,-1.28,-1.74,-0.43,1,1
16336.984,-0.926,0.096,0.286,-1.28,-1.25,-0.49,1,1
16336.984,-0.926,0.095,0.29,-1.28,-0.73,-0.55,1,1
16337.0,-0.925,0.096,0.293,-1.34,-0.27,-0.82,1,1
16337.015,-0.928,0.098,0.294,-1.65,-0.03,-1.28,1,1
16337.015,-0.934,0.101,0.299,-1.71,-0.15,-1.59,1,1
16337.031,-0.934,0.1,0.303,-1.25,-0.31,-1.53,1,1
16337.046,-0.934,0.097,0.301,-0.21,-0.55,-1.07,1,1
16337.046,-0.931,0.104,0.299,0.76,-0.98,-0.85,1,1
16337.062,-0.934,0.105,0.297,1.5,-0.95,-0.85,1,1
16337.078,-0.935,0.101,0.296,1.59,-1.04,-0.76,1,1
16337.078,-0.933,0.097,0.296,1.46,-1.4,-0.95,1,1
16337.093,-0.932,0.099,0.293,1.53,-1.5,-1.31,1,1
16337.093,-0.934,0.102,0.288,0.98,-1.56,-1.4,1,1
16337.109,-0.934,0.103,0.285,-0.09,-1.5,-1.5,1,1
16337.125,-0.931,0.102,0.286,-0.76,-0.95,-1.59,1,1
16337.125,-0.933,0.1,0.289,-1.07,-0.4,-1.65,1,1
16337.14,-0.937,0.1,0.295,-0.95,-0.18,-1.28,1,1
16337.156,-0.934,0.098,0.296,-0.27,-0.21,-0.85,1,1
16337.156,-0.935,0.097,0.3,0.89,-0.64,-0.73,1,1
16337.171,-0.937,0.098,0.302,1.4,-1.65,-0.82,1,1
16337.187,-0.938,0.113,0.299,0.79,-2.78,-0.55,1,1
16337.187,-0.935,0.109,0.291,0.76,-3.23,0.31,1,1
16337.203,-0.935,0.103,0.291,0.92,-3.51,0.7,1,1
16337.203,-0.932,0.102,0.286,1.25,-3.66,0.61,1,1
16337.218,-0.936,0.1,0.289,1.65,-3.27,0.55,1,1
16337.234,-0.938,0.096,0.293,2.23,-2.9,0.67,1,1
16337.234,-0.936,0.097,0.295,3.08,-2.72,0.82,1,1
16337.25,-0.939,0.1,0.304,4.82,-2.81,0.95,1,1
16337.265,-0.932,0.105,0.31,6.01,-3.57,0.82,1,1
16337.265,-0.943,0.094,0.301,9.61,-3.66,1.5,1,1
16337.281,-0.944,0.118,0.311,11.57,-5.71,1.62,1,1
16337.296,-0.935,0.115,0.326,13.15,-8.09,1.4,1,1
16337.296,-0.924,0.104,0.311,16.21,-9.28,1.71,1,1
16337.312,-0.947,0.107,0.303,18.16,-9.34,0.67,1,1
16337.312,-0.936,0.125,0.311,20.45,-8.64,1.4,1,1
16337.328,-0.941,0.127,0.3,24.14,-7.97,3.39,1,1
16337.343,-0.947,0.145,0.301,23.96,-8.97,4.7,1,1
16337.343,-0.946,0.16,0.31,24.14,-9.98,7.42,1,1
16337.359,-0.942,0.168,0.304,21.91,-12.51,9.7,1,1
16337.375,-0.942,0.174,0.311,20.45,-13.34,10.99,1,1
16337.375,-0.94,0.168,0.297,21.03,-13.28,12.42,1,1
16337.39,-0.927,0.18,0.295,20.75,-12.21,13.52,1,1
16337.406,-0.941,0.176,0.293,22.25,-9.46,13.92,1,1
16337.406,-0.944,0.195,0.299,23.16,-7.39,14.44,1,1
16337.421,-0.952,0.193,0.326,25.61,-6.04,15.96,1,1
16337.437,-0.948,0.177,0.295,29.24,-5.28,17.03,1,1
16337.437,-0.959,0.204,0.326,31.65,-2.9,18.49,1,1
16337.453,-0.956,0.179,0.326,36.19,-3.85,19.71,1,1
16337.453,-0.951,0.165,0.308,38.21,-4.12,21.55,1,1
16337.468,-0.936,0.145,0.291,37.02,-4.18,22.31,1,1
16337.484,-0.914,0.118,0.265,34.36,-4.82,20.63,1,1
16337.5,-0.893,0.117,0.25,30.88,-3.63,18.04,1,1
16337.5,-0.889,0.1,0.228,28.08,-1.25,14.5,1,1
16337.515,-0.884,0.105,0.213,25.48,1.8,11.05,1,1
16337.515,-0.876,0.111,0.208,23.59,5.86,8.61,1,1
16337.531,-0.865,0.129,0.21,21.0,10.38,6.2,1,1
16337.546,-0.88,0.143,0.217,17.85,14.47,3.48,1,1
16337.546,-0.904,0.135,0.233,14.8,17.33,2.41,1,1
16337.562,-0.913,0.145,0.244,12.51,19.84,3.57,1,1
16337.578,-0.935,0.176,0.312,9.28,20.11,4.61,1,1
16337.578,-0.939,0.175,0.349,5.58,14.44,4.43,1,1
16337.593,-0.951,0.156,0.381,3.36,8.79,4.39,1,1
16337.609,-0.957,0.153,0.406,6.47,5.07,6.07,1,1
16337.609,-0.944,0.147,0.419,15.02,1.95,8.58,1,1
16337.625,-0.931,0.143,0.396,25.54,0.03,10.04,1,1
16337.625,-0.937,0.153,0.383,33.51,-0.85,10.1,1,1
16337.64,-0.945,0.149,0.364,37.93,-3.27,8.7,1,1
16337.656,-0.95,0.164,0.341,38.12,-6.9,6.93,1,1
16337.656,-0.946,0.173,0.326,35.58,-9.98,4.43,1,1
16337.671,-0.95,0.163,0.329,32.38,-11.96,0.92,1,1
16337.687,-0.964,0.159,0.352,28.81,-13.86,-2.84,1,1
16337.687,-0.965,0.156,0.396,26.58,-15.26,-6.16,1,1
16337.703,-0.973,0.142,0.445,28.08,-14.83,-9.4,1,1
16337.718,-0.995,0.147,0.514,33.66,-13.89,-11.6,1,1
16337.718,-1.044,0.143,0.6,44.47,-15.35,-11.72,1,1
16337.734,-1.091,0.134,0.677,62.53,-21.06,-7.63,1,1
16337.734,-1.111,0.118,0.728,87.19,-31.01,0.03,1,1
16337.75,-1.122,0.122,0.765,115.02,-42.94,7.45,1,1
16337.765,-1.131,0.134,0.78,143.56,-54.48,13.89,1,1
