timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
16115.109,-0.028,0.472,0.817,6.13,9.37,-1.1,1,0
16115.125,-0.035,0.48,0.831,8.64,10.56,-2.59,1,0
16115.14,-0.051,0.487,0.837,10.96,10.19,-3.54,1,0
16115.14,-0.063,0.511,0.853,12.85,9.09,-4.55,1,0
16115.156,-0.073,0.536,0.861,13.76,7.42,-4.73,1,0
16115.171,-0.084,0.556,0.86,14.13,5.37,-3.42,1,0
16115.171,-0.09,0.569,0.86,13.18,2.93,-1.16,1,0
16115.187,-0.088,0.579,0.859,11.38,-0.15,0.52,1,0
16115.203,-0.085,0.597,0.854,9.43,-2.2,1.5,1,0
16115.203,-0.085,0.599,0.838,7.93,-3.17,2.69,1,0
16115.218,-0.076,0.585,0.827,7.39,-3.14,4.61,1,0
16115.218,-0.067,0.57,0.819,7.54,-1.92,6.35,1,0
16115.234,-0.065,0.56,0.811,8.67,0.4,7.35,1,0
16115.25,-0.066,0.546,0.81,10.86,2.87,7.48,1,0
16115.25,-0.065,0.528,0.798,14.53,5.49,6.47,1,0
16115.265,-0.066,0.52,0.791,17.94,7.97,4.49,1,0
16115.281,-0.063,0.523,0.785,21.0,9.8,1.74,1,0
16115.296,-0.066,0.55,0.78,21.97,11.51,-0.73,1,0
16115.296,-0.07,0.558,0.779,21.03,12.51,-1.59,1,0
16115.296,-0.07,0.552,0.788,19.01,12.33,-0.73,1,0
16115.312,-0.065,0.565,0.797,15.59,11.17,0.64,1,0
16115.328,-0.057,0.57,0.806,11.81,10.1,2.17,1,0
16115.328,-0.055,0.568,0.809,6.87,9.31,3.69,1,0
16115.343,-0.05,0.558,0.818,1.04,7.97,4.91,1,0
16115.359,-0.043,0.536,0.83,-2.99,6.99,5.55,1,0
16115.359,-0.033,0.512,0.833,-4.18,6.74,5.74,1,0
16115.375,-0.021,0.496,0.834,-2.87,6.93,5.16,1,0
16115.39,-0.015,0.488,0.837,-0.7,7.66,3.11,1,0
16115.39,-0.019,0.491,0.846,1.8,7.97,-0.15,1,0
16115.406,-0.024,0.501,0.851,5.16,8.36,-3.14,1,0
16115.421,-0.034,0.515,0.855,7.9,8.48,-4.88,1,0
16115.421,-0.04,0.53,0.855,9.22,7.35,-5.37,1,0
16115.437,-0.044,0.544,0.85,8.82,5.55,-5.22,1,0
16115.437,-0.048,0.551,0.845,6.56,3.05,-4.76,1,0
16115.453,-0.048,0.546,0.84,3.97,0.27,-4.06,1,0
16115.468,-0.045,0.547,0.831,2.59,-1.89,-3.45,1,0
16115.468,-0.039,0.554,0.823,2.2,-3.27,-3.27,1,0
16115.484,-0.041,0.551,0.814,2.5,-3.39,-3.36,1,0
16115.5,-0.045,0.55,0.809,3.6,-2.99,-3.6,1,0
16115.5,-0.042,0.556,0.803,4.55,-2.32,-3.75,1,0
16115.515,-0.042,0.568,0.804,4.09,-0.85,-4.55,1,0
16115.531,-0.053,0.565,0.815,3.3,0.49,-5.62,1,0
16115.531,-0.057,0.562,0.831,2.99,0.52,-5.86,1,0
16115.546,-0.059,0.567,0.836,3.69,0.09,-5.71,1,0
16115.562,-0.062,0.571,0.831,4.15,-0.43,-5.28,1,0
16115.562,-0.06,0.576,0.828,3.3,-1.16,-4.67,1,0
16115.578,-0.06,0.579,0.824,0.98,-1.95,-4.15,1,0
16115.578,-0.057,0.577,0.82,-1.95,-2.66,-3.72,1,0
16115.593,-0.054,0.571,0.816,-3.94,-2.78,-2.93,1,0
16115.609,-0.052,0.567,0.818,-4.43,-2.11,-2.35,1,0
16115.609,-0.052,0.555,0.821,-4.03,-1.28,-2.32,1,0
16115.64,-0.063,0.558,0.83,-3.02,-1.28,-3.75,1,0
16115.64,-0.07,0.569,0.837,-2.62,-1.68,-4.52,1,0
16115.656,-0.076,0.575,0.839,-2.44,-2.9,-4.64,1,0
16115.671,-0.074,0.579,0.832,-2.5,-4.64,-3.45,1,0
16115.687,-0.065,0.577,0.825,-2.72,-5.71,-1.68,1,0
16115.687,-0.061,0.571,0.821,-3.05,-6.16,-0.49,1,0
16115.687,-0.056,0.562,0.818,-3.75,-6.65,0.03,1,0
16115.703,-0.052,0.55,0.82,-4.21,-7.2,0.18,1,0
16115.718,-0.045,0.54,0.82,-3.94,-7.6,0.18,1,0
16115.718,-0.039,0.527,0.813,-2.69,-7.66,-0.52,1,0
16115.734,-0.032,0.52,0.803,-1.19,-7.14,-2.08,1,0
16115.75,-0.033,0.521,0.793,-0.09,-6.13,-3.39,1,0
16115.75,-0.033,0.521,0.792,0.7,-5.01,-4.85,1,0
16115.765,-0.041,0.534,0.796,0.12,-3.85,-6.2,1,0
16115.781,-0.047,0.546,0.804,-1.5,-3.3,-6.93,1,0
16115.781,-0.052,0.554,0.815,-3.14,-3.14,-6.93,1,0
16115.812,-0.058,0.567,0.827,-5.86,-3.72,-5.68,1,0
16115.812,-0.061,0.573,0.828,-7.08,-4.91,-5.1,1,0
16115.828,-0.066,0.574,0.825,-8.18,-6.35,-4.67,1,0
16115.828,-0.064,0.568,0.819,-8.73,-7.63,-4.12,1,0
16115.843,-0.062,0.563,0.814,-8.76,-8.67,-3.11,1,0
16115.859,-0.059,0.552,0.802,-8.09,-8.97,-2.29,1,0
16115.875,-0.053,0.544,0.788,-7.72,-8.82,-2.08,1,0
16115.875,-0.052,0.533,0.782,-7.29,-8.03,-2.29,1,0
16115.89,-0.053,0.521,0.772,-6.5,-6.93,-2.47,1,0
16115.89,-0.05,0.527,0.776,-5.58,-4.97,-2.81,1,0
16115.906,-0.054,0.525,0.786,-3.97,-2.69,-3.94,1,0
16115.921,-0.066,0.535,0.792,-2.32,-0.15,-4.82,1,0
16115.921,-0.087,0.554,0.806,-0.49,1.5,-5.13,1,0
16115.937,-0.098,0.573,0.813,0.73,1.8,-4.39,1,0
16115.937,-0.1,0.592,0.814,0.76,1.5,-3.2,1,0
16115.953,-0.106,0.598,0.813,-0.67,0.98,-2.32,1,0
16115.984,-0.107,0.595,0.805,-6.53,-0.67,-0.85,1,0
16115.984,-0.103,0.591,0.808,-8.45,-0.67,0.18,1,0
16116.0,-0.102,0.592,0.808,-9.61,0.27,1.19,1,0
16116.0,-0.104,0.59,0.823,-10.13,1.89,2.5,1,0
16116.015,-0.102,0.579,0.846,-8.24,3.08,4.55,1,0
16116.031,-0.114,0.546,0.855,-3.85,3.57,5.89,1,0
16116.031,-0.105,0.543,0.852,-1.25,2.38,5.65,1,0
16116.046,-0.091,0.536,0.833,2.9,1.59,5.68,1,0
16116.062,-0.092,0.529,0.817,5.1,1.4,4.76,1,0
16116.062,-0.086,0.537,0.812,3.88,0.85,3.57,1,0
16116.078,-0.091,0.543,0.805,1.16,1.16,2.87,1,0
16116.078,-0.086,0.546,0.8,-2.35,1.53,3.75,1,0
16116.093,-0.074,0.541,0.799,-8.51,3.05,5.07,1,0
16116.109,-0.072,0.532,0.802,-11.57,3.6,3.51,1,0
16116.109,-0.066,0.511,0.803,-14.31,4.73,1.28,1,0
16116.125,-0.057,0.503,0.796,-16.85,6.65,-1.89,1,0
16116.14,-0.059,0.498,0.798,-19.23,9.22,-5.07,1,0
16116.14,-0.064,0.501,0.805,-21.06,12.54,-7.42,1,0
16116.156,-0.072,0.503,0.814,-22.86,15.47,-9.77,1,0
16116.171,-0.079,0.496,0.823,-22.89,18.19,-12.09,1,0
16116.171,-0.107,0.503,0.836,-21.03,20.69,-13.46,1,0
