timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
16929.406,-0.67,0.044,0.696,-0.58,-4.67,-1.83,1,6
16929.421,-0.674,0.035,0.697,-2.35,-2.59,0.37,1,6
16929.437,-0.675,0.029,0.699,-3.27,-0.43,2.47,1,6
16929.437,-0.673,0.026,0.706,-3.94,1.22,3.51,1,6
16929.437,-0.675,0.018,0.721,-4.24,1.98,3.39,1,6
16929.453,-0.679,0.013,0.734,-3.08,2.04,2.23,1,6
16929.468,-0.678,0.015,0.739,-0.92,1.37,0.7,1,6
16929.468,-0.683,0.017,0.736,1.13,0.55,-1.13,1,6
16929.484,-0.69,0.02,0.728,2.78,-0.58,-2.84,1,6
16929.5,-0.688,0.023,0.72,3.36,-1.71,-3.54,1,6
16929.5,-0.676,0.024,0.708,3.11,-1.98,-3.72,1,6
16929.515,-0.675,0.027,0.701,2.44,0.79,-2.99,1,6
16929.531,-0.688,0.036,0.699,1.04,1.68,-1.34,1,6
16929.531,-0.692,0.044,0.707,-0.49,1.62,0.03,1,6
16929.546,-0.69,0.036,0.722,-1.65,0.79,1.16,1,6
16929.562,-0.685,0.028,0.728,-1.95,0.09,1.59,1,6
16929.562,-0.683,0.026,0.729,-1.34,-0.58,1.46,1,6
16929.578,-0.678,0.019,0.722,-1.07,-1.62,0.64,1,6
16929.593,-0.678,0.015,0.726,-0.76,-1.74,-0.27,1,6
16929.609,-0.684,0.015,0.731,0.76,-1.83,-1.07,1,6
16929.609,-0.678,0.02,0.729,1.53,-2.53,-1.71,1,6
16929.625,-0.672,0.019,0.721,1.4,-3.08,-2.56,1,6
16929.64,-0.665,0.019,0.717,1.19,-2.99,-3.6,1,6
16929.656,-0.671,0.027,0.722,1.95,-1.95,-4.46,1,6
16929.656,-0.681,0.037,0.729,3.23,-1.28,-4.49,1,6
16929.671,-0.681,0.051,0.734,3.27,-1.89,-3.85,1,6
16929.671,-0.675,0.054,0.729,1.95,-2.93,-3.33,1,6
16929.687,-0.671,0.051,0.725,0.82,-3.57,-2.53,1,6
16929.687,-0.667,0.042,0.719,0.46,-3.11,-1.56,1,6
16929.703,-0.673,0.037,0.719,0.27,-2.41,-0.55,1,6
16929.718,-0.675,0.033,0.723,-0.12,-2.01,0.61,1,6
16929.734,-0.672,0.03,0.723,-0.82,-1.98,1.62,1,6
16929.734,-0.662,0.02,0.733,-2.2,-2.17,1.98,1,6
16929.75,-0.662,0.02,0.761,-1.16,-3.57,0.82,1,6
16929.765,-0.649,0.022,0.771,0.15,-5.58,0.61,1,6
16929.781,-0.629,0.018,0.783,1.65,-7.93,0.31,1,6
16929.781,-0.62,0.02,0.783,3.78,-9.61,0.03,1,6
16929.796,-0.605,0.022,0.795,5.4,-11.05,0.4,1,6
16929.812,-0.584,0.017,0.81,7.05,-12.42,1.25,1,6
16929.812,-0.561,0.01,0.824,9.06,-14.01,2.04,1,6
16929.828,-0.526,0.01,0.85,11.81,-14.98,2.9,1,6
16929.828,-0.491,0.029,0.883,15.32,-15.47,3.54,1,6
16929.843,-0.463,0.073,0.924,17.94,-16.33,3.81,1,6
16929.859,-0.423,0.139,0.977,19.75,-19.29,3.17,1,6
16929.859,-0.415,0.206,1.036,20.54,-24.26,2.17,1,6
16929.875,-0.393,0.248,1.118,22.95,-29.11,4.33,1,6
16929.89,-0.398,0.303,1.194,28.08,-37.9,5.43,1,6
16929.89,-0.412,0.34,1.232,35.58,-46.42,7.11,1,6
16929.906,-0.444,0.37,1.24,45.11,-55.12,9.28,1,6
16929.921,-0.523,0.459,1.209,61.65,-68.73,21.27,1,6
16929.937,-0.556,0.525,1.176,61.68,-74.34,32.84,1,6
16929.937,-0.572,0.559,1.15,53.9,-80.02,47.24,1,6
16929.953,-0.574,0.548,1.115,42.57,-84.84,63.11,1,6
16929.968,-0.559,0.52,1.085,29.88,-88.26,78.74,1,6
16929.984,-0.525,0.488,1.064,19.62,-89.14,92.56,1,6
16929.984,-0.472,0.448,1.043,13.58,-88.08,101.17,1,6
16930.0,-0.457,0.414,1.045,12.82,-85.06,102.88,1,6
16930.0,-0.471,0.366,1.036,17.82,-80.23,104.1,1,6
16930.015,-0.433,0.375,1.007,23.77,-78.37,101.29,1,6
16930.031,-0.436,0.313,0.976,27.83,-75.47,94.79,1,6
16930.031,-0.396,0.285,0.971,31.62,-72.54,87.22,1,6
16930.046,-0.411,0.273,0.942,40.71,-68.33,77.52,1,6
16930.062,-0.383,0.258,0.9,50.2,-64.21,71.23,1,6
16930.062,-0.378,0.257,0.862,57.8,-60.58,64.33,1,6
16930.078,-0.366,0.264,0.842,62.41,-58.05,58.35,1,6
16930.093,-0.373,0.296,0.832,65.46,-57.13,52.77,1,6
16930.093,-0.374,0.316,0.796,68.45,-57.37,50.26,1,6
16930.109,-0.375,0.337,0.754,68.58,-59.39,49.23,1,6
16930.109,-0.365,0.334,0.715,66.29,-62.69,49.62,1,6
16930.125,-0.352,0.343,0.677,63.33,-65.43,50.81,1,6
16930.14,-0.339,0.351,0.635,60.18,-66.74,53.38,1,6
16930.14,-0.318,0.348,0.597,55.85,-67.11,56.7,1,6
16930.156,-0.296,0.341,0.59,49.68,-65.34,60.46,1,6
16930.171,-0.294,0.337,0.595,44.65,-61.16,63.26,1,6
16930.187,-0.319,0.32,0.591,42.33,-56.43,66.01,1,6
16930.187,-0.33,0.304,0.591,40.59,-53.19,70.04,1,6
16930.203,-0.328,0.294,0.591,38.94,-51.67,73.34,1,6
16930.203,-0.318,0.288,0.589,37.08,-51.94,74.1,1,6
16930.218,-0.289,0.29,0.587,34.64,-52.4,73.34,1,6
