timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
16610.109,0.283,-0.391,-0.885,0.61,-3.27,-7.23,1,3
16610.125,0.284,-0.386,-0.881,-0.76,-2.35,-4.55,1,3
16610.125,0.292,-0.391,-0.877,-2.17,-0.92,-1.37,1,3
16610.14,0.284,-0.394,-0.865,-2.96,0.98,1.53,1,3
16610.14,0.284,-0.413,-0.845,-3.17,1.43,4.09,1,3
16610.156,0.3,-0.431,-0.833,-2.01,0.61,4.94,1,3
16610.171,0.308,-0.453,-0.828,0.0,-0.95,2.72,1,3
16610.171,0.291,-0.461,-0.83,2.35,-2.53,-0.64,1,3
16610.187,0.285,-0.467,-0.847,3.75,-4.18,-3.48,1,3
16610.203,0.288,-0.473,-0.86,3.85,-4.94,-5.49,1,3
16610.203,0.304,-0.468,-0.862,3.45,-4.61,-7.45,1,3
16610.218,0.308,-0.459,-0.87,4.0,-3.69,-9.16,1,3
16610.234,0.31,-0.451,-0.863,3.94,-2.35,-9.77,1,3
16610.234,0.311,-0.426,-0.848,3.54,-0.85,-9.83,1,3
16610.25,0.301,-0.402,-0.842,2.78,-0.4,-8.85,1,3
16610.265,0.306,-0.408,-0.836,1.04,-1.07,-6.56,1,3
16610.265,0.325,-0.425,-0.845,0.79,-1.59,-4.0,1,3
16610.281,0.331,-0.435,-0.857,2.23,-0.52,-2.75,1,3
16610.296,0.335,-0.426,-0.839,2.69,0.15,-2.62,1,3
16610.312,0.33,-0.421,-0.816,2.14,0.46,-1.71,1,3
16610.312,0.32,-0.422,-0.806,1.65,0.06,0.0,1,3
16610.328,0.32,-0.445,-0.81,1.07,-1.74,1.65,1,3
16610.343,0.334,-0.477,-0.832,-0.12,-3.2,1.5,1,3
16610.343,0.348,-0.5,-0.845,0.55,-3.48,-0.85,1,3
16610.359,0.34,-0.506,-0.843,2.78,-2.72,-4.64,1,3
16610.359,0.324,-0.49,-0.832,4.73,-2.11,-8.58,1,3
16610.375,0.314,-0.465,-0.828,6.35,-2.35,-11.26,1,3
16610.39,0.315,-0.456,-0.829,7.45,-3.17,-12.02,1,3
16610.406,0.323,-0.44,-0.834,8.51,-3.63,-11.96,1,3
16610.406,0.319,-0.424,-0.845,8.09,-3.3,-10.8,1,3
16610.421,0.323,-0.417,-0.846,5.34,-2.75,-8.27,1,3
16610.421,0.327,-0.421,-0.838,2.96,-2.62,-6.59,1,3
16610.437,0.318,-0.409,-0.835,2.53,-2.72,-5.52,1,3
16610.453,0.311,-0.4,-0.848,2.96,-3.97,-2.04,1,3
16610.468,0.319,-0.41,-0.867,1.92,-3.45,0.09,1,3
16610.484,0.321,-0.428,-0.88,0.67,-2.14,1.83,1,3
16610.484,0.321,-0.45,-0.875,-0.15,-0.46,2.47,1,3
16610.5,0.312,-0.466,-0.852,0.09,1.07,1.98,1,3
16610.5,0.305,-0.464,-0.836,1.37,1.34,0.79,1,3
16610.515,0.311,-0.453,-0.824,2.75,0.79,-0.82,1,3
16610.531,0.311,-0.449,-0.823,3.42,-0.27,-2.08,1,3
16610.531,0.315,-0.448,-0.827,3.57,-1.28,-2.35,1,3
16610.546,0.315,-0.45,-0.829,3.81,-1.98,-2.26,1,3
16610.562,0.311,-0.452,-0.839,3.54,-2.2,-1.37,1,3
16610.562,0.315,-0.455,-0.849,2.69,-2.08,-0.61,1,3
16610.578,0.32,-0.46,-0.848,2.04,-1.25,-0.7,1,3
16610.593,0.318,-0.455,-0.843,1.86,0.09,-0.55,1,3
16610.593,0.316,-0.445,-0.834,1.56,0.89,-0.31,1,3
16610.609,0.31,-0.446,-0.826,1.22,0.79,-0.49,1,3
16610.625,0.312,-0.453,-0.835,3.05,-0.64,-0.37,1,3
16610.64,0.323,-0.444,-0.85,3.75,-1.1,-0.98,1,3
16610.64,0.318,-0.438,-0.85,3.66,-0.98,-2.35,1,3
16610.656,0.309,-0.431,-0.847,4.46,-0.7,-3.42,1,3
16610.671,0.301,-0.415,-0.848,6.01,-0.21,-3.57,1,3
16610.671,0.301,-0.407,-0.847,6.65,-0.03,-2.32,1,3
16610.687,0.29,-0.407,-0.855,6.62,0.06,-1.13,1,3
16610.703,0.281,-0.401,-0.878,6.65,0.34,0.0,1,3
16610.703,0.28,-0.386,-0.888,6.44,1.31,1.25,1,3
16610.718,0.278,-0.388,-0.892,5.98,2.72,3.36,1,3
16610.734,0.279,-0.392,-0.876,5.34,4.55,5.43,1,3
16610.734,0.268,-0.4,-0.858,6.01,5.83,7.54,1,3
16610.75,0.268,-0.404,-0.853,7.14,5.86,8.33,1,3
16610.75,0.268,-0.411,-0.842,8.51,4.91,7.26,1,3
16610.765,0.263,-0.399,-0.85,11.6,4.0,5.86,1,3
16610.781,0.26,-0.362,-0.865,13.21,3.66,5.4,1,3
16610.796,0.27,-0.315,-0.869,13.55,3.78,5.68,1,3
16610.812,0.269,-0.277,-0.859,17.76,5.07,9.09,1,3
16610.812,0.269,-0.255,-0.834,21.03,4.15,12.54,1,3
16610.828,0.273,-0.223,-0.814,23.41,1.77,17.06,1,3
16610.843,0.181,-0.221,-0.856,22.83,-1.65,23.44,1,3
16610.843,0.181,-0.239,-0.908,23.29,-2.9,31.28,1,3
16610.859,0.202,-0.249,-0.956,22.13,-0.24,39.43,1,3
16610.875,0.206,-0.266,-0.954,18.16,5.43,45.5,1,3
16610.875,0.193,-0.277,-0.903,16.21,11.44,49.32,1,3
16610.89,0.201,-0.288,-0.847,16.63,14.5,51.06,1,3
16610.906,0.192,-0.288,-0.796,20.26,13.58,51.06,1,3
16610.906,0.136,-0.293,-0.787,25.12,10.04,51.91,1,3
16610.921,0.096,-0.325,-0.827,25.33,4.58,55.06,1,3
16610.937,0.11,-0.362,-0.877,22.8,1.62,58.75,1,3
16610.937,0.137,-0.408,-0.924,19.96,3.66,60.88,1,3
16610.953,0.168,-0.446,-0.943,17.82,10.1,60.82,1,3
16610.968,0.201,-0.474,-0.858,20.51,26.92,53.25,1,3
16610.984,0.224,-0.496,-0.794,23.96,29.33,46.63,1,3
16610.984,0.249,-0.505,-0.716,29.88,28.05,38.39,1,3
16611.0,0.272,-0.503,-0.631,37.81,25.54,29.08,1,3
16611.015,0.289,-0.495,-0.554,44.92,21.06,20.29,1,3
16611.015,0.298,-0.488,-0.492,51.48,13.82,11.69,1,3
16611.031,0.301,-0.49,-0.462,59.79,4.85,3.6,1,3
16611.031,0.281,-0.504,-0.451,69.19,-5.83,-3.66,1,3
16611.046,0.285,-0.519,-0.459,78.95,-16.54,-9.92,1,3
16611.062,0.285,-0.519,-0.485,87.77,-24.32,-15.05,1,3
16611.062,0.287,-0.529,-0.515,92.75,-29.33,-18.07,1,3
16611.078,0.303,-0.538,-0.524,94.55,-31.62,-19.99,1,3
16611.093,0.315,-0.535,-0.495,96.84,-31.98,-22.1,1,3
16611.093,0.325,-0.535,-0.45,99.58,-31.95,-25.09,1,3
16611.109,0.333,-0.543,-0.39,104.07,-32.56,-28.87,1,3
16611.125,0.308,-0.567,-0.351,110.08,-33.66,-31.86,1,3
