timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
16759.671,-0.582,0.044,0.836,-2.01,-1.13,12.39,1,4
16759.687,-0.577,0.055,0.825,-2.08,-1.89,10.86,1,4
16759.687,-0.591,0.071,0.824,-2.29,-2.41,9.83,1,4
16759.703,-0.591,0.087,0.814,-2.93,-3.11,10.9,1,4
16759.718,-0.578,0.096,0.804,-4.7,-2.78,13.28,1,4
16759.718,-0.58,0.082,0.8,-7.35,-1.65,14.95,1,4
16759.734,-0.583,0.057,0.807,-10.07,-0.82,15.53,1,4
16759.734,-0.589,0.028,0.812,-11.02,-0.43,14.5,1,4
16759.75,-0.602,0.015,0.814,-10.47,-1.56,11.41,1,4
16759.765,-0.61,0.004,0.828,-8.91,-2.53,7.35,1,4
16759.765,-0.61,0.017,0.826,-6.53,-5.83,2.53,1,4
16759.781,-0.605,0.03,0.806,-3.39,-8.88,-1.59,1,4
16759.796,-0.588,0.053,0.782,-1.56,-10.65,-4.03,1,4
16759.796,-0.584,0.064,0.763,-0.82,-9.8,-4.58,1,4
16759.812,-0.58,0.075,0.754,-1.04,-7.69,-4.06,1,4
16759.828,-0.587,0.083,0.752,-1.62,-3.94,-2.44,1,4
16759.828,-0.6,0.094,0.767,-3.39,-1.25,-0.85,1,4
16759.843,-0.591,0.096,0.788,-5.22,0.03,0.67,1,4
16759.843,-0.585,0.095,0.815,-5.86,0.21,1.28,1,4
16759.859,-0.589,0.089,0.825,-5.43,-0.7,1.53,1,4
16759.875,-0.594,0.087,0.825,-6.04,-2.41,1.37,1,4
16759.875,-0.587,0.064,0.817,-7.2,-4.82,0.85,1,4
16759.89,-0.571,0.056,0.805,-7.08,-6.23,0.18,1,4
16759.906,-0.561,0.061,0.789,-6.23,-5.62,-0.34,1,4
16759.906,-0.554,0.07,0.789,-5.92,-4.39,-0.55,1,4
16759.921,-0.557,0.076,0.797,-5.13,-2.84,-1.07,1,4
16759.937,-0.565,0.084,0.81,-4.21,-1.83,-1.28,1,4
16759.937,-0.572,0.084,0.811,-3.51,-1.74,-1.28,1,4
16759.953,-0.565,0.076,0.809,-3.08,-1.68,-1.01,1,4
16759.968,-0.557,0.076,0.806,-2.29,-0.85,-0.67,1,4
16759.968,-0.558,0.08,0.812,-0.98,0.4,-0.58,1,4
16759.984,-0.564,0.093,0.825,-0.06,1.01,0.12,1,4
16759.984,-0.584,0.104,0.837,0.0,0.18,0.76,1,4
16760.0,-0.592,0.098,0.837,-1.34,-2.11,1.98,1,4
16760.015,-0.578,0.084,0.819,-2.99,-4.39,3.39,1,4
16760.015,-0.568,0.067,0.798,-2.72,-5.19,3.69,1,4
16760.031,-0.573,0.063,0.782,-1.43,-4.52,3.3,1,4
16760.046,-0.569,0.064,0.776,-1.22,-3.42,2.93,1,4
16760.046,-0.575,0.057,0.777,-1.07,-1.8,1.59,1,4
16760.062,-0.596,0.05,0.777,-0.4,-0.4,0.37,1,4
16760.078,-0.599,0.048,0.782,0.31,0.4,0.0,1,4
16760.078,-0.603,0.058,0.793,0.7,0.55,0.12,1,4
16760.093,-0.6,0.059,0.789,0.61,-0.31,-0.24,1,4
16760.093,-0.588,0.052,0.78,0.03,-0.76,-0.43,1,4
16760.109,-0.584,0.049,0.773,-0.64,-0.06,-0.55,1,4
16760.125,-0.586,0.047,0.781,-1.43,1.37,-0.79,1,4
16760.125,-0.584,0.042,0.792,-2.44,2.38,-0.37,1,4
16760.14,-0.573,0.04,0.796,-3.72,3.17,0.09,1,4
16760.156,-0.567,0.033,0.803,-4.64,4.09,-0.09,1,4
16760.171,-0.571,0.034,0.812,-5.25,5.22,-0.67,1,4
16760.171,-0.568,0.037,0.823,-5.71,5.77,-1.25,1,4
16760.187,-0.56,0.042,0.84,-6.04,5.58,-1.28,1,4
16760.187,-0.554,0.041,0.856,-6.41,4.91,-0.82,1,4
16760.203,-0.555,0.037,0.87,-6.56,3.57,-0.37,1,4
16760.218,-0.548,0.035,0.873,-6.32,1.1,0.09,1,4
16760.218,-0.535,0.023,0.863,-5.65,-1.65,0.55,1,4
16760.234,-0.509,0.016,0.852,-5.34,-3.94,0.85,1,4
16760.234,-0.488,0.003,0.84,-4.06,-4.39,1.1,1,4
16760.25,-0.469,-0.002,0.843,-2.75,-4.06,1.59,1,4
16760.265,-0.456,-0.009,0.858,-3.66,-3.54,1.86,1,4
16760.265,-0.445,-0.02,0.88,-5.8,-2.96,2.84,1,4
16760.281,-0.419,-0.02,0.909,-8.67,-2.41,3.75,1,4
16760.296,-0.396,-0.025,0.944,-11.66,-3.23,3.45,1,4
16760.312,-0.37,-0.028,0.99,-13.43,-5.43,1.83,1,4
16760.312,-0.337,-0.024,1.029,-11.81,-9.31,-1.83,1,4
16760.328,-0.302,-0.011,1.053,-7.02,-14.1,-7.17,1,4
16760.328,-0.267,0.023,1.075,5.95,-25.15,-20.63,1,4
16760.343,-0.245,0.061,1.097,12.33,-31.34,-26.92,1,4
16760.359,-0.245,0.11,1.111,19.26,-37.9,-31.59,1,4
16760.359,-0.259,0.241,1.104,25.45,-44.28,-33.45,1,4
16760.375,-0.273,0.314,1.087,29.6,-50.05,-32.2,1,4
16760.375,-0.29,0.376,1.065,30.92,-54.99,-26.8,1,4
16760.39,-0.306,0.427,1.052,29.57,-58.99,-16.79,1,4
16760.406,-0.312,0.455,1.035,26.43,-61.77,-3.17,1,4
16760.406,-0.309,0.495,1.01,21.88,-63.66,11.81,1,4
16760.421,-0.291,0.528,0.989,16.48,-64.06,27.47,1,4
16760.437,-0.279,0.543,0.972,10.83,-63.42,42.12,1,4
16760.437,-0.269,0.545,0.967,5.65,-61.92,55.33,1,4
16760.453,-0.27,0.547,0.99,3.39,-59.79,66.77,1,4
16760.468,-0.301,0.543,1.012,4.52,-58.44,77.15,1,4
16760.468,-0.325,0.532,1.024,6.23,-59.88,87.1,1,4
16760.484,-0.332,0.511,1.013,9.16,-63.3,95.61,1,4
16760.484,-0.326,0.487,0.977,12.79,-66.9,102.02,1,4
16760.5,-0.313,0.467,0.93,15.26,-69.43,105.84,1,4
16760.515,-0.299,0.442,0.885,15.72,-70.68,106.85,1,4
16760.531,-0.281,0.414,0.853,14.98,-70.5,105.56,1,4
16760.531,-0.284,0.4,0.845,14.74,-67.96,102.21,1,4
16760.546,-0.3,0.381,0.837,16.88,-64.76,98.7,1,4
16760.562,-0.323,0.383,0.862,19.78,-62.17,96.22,1,4
16760.562,-0.364,0.395,0.9,23.9,-61.25,94.76,1,4
16760.578,-0.394,0.401,0.921,26.52,-64.58,95.25,1,4
16760.578,-0.394,0.41,0.928,25.94,-71.2,97.69,1,4
16760.593,-0.389,0.41,0.922,23.38,-78.37,100.38,1,4
16760.609,-0.384,0.391,0.906,20.81,-85.51,102.05,1,4
16760.609,-0.367,0.36,0.873,19.1,-91.04,102.63,1,4
16760.625,-0.339,0.331,0.838,19.07,-92.62,102.02,1,4
16760.64,-0.304,0.312,0.818,20.81,-90.46,100.19,1,4
16760.64,-0.265,0.309,0.821,23.65,-84.41,97.2,1,4
16760.656,-0.245,0.301,0.846,26.31,-75.23,93.81,1,4
16760.671,-0.26,0.287,0.898,26.76,-64.64,90.88,1,4
16760.671,-0.305,0.272,0.969,27.8,-56.61,87.77,1,4
16760.687,-0.406,0.243,1.063,33.91,-62.65,78.19,1,4
16760.703,-0.41,0.219,1.061,37.26,-75.38,71.35,1,4
16760.718,-0.373,0.202,1.014,41.75,-88.26,63.54,1,4
16760.718,-0.314,0.2,0.945,47.24,-95.8,55.45,1,4
16760.734,-0.255,0.209,0.884,52.1,-95.95,48.04,1,4
16760.75,-0.228,0.224,0.84,55.48,-90.82,41.81,1,4
16760.75,-0.213,0.236,0.805,56.79,-82.71,37.6,1,4
16760.765,-0.196,0.253,0.789,55.57,-73.24,35.92,1,4
16760.765,-0.185,0.256,0.77,52.86,-63.33,35.31,1,4
16760.781,-0.176,0.242,0.751,49.41,-53.41,34.27,1,4
16760.796,-0.186,0.228,0.746,45.53,-42.76,32.62,1,4
16760.796,-0.208,0.22,0.769,41.41,-33.17,29.73,1,4
16760.812,-0.232,0.222,0.804,35.43,-26.98,25.36,1,4
16760.828,-0.245,0.213,0.837,24.23,-26.55,18.86,1,4
16760.828,-0.232,0.198,0.872,12.76,-30.0,11.08,1,4
16760.843,-0.203,0.186,0.881,7.69,-32.65,3.91,1,4
16760.859,-0.139,0.194,0.873,13.61,-28.75,-6.78,1,4
16760.875,-0.136,0.215,0.876,18.56,-22.98,-12.15,1,4
16760.875,-0.161,0.231,0.904,22.77,-18.1,-16.97,1,4
16760.89,-0.2,0.238,0.916,27.86,-16.94,-19.5,1,4
16760.906,-0.202,0.247,0.911,33.51,-19.23,-19.44,1,4
16760.921,-0.181,0.273,0.904,38.51,-21.88,-18.25,1,4
16760.921,-0.162,0.286,0.896,41.6,-23.01,-17.15,1,4
16760.937,-0.147,0.325,0.887,40.68,-23.59,-16.02,1,4
16760.937,-0.12,0.363,0.881,35.22,-23.41,-14.34,1,4
16760.953,-0.09,0.384,0.879,27.62,-21.94,-12.24,1,4
16760.968,-0.07,0.38,0.879,21.58,-19.32,-10.07,1,4
16760.968,-0.062,0.376,0.877,18.86,-15.63,-7.66,1,4
16760.984,-0.045,0.38,0.874,19.78,-11.51,-5.34,1,4
16761.0,-0.043,0.371,0.861,22.58,-6.78,-4.39,1,4
16761.0,-0.022,0.369,0.853,25.64,-1.25,-4.27,1,4
16761.015,-0.004,0.388,0.847,28.53,5.71,-6.2,1,4
16761.015,-0.019,0.385,0.838,29.79,12.94,-9.86,1,4
16761.031,-0.024,0.39,0.847,28.84,19.23,-13.37,1,4
16761.046,-0.032,0.407,0.859,28.41,22.95,-17.64,1,4
16761.062,-0.049,0.408,0.858,27.38,21.76,-23.96,1,4
16761.062,-0.056,0.4,0.873,25.06,18.16,-29.85,1,4
16761.078,-0.062,0.396,0.893,26.09,14.16,-34.73,1,4
16761.078,-0.071,0.431,0.896,29.94,10.62,-37.08,1,4
16761.093,-0.077,0.489,0.896,32.01,8.0,-36.19,1,4
16761.109,-0.078,0.539,0.913,31.62,5.65,-31.86,1,4
16761.109,-0.09,0.592,0.918,27.99,4.33,-24.45,1,4
16761.125,-0.094,0.646,0.925,18.52,1.37,-14.56,1,4
16761.125,-0.086,0.675,0.931,4.3,-3.57,-3.63,1,4
16761.14,-0.082,0.679,0.943,-11.75,-8.94,6.47,1,4
16761.156,-0.068,0.671,0.949,-25.21,-13.79,15.84,1,4
16761.156,-0.042,0.656,0.937,-32.75,-16.21,24.41,1,4
16761.171,-0.03,0.626,0.923,-35.95,-15.69,30.58,1,4
16761.187,-0.016,0.604,0.927,-36.19,-13.46,34.64,1,4
16761.187,0.005,0.564,0.925,-31.98,-10.25,36.04,1,4
16761.203,0.008,0.544,0.906,-23.99,-6.04,34.73,1,4
16761.218,0.017,0.549,0.903,-14.83,-1.37,32.78,1,4
16761.218,-0.002,0.557,0.925,-6.99,1.8,29.63,1,4
16761.234,-0.017,0.571,0.948,-3.02,0.98,26.76,1,4
16761.234,-0.024,0.578,0.945,-1.62,-3.08,25.09,1,4
16761.25,-0.001,0.561,0.919,-1.68,-7.93,24.17,1,4
16761.265,0.03,0.545,0.884,-3.33,-10.41,23.26,1,4
16761.265,0.056,0.535,0.869,-5.37,-10.04,22.68,1,4
16761.281,0.08,0.527,0.874,-6.71,-7.75,23.16,1,4
