timestamp,ax,ay,az,gx,gy,gz,orient_label,motion_label
16829.75,0.901,-0.038,0.431,-1.13,-2.01,1.19,1,5
16829.75,0.908,-0.047,0.438,-1.19,-0.95,2.17,1,5
16829.765,0.914,-0.047,0.44,-1.74,0.18,2.23,1,5
16829.765,0.91,-0.056,0.453,-1.37,0.76,1.59,1,5
16829.781,0.909,-0.059,0.454,-0.06,0.55,-0.31,1,5
16829.796,0.917,-0.059,0.443,2.23,0.46,-2.11,1,5
16829.796,0.913,-0.049,0.438,3.3,0.64,-3.75,1,5
16829.812,0.9,-0.042,0.444,3.42,0.76,-5.04,1,5
16829.828,0.891,-0.04,0.446,2.87,0.06,-5.31,1,5
16829.828,0.894,-0.042,0.439,1.56,-1.19,-5.43,1,5
16829.843,0.906,-0.047,0.424,1.5,-1.53,-5.95,1,5
16829.859,0.916,-0.039,0.415,2.47,-0.21,-6.13,1,5
16829.859,0.91,-0.023,0.423,1.77,1.28,-6.23,1,5
16829.875,0.898,-0.021,0.445,0.09,1.59,-6.1,1,5
16829.875,0.89,-0.021,0.456,-0.15,0.95,-5.71,1,5
16829.89,0.893,-0.014,0.457,0.31,-0.27,-5.1,1,5
16829.906,0.896,-0.006,0.448,0.79,-1.25,-4.03,1,5
16829.921,0.905,-0.002,0.44,-0.4,-1.01,-1.59,1,5
16829.937,0.903,-0.003,0.442,-0.46,-0.55,-0.43,1,5
16829.937,0.9,-0.001,0.442,0.06,-0.15,0.46,1,5
16829.953,0.897,-0.002,0.443,0.15,0.15,1.34,1,5
16829.968,0.901,-0.007,0.446,-0.21,0.34,2.29,1,5
16829.968,0.9,-0.012,0.447,-0.55,0.37,2.69,1,5
16829.984,0.893,-0.014,0.448,-0.61,0.43,2.75,1,5
16829.984,0.89,-0.015,0.449,-0.34,0.0,2.87,1,5
16830.0,0.897,-0.018,0.442,-0.31,-0.64,3.33,1,5
16830.015,0.901,-0.027,0.436,-0.31,-0.73,4.06,1,5
16830.015,0.895,-0.035,0.432,-0.52,-0.31,4.39,1,5
16830.031,0.887,-0.041,0.438,-1.01,-0.34,3.91,1,5
16830.046,0.884,-0.045,0.445,-1.1,-1.28,3.02,1,5
16830.046,0.887,-0.045,0.444,-0.64,-2.14,2.14,1,5
16830.062,0.896,-0.044,0.431,0.03,-2.38,1.34,1,5
16830.078,0.906,-0.04,0.422,0.64,-1.5,0.55,1,5
16830.093,0.893,-0.035,0.435,1.31,0.24,-0.67,1,5
16830.093,0.887,-0.032,0.447,2.08,0.43,-1.13,1,5
16830.109,0.885,-0.031,0.449,3.08,-0.21,-1.43,1,5
16830.125,0.885,-0.031,0.445,3.69,-1.1,-1.83,1,5
16830.14,0.881,-0.029,0.44,3.85,-1.74,-2.17,1,5
16830.14,0.883,-0.028,0.435,3.54,-2.14,-2.38,1,5
16830.156,0.882,-0.027,0.431,3.85,-2.11,-2.44,1,5
16830.171,0.879,-0.023,0.429,4.18,-1.68,-2.44,1,5
16830.171,0.88,-0.018,0.431,4.09,-1.04,-0.85,1,5
16830.187,0.881,-0.018,0.43,3.23,-0.89,0.0,1,5
16830.187,0.886,-0.023,0.437,3.85,-0.92,-0.24,1,5
16830.203,0.894,-0.051,0.464,6.62,-1.13,-1.5,1,5
16830.218,0.895,-0.059,0.48,10.53,-1.83,-4.0,1,5
16830.218,0.894,-0.066,0.494,14.59,-3.66,-8.06,1,5
16830.234,0.898,-0.069,0.502,18.56,-6.53,-13.52,1,5
16830.25,0.899,-0.071,0.512,23.93,-9.4,-19.93,1,5
16830.265,0.923,-0.089,0.543,38.91,-14.77,-35.19,1,5
16830.281,0.909,-0.088,0.558,48.28,-17.27,-45.17,1,5
16830.281,0.876,-0.07,0.563,58.44,-21.06,-57.59,1,5
16830.296,0.863,-0.05,0.559,69.22,-27.19,-71.29,1,5
16830.296,0.862,-0.014,0.541,81.42,-33.57,-85.7,1,5
16830.312,0.862,0.031,0.511,94.06,-39.31,-99.03,1,5
16830.328,0.858,0.082,0.487,104.89,-42.82,-109.16,1,5
16830.328,0.821,0.139,0.46,112.13,-44.71,-116.18,1,5
16830.343,0.777,0.182,0.441,115.6,-47.43,-120.49,1,5
16830.359,0.772,0.219,0.428,118.47,-51.73,-121.68,1,5
16830.359,0.78,0.266,0.397,120.49,-54.93,-119.51,1,5
16830.375,0.776,0.314,0.344,119.6,-56.92,-114.99,1,5
16830.375,0.791,0.34,0.313,116.79,-57.5,-109.29,1,5
16830.39,0.797,0.372,0.296,114.14,-56.15,-102.73,1,5
16830.406,0.784,0.402,0.294,111.97,-53.99,-95.98,1,5
16830.406,0.753,0.447,0.3,110.75,-51.79,-89.11,1,5
16830.421,0.751,0.468,0.318,108.04,-51.76,-79.65,1,5
16830.437,0.768,0.48,0.32,103.67,-52.46,-68.18,1,5
16830.453,0.779,0.475,0.303,99.7,-53.47,-57.22,1,5
16830.453,0.796,0.452,0.287,95.07,-54.17,-48.65,1,5
16830.468,0.8,0.428,0.264,90.52,-54.57,-44.71,1,5
16830.468,0.812,0.408,0.245,88.81,-54.54,-44.01,1,5
16830.484,0.814,0.405,0.236,89.27,-52.22,-44.65,1,5
16830.5,0.806,0.406,0.229,90.76,-49.53,-47.12,1,5
16830.5,0.797,0.409,0.238,92.47,-47.33,-50.78,1,5
16830.515,0.77,0.415,0.247,95.28,-44.98,-55.3,1,5
16830.531,0.747,0.43,0.247,99.61,-44.83,-60.06,1,5
16830.531,0.734,0.463,0.255,104.59,-45.78,-63.72,1,5
16830.546,0.725,0.498,0.237,109.71,-47.27,-65.55,1,5
16830.562,0.711,0.542,0.2,111.51,-49.41,-65.13,1,5
16830.562,0.702,0.569,0.187,109.53,-50.2,-62.9,1,5
16830.578,0.675,0.577,0.177,105.56,-49.26,-59.66,1,5
16830.578,0.652,0.59,0.165,99.31,-49.44,-56.37,1,5
16830.593,0.651,0.585,0.127,95.03,-52.19,-54.11,1,5
16830.609,0.663,0.599,0.07,94.33,-55.67,-51.36,1,5
16830.609,0.68,0.629,0.007,93.42,-57.44,-46.78,1,5
16830.625,0.715,0.633,-0.033,90.61,-56.06,-40.41,1,5
16830.64,0.73,0.632,-0.05,86.76,-50.51,-34.12,1,5
16830.64,0.72,0.621,-0.048,82.31,-43.64,-29.02,1,5
16830.656,0.707,0.596,-0.041,77.7,-38.12,-25.76,1,5
16830.656,0.709,0.572,-0.077,74.68,-38.54,-25.12,1,5
16830.671,0.749,0.576,-0.118,74.31,-40.65,-24.84,1,5
16830.687,0.776,0.586,-0.152,74.8,-40.25,-24.96,1,5
16830.687,0.789,0.593,-0.166,73.34,-37.45,-24.96,1,5
16830.703,0.795,0.582,-0.166,70.16,-32.11,-24.08,1,5
16830.718,0.791,0.574,-0.161,65.65,-26.03,-23.71,1,5
16830.718,0.778,0.563,-0.18,61.83,-24.23,-25.3,1,5
16830.734,0.779,0.562,-0.211,61.86,-27.34,-27.44,1,5
16830.75,0.803,0.579,-0.237,65.37,-28.2,-26.98,1,5
16830.765,0.826,0.603,-0.276,63.2,-23.13,-21.85,1,5
16830.765,0.818,0.606,-0.296,58.44,-19.04,-18.22,1,5
16830.781,0.803,0.601,-0.33,53.1,-17.98,-13.12,1,5
16830.796,0.82,0.593,-0.369,47.91,-18.77,-5.98,1,5
